Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,raw_responses,responses,confidences,accuracies
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,"{
""answer"": ""Madhya Pradesh"",
""confidence_score"": 96
}",Madhya Pradesh,0.96,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,,,,NOT_ATTEMPTED
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"{
  ""answer"": ""The surname Wallace is of Scottish origin, derived from the Old French word 'waleis' meaning 'Welshman' and was used to denote a person of Welsh descent."",
  ""confidence_score"": 92
}","The surname Wallace is of Scottish origin, derived from the Old French word 'waleis' meaning 'Welshman' and was used to denote a person of Welsh descent.",0.92,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,"{
  ""answer"": ""Michael Moriarty"",
  ""confidence_score"": 98
}",Michael Moriarty,0.98,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,,,,NOT_ATTEMPTED
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,"{
""answer"": ""The character Gram on *The Young and the Restless* is played by actress Pat Helton."",
""confidence_score"":  thirty-two
}",The character Gram on *The Young and the Restless* is played by actress Pat Helton.,,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"The Oath of Allegiance for new U.S. citizens is: “I hereby declare,",,,NOT_ATTEMPTED
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,"{
""answer"": ""Anakin Skywalker is the person behind the mask of Darth Vader."",
""confidence_score"": 98
}",Anakin Skywalker is the person behind the mask of Darth Vader.,0.98,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"{
""answer"": ""Abraham was 100 years old when his son Isaac was born."",
""confidence_score"": 97
}",Abraham was 100 years old when his son Isaac was born.,0.97,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"{
""answer"": ""In the United States, you must be at least 18 years old to purchase a BB gun."",
""confidence_score"": 92
}","In the United States, you must be at least 18 years old to purchase a BB gun.",0.92,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"{
""answer"": ""Ethiopian Airlines Flight 961 was hijacked and subsequently crashed into the Indian Ocean near the Comoros on 23 November","""Ethiopian Airlines Flight 961 was hijacked and subsequently crashed into the Indian Ocean near the Comoros on 23 November",,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"{
""answer"": ""The Percy Jackson & the Olympians films were primarily shot in various locations across New Zealand, including Auckland, Wellington, and the surrounding regions."",
""confidence_score"": 96
}","The Percy Jackson & the Olympians films were primarily shot in various locations across New Zealand, including Auckland, Wellington, and the surrounding regions.",0.96,INCORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,"{
  ""answer"": ""The Vampire Diaries has 8 seasons."",
  ""confidence_score"": 99
}",The Vampire Diaries has 8 seasons.,0.99,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,"{
""answer"": ""There are 291 episodes in the original Dragon Ball Z series."",
""confidence_score"": 98
}",There are 291 episodes in the original Dragon Ball Z series.,0.98,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,,,,NOT_ATTEMPTED
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"{
""answer"": ""The first Australian prime minister, Edmund Barton, was elected on 29 March 1901."",
""confidence","The first Australian prime minister, Edmund Barton, was elected on 29 March 1901.",,INCORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,,,,NOT_ATTEMPTED
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,,,,NOT_ATTEMPTED
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,"{
  ""answer"": ""Heath Ledger plays the Joker in Batman: The Dark Knight."",
  ""confidence_score"": 100
}",Heath Ledger plays the Joker in Batman: The Dark Knight.,1.0,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,"{
  ""answer"": ""The South Asian Association for Regional Cooperation (SAARC) was formed on 8 August 1985."",
  ""confidence_score"": 96
}",The South Asian Association for Regional Cooperation (SAARC) was formed on 8 August 1985.,0.96,INCORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","{
  ""answer"": ""The first Hunger Games book was published in 2008."",
  ""confidence_score"": 98
}",The first Hunger Games book was published in 2008.,0.98,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,{,,,NOT_ATTEMPTED
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,"{
  ""answer"": ""Dave Gahan is the lead singer of Depeche Mode."",
  ""confidence_score"": 99
}",Dave Gahan is the lead singer of Depeche Mode.,0.99,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,"{
""answer"": ""The butchers involved in the Slaughter‑House","""The butchers involved in the Slaughter‑House",,NOT_ATTEMPTED
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,"{
""answer"": ""The concept of Total Quality Management was primarily developed by W. Edwards Deming."",
""confidence_score"": 93
}",The concept of Total Quality Management was primarily developed by W. Edwards Deming.,0.93,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"{
""answer"": ""The lyrics to \""Can't Get You Out of My Head\"" were written by Cathy Dennis and Rob Davis."",
""confidence_score"": 96
}","The lyrics to \""Can't Get You Out of My Head\"" were written by Cathy Dennis and Rob Davis.",0.96,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,,,,NOT_ATTEMPTED
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","{
""answer"": ""Taylor Swift's first album was released on October 24, 2006."",
""confidence_score"": 98
}","Taylor Swift's first album was released on October 24, 2006.",0.98,CORRECT
38,Adversarial,Misconceptions,what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",,What are the three fifty shades of grey books,Fifty shades of grey,"Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed. 
{
  ""answer"": ""Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed."",
  ""confidence_score"":","Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",,CORRECT
39,Adversarial,Misconceptions,who has the power (judicial) to make decisions in courts of law,judges,judges,The President,,Who has the power (judicial) to make decisions in courts of law,Judges,"{
  ""answer"": ""Judges have the judicial power to make decisions in courts of law."",
  ""confidence_score"": 99
}",Judges have the judicial power to make decisions in courts of law.,0.99,CORRECT
40,Adversarial,Misconceptions,what are the ranks in the us navy,E-8s senior chief petty officer,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant",,What are the ranks in the us navy,E-8s senior chief petty officer,"The U.S. Navy ranks are (from lowest to highest): Seaman Recruit (E‑1), Seaman Apprentice (E‑2), Seaman (E‑3), Petty Officer Third Class (E‑4), Petty Officer Second Class (E‑5), Petty Officer First",,,NOT_ATTEMPTED
41,Adversarial,Misconceptions,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,Al-Khwarizmi,,I was a great islamic scholar and mathematician who died in 1131 ce,Omar khayyam,"{
""answer"": ""Omar Khayyam"",
""confidence",Omar Khayyam,,CORRECT
42,Adversarial,Misconceptions,who is the coach for the ottawa senators,Guy Boucher,Guy Boucher,Wayne Gretzky,,Who is the coach for the ottawa senators,Guy boucher,"{
""answer"": ""The head coach of the Ottawa Senators is D.J. Smith."",
""confidence_score"": 92
}",The head coach of the Ottawa Senators is D.J. Smith.,0.92,INCORRECT
43,Adversarial,Misconceptions,last episode of what happens to my family,53,53,Episode 100,,Last episode of what happens to my family,53,,,,NOT_ATTEMPTED
44,Adversarial,Misconceptions,when is the last time the vikings were in the nfc championship,1976,1976; 2017/18,2005,,When is the last time the vikings were in the nfc championship,1976,"{
""answer"": ""The Vikings last appeared in the NFC Championship Game after the 1998 season, playing on January 10 1999."",
""confidence_score"": 92
}","The Vikings last appeared in the NFC Championship Game after the 1998 season, playing on January 10 1999.",0.92,INCORRECT
45,Adversarial,Misconceptions,what are the colors of the netherlands flag,blue,blue; white; red,"Red, white, and blue",,What are the colors of the netherlands flag,Blue,"{
  ""answer"": ""The flag of the Netherlands consists of three horizontal bands of red, white, and blue."",
  ""confidence_score"": 100
}","The flag of the Netherlands consists of three horizontal bands of red, white, and blue.",1.0,CORRECT
46,Adversarial,Misconceptions,where is lord's prayer found in bible,in the Gospel of Luke,in the Gospel of Luke,Matthew 5,,Where is lord's prayer found in bible,In the gospel of luke,"{
""answer"": ""The Lord's Prayer appears in Matthew 6:9‑13 and Luke 11:2‑4."",
""confidence_score"": 98
}",The Lord's Prayer appears in Matthew 6:9‑13 and Luke 11:2‑4.,0.98,INCORRECT
47,Adversarial,Misconceptions,when was the last time oklahoma won a national championship in football,2003,2003; 2000,2003,,When was the last time oklahoma won a national championship in football,2003,"{
""answer"": ""Oklahoma last won a national championship in football in the year 2000."",
""confidence_score"": 92
}",Oklahoma last won a national championship in football in the year 2000.,0.92,INCORRECT
48,Adversarial,Misconceptions,location of the ten commandments in the bible,Exodus,Exodus; Deuteronomy,Genesis 20,,Location of the ten commandments in the bible,Exodus,"The Ten Commandments are recorded in Exodus 20:1‑17 (and repeated in Deuteronomy 5:4‑21).{""answer"":""The Ten Commandments are recorded in Exodus 20:1‑17 (and repeated in Deuteronomy 5:4‑21)."",""",The Ten Commandments are recorded in Exodus 20:1‑17 (and repeated in Deuteronomy 5:4‑21).,,CORRECT
49,Adversarial,Misconceptions,where did the allies go after north africa,Italy,Italy; the Italian Campaign,Italy,,Where did the allies go after north africa,Italy,"{
""answer"": ""After the North African campaign, the Allies moved on to invade Italy, beginning the Italian Campaign."",
""confidence_score"": 92
}","After the North African campaign, the Allies moved on to invade Italy, beginning the Italian Campaign.",0.92,CORRECT
50,Adversarial,Misconceptions,what is the meaning of veronica in english,she who brings victory,she who brings victory,"Veronica means ""true image"" in English.",,What is the meaning of veronica in english,She who brings victory,"{
""answer"": ""Veronica means “true image” (from Latin vera ‘true’ + icon ‘image’)."",
""confidence_score"": 92
}",Veronica means “true image” (from Latin vera ‘true’ + icon ‘image’).,0.92,INCORRECT
51,Adversarial,Misconceptions,what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta; aorta,The main artery is called the Cardiac Artery.,,What is the name of the main artery which takes blood from the heart to the body,The aorta,"{
""answer"": ""The aorta"",
""confidence_score"": 99
}",The aorta,0.99,CORRECT
52,Adversarial,Misconceptions,who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,Solomon was played by Tom Cruise.,,Who played solomon in little house on the prairie,Todd bridges,"{
  ""answer"": ""The character Solomon was portrayed by actor John McIntire."",
  ""confidence_score"":  thirty-two
}",The character Solomon was portrayed by actor John McIntire.,,INCORRECT
53,Adversarial,Misconceptions,who does eric end up with in that 70s show,Donna,Donna,Eric ends up with Laurie in That '70s Show.,,Who does eric end up with in that 70s show,Donna,"{
""answer"": ""Eric ends up with Donna Pinciotti."",
""confidence_score"": 93
}",Eric ends up with Donna Pinciotti.,0.93,CORRECT
54,Adversarial,Misconceptions,an object that moves around an external axis is said to be,revolution or orbital revolution,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion.""",,An object that moves around an external axis is said to be,Revolution or orbital revolution,"{
""answer"": ""revolving"",
""confidence_score"": 92
}",revolving,0.92,INCORRECT
55,Adversarial,Misconceptions,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches.""",,Architectural elements forming rib vaults eg wells cathedral,An armature of piped masonry,"{
""answer"": ""Rib vaults","""Rib vaults",,NOT_ATTEMPTED
56,Adversarial,Misconceptions,who sang the song good morning good morning,Gene Kelly,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones.",,Who sang the song good morning good morning,Gene kelly,"{
""answer"": ""The Beatles performed the song \""Good Morning Good Morning\""."",
""confidence_score"": 98
}","The Beatles performed the song \""Good Morning Good Morning\"".",0.98,INCORRECT
57,Adversarial,Misconceptions,who wrote papa got a brand new bag,James Brown,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",,Who wrote papa got a brand new bag,James brown,"{
""answer"": ""James Brown wrote \""Papa Got a Brand New Bag\""."",
""confidence_score"": 99
}","James Brown wrote \""Papa Got a Brand New Bag\"".",0.99,CORRECT
58,Adversarial,Misconceptions,where does a roadrunner live in the desert,mountainous shrubland,mountainous shrubland; arid lowland,A roadrunner lives in the Sahara Desert.,,Where does a roadrunner live in the desert,Mountainous shrubland,"{
""answer"": ""Roadrunners inhabit arid desert regions across the southwestern United States and northern Mexico, especially in scrublands, chaparral, and open, rocky terrain."",
""confidence_score"": 92
}","Roadrunners inhabit arid desert regions across the southwestern United States and northern Mexico, especially in scrublands, chaparral, and open, rocky terrain.",0.92,INCORRECT
59,Adversarial,Misconceptions,who wrote it's a long long way to pasadena,John Young,John Young; Harry Vanda; David Hemmings; George Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan.",,Who wrote it's a long long way to pasadena,John young,,,,NOT_ATTEMPTED
60,Adversarial,Misconceptions,what's the dog's name on tom and jerry,Spike,Spike,The dog's name on Tom and Jerry is Fido.,,What's the dog's name on tom and jerry,Spike,"The dog in Tom and Jerry is named Spike. 
{
""answer"": ""Spike"",
""confidence_score"": 98
}",Spike,0.98,CORRECT
61,Adversarial,Misconceptions,who are nominated for president of india 2017,Meira Kumar,Meira Kumar; Ram Nath Kovind,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.,,Who are nominated for president of india 2017,Meira kumar,"{
""answer"": ""The 2017 Indian presidential election nominees were Ram Nath Kovind and Meira Kumar."",
""confidence_score"": 93
}",The 2017 Indian presidential election nominees were Ram Nath Kovind and Meira Kumar.,0.93,INCORRECT
62,Adversarial,Misconceptions,where does the path train stop in newark,Newark Penn Station,Newark Penn Station,The PATH train stops at Newark Central Station.,,Where does the path train stop in newark,Newark penn station,"{
""answer"": ""The PATH train stops at Newark Penn Station in Newark."",
""confidence_score"": 95
}",The PATH train stops at Newark Penn Station in Newark.,0.95,CORRECT
63,Adversarial,Misconceptions,where does route 66 start on the west coast,in Santa Monica,in Santa Monica,Route 66 starts in San Francisco on the West Coast.,,Where does route 66 start on the west coast,In santa monica,{,,,NOT_ATTEMPTED
64,Adversarial,Misconceptions,who is the first wife on sister wives,Meri,Meri,The first wife on Sister Wives is Christine Brown.,,Who is the first wife on sister wives,Meri,"{
  ""answer"": ""Meri Brown is the first wife on Sister Wives."",
  ""confidence_score"": 97
}",Meri Brown is the first wife on Sister Wives.,0.97,CORRECT
65,Adversarial,Misconceptions,when did houston go to the american league,2013,2013,Houston went to the American League in 2005.,,When did houston go to the american league,2013,"Houston joined the American League in the 2013 season. 
{
  ""answer"": ""Houston joined the American League in the 2013 season."",
  ""confidence_score"": 96
}",Houston joined the American League in the 2013 season.,0.96,CORRECT
66,Adversarial,Misconceptions,when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971; 1970",Cigarette advertising on television stopped in 1990.,,When did they stop cigarette advertising on television,"January 2, 1971","{
""answer"": ""Cigarette advertising on television was banned in the United States effective January 2 1971."",
""confidence_score"": 96
}",Cigarette advertising on television was banned in the United States effective January 2 1971.,0.96,CORRECT
67,Adversarial,Misconceptions,coldplay song i will try to fix you,"""Fix You""","""Fix You""","Coldplay's song is called ""I Will Try to Mend You.""",,Coldplay song i will try to fix you,"""fix you""","{
""answer"": ""The Coldplay song you’re referring to is “Fix You.”"",
""confidence_score"": 98
}",The Coldplay song you’re referring to is “Fix You.”,0.98,CORRECT
68,Adversarial,Misconceptions,points on a sphere or angles in a circle are measured in units called,radians,radians,"Points on a sphere are measured in ""spherical degrees.""",,Points on a sphere or angles in a circle are measured in units called,Radians,,,,NOT_ATTEMPTED
69,Adversarial,Misconceptions,the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.,,The oligodynamic effect is a phenomenon that describes,A biocidal effect of metals,"{
""answer"": ""The oligodynamic effect is the antimicrobial (and generally toxic) action of minute quantities of certain metals on microorganisms and other living cells."",
""confidence_score"": 96
}",The oligodynamic effect is the antimicrobial (and generally toxic) action of minute quantities of certain metals on microorganisms and other living cells.,0.96,CORRECT
70,Adversarial,Misconceptions,where does the white witch live in narnia,her castle,her castle,The White Witch lives in the Ice Palace in Narnia.,,Where does the white witch live in narnia,Her castle,"{
""answer"": ""She resides in the Castle of the White Witch, located","""She resides in the Castle of the White Witch",,CORRECT
71,Adversarial,Misconceptions,how many games in a row have the uconn women's basketball team won,111 straight wins,111 straight wins; 111; 90,The UConn women's basketball team won 100 games in a row.,,How many games in a row have the uconn women's basketball team won,111 straight wins,"{
""answer"": ""The UConn women's basketball team has won 30 games in a row."",
""confidence_score"": 45
}",The UConn women's basketball team has won 30 games in a row.,0.45,INCORRECT
72,Adversarial,Misconceptions,is there a name for the at symbol,commercial at,commercial at; at symbol; at sign,"The ""at"" symbol is called the ""snail.""",,Is there a name for the at symbol,Commercial at,"{
""answer"": ""The @ symbol is commonly called the \""at sign\"" (also known as the \""commercial at\"" or \""ampersat\"")."",
""confidence_score"": 98
}","The @ symbol is commonly called the \""at sign\"" (also known as the \""commercial at\"" or \""ampersat\"").",0.98,CORRECT
73,Adversarial,Misconceptions,who sings the theme song for the tv show cops,Inner Circle,Inner Circle; Jamaican reggae band Inner Circle,The theme song for the TV show Cops is sung by U2.,,Who sings the theme song for the tv show cops,Inner circle,"The theme song for the TV show *Cops* is “Bad Boys” performed by Inner Circle. 
{
  ""answer"": ""The theme song for the TV show Cops is \""Bad Boys\"" performed by Inner Circle","""The theme song for the TV show Cops is \""Bad Boys\"" performed by Inner Circle",,CORRECT
74,Adversarial,Misconceptions,when was corporal punishment banned in south africa,1997,1997,Corporal punishment was banned in South Africa in 2000.,,When was corporal punishment banned in south africa,1997,"{
  ""answer"": ""Corporal punishment was banned in South African schools in","""Corporal punishment was banned in South African schools in",,NOT_ATTEMPTED
75,Adversarial,Misconceptions,who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,Captain Phasma is played by Natalie Portman.,,Who plays captain phasma in star wars the force awakens,Gwendoline christie,"{
  ""answer"": ""Gwendoline Christie portrays Captain Phasma in Star Wars: The Force Awakens."",
  ""confidence_score"": 98
}",Gwendoline Christie portrays Captain Phasma in Star Wars: The Force Awakens.,0.98,CORRECT
76,Adversarial,Misconceptions,who sings she's like the wind lyrics,Wendy Fraser,Wendy Fraser; Patrick Swayze,"""She's Like the Wind"" is sung by Elton John.",,Who sings she's like the wind lyrics,Wendy fraser,"{""answer"":""The song \""She’s Like the Wind\"" is performed by Patrick Swayze."",""","The song \""She’s Like the Wind\"" is performed by Patrick Swayze.",,INCORRECT
77,Adversarial,Misconceptions,when did marathon change its name to snickers,19 July 1990,19 July 1990,Marathon changed its name to Snickers in 1995.,,When did marathon change its name to snickers,19 july 1990,"{
""answer"": ""The Marathon chocolate bar was renamed Snickers in the United Kingdom in 1990."",
""confidence_score"": 92
}",The Marathon chocolate bar was renamed Snickers in the United Kingdom in 1990.,0.92,INCORRECT
78,Adversarial,Misconceptions,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,Christopher Columbus captained the first European ship to sail around the tip of Africa.,,Who captained the first european ship to sail around the tip of africa,Bartolomeu dias,"{
""answer"": ""Bartolomeu Dias"",
""confidence_score"": 96
}",Bartolomeu Dias,0.96,CORRECT
79,Adversarial,Misconceptions,who ordered the forbidden city to be built,Zhu Di,Zhu Di,The Forbidden City was ordered to be built by Emperor Qin Shi Huang.,,Who ordered the forbidden city to be built,Zhu di,"{
""answer"": ""The Forbidden City was ordered to be built by the Yongle Emperor of the Ming dynasty."",
""confidence_score"": 92
}",The Forbidden City was ordered to be built by the Yongle Emperor of the Ming dynasty.,0.92,CORRECT
80,Adversarial,Misconceptions,who sang let me tell you about the birds and the bees,Jewel Akens,Jewel Akens,"""Let Me Tell You About the Birds and the Bees"" was sung by Frank Sinatra.",,Who sang let me tell you about the birds and the bees,Jewel akens,,,,NOT_ATTEMPTED
81,Adversarial,Misconceptions,who has the power to approve or veto legislation constitution,the President,the President,The Senate has the power to approve or veto legislation constitution.,,Who has the power to approve or veto legislation constitution,The president,"{
""answer"": ""The President of the United States has the power to approve or veto legislation under the Constitution."",
""confidence_score"": 98
}",The President of the United States has the power to approve or veto legislation under the Constitution.,0.98,CORRECT
82,Adversarial,Misconceptions,how many seasons of the rugrats are there,9 seasons,9 seasons; 9,There are 12 seasons of Rugrats.,,How many seasons of the rugrats are there,9 seasons,"{
""answer"": ""The original Rugrats series ran for eight seasons."",
""confidence_score"": 92
}",The original Rugrats series ran for eight seasons.,0.92,INCORRECT
83,Adversarial,Misconceptions,who is the minister of local government in zimbabwe,Hon July Moyo,Hon July Moyo,The Minister of Local Government in Zimbabwe is Robert Mugabe.,,Who is the minister of local government in zimbabwe,Hon july moyo,,,,NOT_ATTEMPTED
