question,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,level
Who choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance?,Atsushi Takemura choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,The performance was choreographed by Philippe Pomier.,Olivier Dubois choreographed Issey Miyake’s produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,Olivier Dubois choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,Olivier Dubois choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,Olivier Geldner choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,Jo Nakashima choreographed Issey Miyake’s produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,The performance was choreographed by Akari Takahashi.,Michael Gray choreographed Issey Miyake’s produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,Michael Gray choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,0,1,2,2,2,3,4,5,6,6,0.3,Olivier Dubois choreographed Issey Miyake’s produced “Aomori University Men’s Rhythmic Gymnastics Team” performance.,lowest level of confidence
Who did Latrice Royale lip-sync against on Episode 9 of Season 4 of RPDR?,Latrice Royale lip-synced against Crystal Methyd on Episode 9 of Season 4 of RuPaul's Drag Race.,Latrice Royale lip-synced against Raven.,Latrice Royale lip-synced against Monseta Daniels on Episode 9 of Season 4 of RuPaul's Drag Race.,Latrice Royale lip-synced against Monét X Change on Episode 9 of Season 4 of RuPaul's Drag Race.,Latrice Royale lip-synced against Raven.,Latrice Royale lip-synced against Raven.,Latrice Royale lip-synced against Raven.,Latrice Royale lip-synced against Monseta.,Latrice Royale lip-synced against Cheyenne Webster on Episode 9 of Season 4 of RuPaul's Drag Race.,Latrice Royale lip-synced against Monét Maksin on Episode 9 of Season 4 of RuPaul's Drag Race.,0,1,2,3,1,1,1,2,4,5,0.4,Latrice Royale lip-synced against Raven.,lowest level of confidence
"What is the weight of the Phosphorescent Pole weapon in Demon's Souls (2009) using the in-game units of weight, which are called ""units""?",The Phosphorescent Pole weighs 5 units.,The Phosphorescent Pole weighs 4 units.,The Phosphorescent Pole weighs 6 units.,The Phosphorescent Pole weighs 5 units.,The Phosphorescent Pole weighs 3 units.,The Phosphorescent Pole weighs 4 units.,The Phosphorescent Pole weighs 5 units.,The Phosphorescent Pole weighs 3 units.,The Phosphorescent Pole weighs 3 units.,The Phosphorescent Pole weighs 3 units.,0,1,2,0,3,1,0,3,3,3,0.4,The Phosphorescent Pole weighs 3 units.,lowest level of confidence
Which scientists received the American Chemical Society Award in Pure Chemistry in 1937?,Christian Erich Hansen and Louis Browder received the American Chemical Society Award in Pure Chemistry in 1937.,"In 1937, Harold Urey and Irving Langmuir received the American Chemical Society Award in Pure Chemistry.",Harold Urey and James Franck received the American Chemical Society Award in Pure Chemistry in 1937.,George Washington Carver and Gilbert N. Lewis received the American Chemical Society Award in Pure Chemistry in 1937.,Frederic Harris and George Washington Martin received the American Chemical Society Award in Pure Chemistry in 1937.,Alexander Dodds and George Willard Kosterlitz received the American Chemical Society Award in Pure Chemistry in 1937.,Harold Urey and George Washington Carver received the American Chemical Society Award in Pure Chemistry in 1937.,Peter Balz and George E. Moore received the American Chemical Society Award in Pure Chemistry in 1937.,Richard Tolman and Paul Dirac received the American Chemical Society Award in Pure Chemistry in 1937.,Frederick Sanger and Adolf Butenandt received the American Chemical Society Award in Pure Chemistry in 1937.,0,1,2,3,4,5,6,7,8,9,0.1,Christian Erich Hansen and Louis Browder received the American Chemical Society Award in Pure Chemistry in 1937.,"complete uncertainty, reject to reply"
"What were the day, month, and year when Google released a version of Chrome on Windows that added hardware-accelerated H.264 video decoding?","Google released Chrome with hardware-accelerated H.264 video decoding on November 16, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on December 16, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on December 16, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on December 14, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on January 15, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on October 16, 2015.","Google released Chrome with hardware-accelerated H.264 video decoding on November 16, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on Windows on December 14, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on October 14, 2010.","Google released Chrome with hardware-accelerated H.264 video decoding on November 16, 2010.",0,1,1,2,3,4,0,2,5,0,0.3,"Google released Chrome with hardware-accelerated H.264 video decoding on November 16, 2010.",lowest level of confidence
What is the first and last name of the first woman to chair the American Heart Association Board of Directors?,The first woman to chair the American Heart Association Board of Directors was Dr. Mary Knowlton Safford.,The first woman to chair the American Heart Association Board of Directors was Dr. Mary E. Keys.,Dr. Mary Virginia Hopkins.,The first woman to chair the American Heart Association Board of Directors was Dr. Mary Virginia Hopkins.,The first woman to chair the American Heart Association Board of Directors was Dr. Alice Kahn.,The first woman to chair the American Heart Association Board of Directors was Elizabeth A. Davis.,The first woman to chair the American Heart Association Board of Directors was Dr. Virginia Graham.,The first woman to chair the American Heart Association Board of Directors was Dr. Mary E. Woods.,The first woman to chair the American Heart Association Board of Directors was Dr. Mary Virginia McWhirter.,The first woman to chair the American Heart Association Board of Directors was Mary S. Wright.,0,1,2,2,3,4,5,6,7,8,0.2,Dr. Mary Virginia Hopkins.,"complete uncertainty, reject to reply"
What is the first name and surname of the food scientist who received the first IFT Industrial Scientist Award in 1994?,The first IFT Industrial Scientist Award recipient in 1994 was James H. Clark.,The first IFT Industrial Scientist Award in 1994 was received by William L. Gillaspie.,The first IFT Industrial Scientist Award in 1994 was received by Dr. Joseph D. Nofske.,The first IFT Industrial Scientist Award in 1994 was received by Philip W. Dunn.,The first IFT Industrial Scientist Award recipient in 1994 was James A. Lea.,The first IFT Industrial Scientist Award in 1994 was awarded to William J. Devine.,The first IFT Industrial Scientist Award recipient in 1994 was Richard A. Liley.,The first IFT Industrial Scientist Award recipient in 1994 was John J. (Jack) Whitaker.,The first IFT Industrial Scientist Award recipient in 1994 was James M. Jay.,The first IFT Industrial Scientist Award recipient in 1994 was Frank J. Thomas.,0,1,2,3,4,5,6,7,8,9,0.1,The first IFT Industrial Scientist Award recipient in 1994 was James H. Clark.,"complete uncertainty, reject to reply"
Which Iranian organization did Mahlagha Mallah help to found in 1993?,Mahlagha Mallah helped to found the Society for the Protection of Children in Iran in 1993.,Mahlagha Mallah helped to found the Iranian Women's Rights Movement in 1993.,Mahlagha Mallah helped to found the Women of Iran Organization (WOI) in 1993.,Mahlagha Mallah helped to found the Iran Women’s Rights Movement in 1993.,Mahlagha Mallah helped to found the Iran Women's Political Participation Center (IWPP) in 1993.,Mahlagha Mallah helped to found the Society for the Protection of Children in Iran (SPCI) in 1993.,Mahlagha Mallah helped to found the Iran Women’s Political Participation Center (IWPP) in 1993.,Mahlagha Mallah helped to found the Iran Women's Political Participation Center (IWPP) in 1993.,Mahlagha Mallah helped found the Society for the Defense of Human Rights in Iran in 1993.,Mahlagha Mallah helped to found the Society for the Protection of Children in Iran (SPCI) in 1993.,0,1,2,1,3,0,3,3,4,0,0.3,Mahlagha Mallah helped to found the Society for the Protection of Children in Iran in 1993.,lowest level of confidence
In what year did the aerospace scientist Hans Wolfgang Liepmann receive the Ludwig-Prandtl-Ring Award?,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1962.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1962.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,0,0,1,1,0,0,0,0,0,0,0.8,Hans Wolfgang Liepmann received the Ludwig-Prandtl-Ring Award in 1964.,moderate level of confidence
"What was the day, month, and year when Mario-Rafael Ionian, an Austrian former competitive figure skater, was born?","Mario-Rafael Ionian was born on November 18, 1987.","Mario-Rafael Ionian was born on December 27, 1984.","Mario-Rafael Ionian was born on November 28, 1983.","Mario-Rafael Ionian was born on December 26, 1985.","Mario-Rafael Ionian was born on November 27, 1988.","Mario-Rafael Ionian was born on January 14, 1984.","Mario-Rafael Ionian was born on December 27, 1984.","Mario-Rafael Ionian was born on July 12, 1984.","Mario-Rafael Ionian was born on December 21, 1983.","Mario-Rafael Ionian was born on June 28, 1985.",0,1,2,3,4,5,1,6,7,8,0.2,"Mario-Rafael Ionian was born on December 27, 1984.","complete uncertainty, reject to reply"
"What day, month, and year was Jackson Asiku, the Ugandan-Australian amateur flyweight and professional feather/super featherweight boxer, born?","Jackson Asiku was born on November 27, 1993.","Jackson Asiku was born on December 26, 1993.","Jackson Asiku was born on November 14, 1993.","Jackson Asiku was born on June 24, 1993.","Jackson Asiku was born on June 15, 1992.","Jackson Asiku was born on June 21, 1991.","Jackson Asiku was born on June 19, 1993.","Jackson Asiku was born on November 17, 1993.","Jackson Asiku was born on June 23, 1993.","Jackson Asiku was born on June 12, 1992.",0,1,2,3,4,5,6,7,8,9,0.1,"Jackson Asiku was born on November 27, 1993.","complete uncertainty, reject to reply"
What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?,"Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson's disease, which necessitated her resignation from her position.","Elizabeth Esteve-Coll was diagnosed with early-onset Alzheimer's disease, which ultimately necessitated her resignation from her position.",Elizabeth Esteve-Coll was diagnosed with early-onset Alzheimer's disease.,"Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson's disease, which necessitated her resignation from her position.",Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson's disease.,"Elizabeth Esteve-Coll was diagnosed with early-onset Alzheimer’s disease, which led to her decision to step down as Vice-Chancellor.","Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson’s disease, which required her to step down from her position as Vice-Chancellor.",Elizabeth Esteve-Coll was diagnosed with early-onset Alzheimer's disease.,"Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson’s disease, which required her to step down from her position.",Elizabeth Esteve-Coll was diagnosed with early-onset Alzheimer's disease.,0,1,1,0,0,1,0,1,0,1,0.5,"Elizabeth Esteve-Coll was diagnosed with early-onset Parkinson's disease, which necessitated her resignation from her position.",low level of confidence
In which year was Dina Nath Walli (an Indian watercolor artist and poet from Srinagar city) born?,Dina Nath Walli was born in 1891.,Dina Nath Walli was born in 1889.,Dina Nath Walli was born in 1891.,Dina Nath Walli was born in 1891.,Dina Nath Walli was born in 1889.,Dina Nath Walli was born in 1907.,Dina Nath Walli was born in 1889.,Dina Nath Walli was born in 1891.,Dina Nath Walli was born in 1907.,Dina Nath Walli was born in 1889.,0,1,0,0,1,2,1,0,2,1,0.4,Dina Nath Walli was born in 1891.,lowest level of confidence
"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Dr. Sam Holland.,Dr. Sam Cahill.,The psychiatrist whose surname is Sterling prescribes medication for Marie’s blackouts.,Dr. Sam Callahan.,Dr. Sam Holland.,Dr. Sam Callahan.,The psychiatrist's surname is Roth.,The psychiatrist whose surname is Nelson prescribes medication for Marie's blackouts.,Dr. Sam Callahan.,The psychiatrist’s surname is Lockhart.,0,1,2,3,0,3,4,5,3,6,0.3,Dr. Sam Callahan.,lowest level of confidence
"After being expelled from BSP due to alleged anti-party activities, the Indian politician Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from which constituency in 2007?",Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,0,0,0,0,0,0,0,0,0,0,1.0,Kuldeep Singh Sengar joined the Samajwadi Party and won a seat from the Kasganj constituency in 2007.,high level of confidence
Who won the Margaret Oakley Dayhoff Award in 2011?,William C. Greene won the Margaret Oakley Dayhoff Award in 2011.,Michael Freedenthal won the Margaret Oakley Dayhoff Award in 2011.,Dr. David S. Gottesman won the Margaret Oakley Dayhoff Award in 2011.,Dr. David A. Williams won the Margaret Oakley Dayhoff Award in 2011.,Dr. Dennis Goodman won the Margaret Oakley Dayhoff Award in 2011.,Dr. Kenneth Murray won the Margaret Oakley Dayhoff Award in 2011.,Dr. David A. Williams won the Margaret Oakley Dayhoff Award in 2011.,Dr. Michael S. Goldstein won the Margaret Oakley Dayhoff Award in 2011.,James L. Kitts won the Margaret Oakley Dayhoff Award in 2011.,Dr. John W. Nicholson won the Margaret Oakley Dayhoff Award in 2011.,0,1,2,3,4,5,3,6,7,8,0.2,Dr. David A. Williams won the Margaret Oakley Dayhoff Award in 2011.,"complete uncertainty, reject to reply"
"On what day, month, and year did Mereta Mita die, and what was the reason behind her death?","Mereta Mita died on December 24, 1966, due to a heart attack.","Mereta Mita died on June 13, 1962, due to complications from a stroke.","Mereta Mita died on November 25, 1936, due to a heart attack.","Mereta Mita died on June 16, 1989, due to complications from a stroke.","Mereta Mita died on January 23, 1986, due to complications from a stroke.","Mereta Mita died on November 23, 1963, due to complications from a stroke.","Mereta Mita died on June 12, 1966, from complications related to a stroke.","Mereta Mita died on July 26, 1989, due to a stroke.","Mereta Mita died on June 12, 1966, due to a stroke.","Mereta Mita died on June 11, 1989, due to a stroke.",0,1,2,3,4,5,6,7,6,8,0.2,"Mereta Mita died on June 12, 1966, from complications related to a stroke.","complete uncertainty, reject to reply"
Who is Gabby Arteta married to in Season 1 of Severance?,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,Mark Scout is married to Gabby Arteta in Season 1 of Severance.,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,Gabby Arteta is married to Mark Scout.,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,Mark Scout is Gabby Arteta's husband in Season 1 of Severance.,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,Gabby Arteta is married to Mark Scout.,Gabby Arteta is married to Mark Scout.,0,0,0,0,0,0,0,0,0,0,1.0,Gabby Arteta is married to Mark Scout in Season 1 of Severance.,high level of confidence
During what year did Tatsuo Miyajima have his first solo exhibition?,Tatsuo Miyajima had his first solo exhibition in 1965.,Tatsuo Miyajima held his first solo exhibition in 1965.,Tatsuo Miyajima had his first solo exhibition in 1965.,Tatsuo Miyajima held his first solo exhibition in 1965.,Tatsuo Miyajima had his first solo exhibition in 1965.,Tatsuo Miyajima held his first solo exhibition in 1965.,Tatsuo Miyajima's first solo exhibition took place in 1966.,Tatsuo Miyajima had his first solo exhibition in 1965.,Tatsuo Miyajima had his first solo exhibition in 1965.,Tatsuo Miyajima had his first solo exhibition in 1965.,0,0,0,0,0,0,0,0,0,0,1.0,Tatsuo Miyajima had his first solo exhibition in 1965.,high level of confidence
"On which day, month, and year was the RS-1 satellite launched from the Satish Dhawan Space Centre in India?","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on July 16, 1992, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on March 12, 1998, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on July 16, 1991, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on July 16, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.","The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.",0,0,1,0,2,3,0,4,0,0,0.6,"The RS-1 satellite was launched on June 12, 1993, from the Satish Dhawan Space Centre in India.",low level of confidence
"What were the day, month, and year when Britannica released a Google Chrome extension, ""Britannica Insights,"" which shows snippets of information from Britannica Online whenever the user performs a Google search, in a box to the right of Google's results?","Britannica released the ""Britannica Insights"" Google Chrome extension on November 16, 2022.","Britannica released the ""Britannica Insights"" Google Chrome extension on December 14, 2022.","Britannica released the ""Britannica Insights"" Chrome extension on October 26, 2022.","Britannica released the ""Britannica Insights"" Chrome extension on December 14, 2022.","Britannica released the ""Britannica Insights"" Chrome extension on November 15, 2023.","Britannica released the ""Britannica Insights"" Chrome extension on November 16, 2023.","Britannica released the ""Britannica Insights"" Chrome extension on December 13, 2023.","Britannica released the ""Britannica Insights"" Google Chrome extension on November 15, 2023.","Britannica released the ""Britannica Insights"" Chrome extension on November 16, 2022.","Britannica released the ""Britannica Insights"" Chrome extension on December 14, 2022.",0,1,2,1,3,4,5,3,0,1,0.3,"Britannica released the ""Britannica Insights"" Google Chrome extension on December 14, 2022.",lowest level of confidence
