,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer
46,Adversarial,Misconceptions,where is lord's prayer found in bible,in the Gospel of Luke,in the Gospel of Luke,Matthew 5,,Where is lord's prayer found in bible,In the gospel of luke
47,Adversarial,Misconceptions,when was the last time oklahoma won a national championship in football,2003,2003; 2000,2003,,When was the last time oklahoma won a national championship in football,2003
48,Adversarial,Misconceptions,location of the ten commandments in the bible,Exodus,Exodus; Deuteronomy,Genesis 20,,Location of the ten commandments in the bible,Exodus
49,Adversarial,Misconceptions,where did the allies go after north africa,Italy,Italy; the Italian Campaign,Italy,,Where did the allies go after north africa,Italy
50,Adversarial,Misconceptions,what is the meaning of veronica in english,she who brings victory,she who brings victory,"Veronica means ""true image"" in English.",,What is the meaning of veronica in english,She who brings victory
51,Adversarial,Misconceptions,what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta; aorta,The main artery is called the Cardiac Artery.,,What is the name of the main artery which takes blood from the heart to the body,The aorta
52,Adversarial,Misconceptions,who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,Solomon was played by Tom Cruise.,,Who played solomon in little house on the prairie,Todd bridges
53,Adversarial,Misconceptions,who does eric end up with in that 70s show,Donna,Donna,Eric ends up with Laurie in That '70s Show.,,Who does eric end up with in that 70s show,Donna
54,Adversarial,Misconceptions,an object that moves around an external axis is said to be,revolution or orbital revolution,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion.""",,An object that moves around an external axis is said to be,Revolution or orbital revolution
55,Adversarial,Misconceptions,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches.""",,Architectural elements forming rib vaults eg wells cathedral,An armature of piped masonry
56,Adversarial,Misconceptions,who sang the song good morning good morning,Gene Kelly,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones.",,Who sang the song good morning good morning,Gene kelly
57,Adversarial,Misconceptions,who wrote papa got a brand new bag,James Brown,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",,Who wrote papa got a brand new bag,James brown
58,Adversarial,Misconceptions,where does a roadrunner live in the desert,mountainous shrubland,mountainous shrubland; arid lowland,A roadrunner lives in the Sahara Desert.,,Where does a roadrunner live in the desert,Mountainous shrubland
59,Adversarial,Misconceptions,who wrote it's a long long way to pasadena,John Young,John Young; Harry Vanda; David Hemmings; George Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan.",,Who wrote it's a long long way to pasadena,John young
60,Adversarial,Misconceptions,what's the dog's name on tom and jerry,Spike,Spike,The dog's name on Tom and Jerry is Fido.,,What's the dog's name on tom and jerry,Spike
61,Adversarial,Misconceptions,who are nominated for president of india 2017,Meira Kumar,Meira Kumar; Ram Nath Kovind,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.,,Who are nominated for president of india 2017,Meira kumar
62,Adversarial,Misconceptions,where does the path train stop in newark,Newark Penn Station,Newark Penn Station,The PATH train stops at Newark Central Station.,,Where does the path train stop in newark,Newark penn station
63,Adversarial,Misconceptions,where does route 66 start on the west coast,in Santa Monica,in Santa Monica,Route 66 starts in San Francisco on the West Coast.,,Where does route 66 start on the west coast,In santa monica
64,Adversarial,Misconceptions,who is the first wife on sister wives,Meri,Meri,The first wife on Sister Wives is Christine Brown.,,Who is the first wife on sister wives,Meri
65,Adversarial,Misconceptions,when did houston go to the american league,2013,2013,Houston went to the American League in 2005.,,When did houston go to the american league,2013
66,Adversarial,Misconceptions,when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971; 1970",Cigarette advertising on television stopped in 1990.,,When did they stop cigarette advertising on television,"January 2, 1971"
67,Adversarial,Misconceptions,coldplay song i will try to fix you,"""Fix You""","""Fix You""","Coldplay's song is called ""I Will Try to Mend You.""",,Coldplay song i will try to fix you,"""fix you"""
68,Adversarial,Misconceptions,points on a sphere or angles in a circle are measured in units called,radians,radians,"Points on a sphere are measured in ""spherical degrees.""",,Points on a sphere or angles in a circle are measured in units called,Radians
69,Adversarial,Misconceptions,the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.,,The oligodynamic effect is a phenomenon that describes,A biocidal effect of metals
70,Adversarial,Misconceptions,where does the white witch live in narnia,her castle,her castle,The White Witch lives in the Ice Palace in Narnia.,,Where does the white witch live in narnia,Her castle
71,Adversarial,Misconceptions,how many games in a row have the uconn women's basketball team won,111 straight wins,111 straight wins; 111; 90,The UConn women's basketball team won 100 games in a row.,,How many games in a row have the uconn women's basketball team won,111 straight wins
72,Adversarial,Misconceptions,is there a name for the at symbol,commercial at,commercial at; at symbol; at sign,"The ""at"" symbol is called the ""snail.""",,Is there a name for the at symbol,Commercial at
73,Adversarial,Misconceptions,who sings the theme song for the tv show cops,Inner Circle,Inner Circle; Jamaican reggae band Inner Circle,The theme song for the TV show Cops is sung by U2.,,Who sings the theme song for the tv show cops,Inner circle
74,Adversarial,Misconceptions,when was corporal punishment banned in south africa,1997,1997,Corporal punishment was banned in South Africa in 2000.,,When was corporal punishment banned in south africa,1997
75,Adversarial,Misconceptions,who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,Captain Phasma is played by Natalie Portman.,,Who plays captain phasma in star wars the force awakens,Gwendoline christie
76,Adversarial,Misconceptions,who sings she's like the wind lyrics,Wendy Fraser,Wendy Fraser; Patrick Swayze,"""She's Like the Wind"" is sung by Elton John.",,Who sings she's like the wind lyrics,Wendy fraser
77,Adversarial,Misconceptions,when did marathon change its name to snickers,19 July 1990,19 July 1990,Marathon changed its name to Snickers in 1995.,,When did marathon change its name to snickers,19 july 1990
78,Adversarial,Misconceptions,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,Christopher Columbus captained the first European ship to sail around the tip of Africa.,,Who captained the first european ship to sail around the tip of africa,Bartolomeu dias
79,Adversarial,Misconceptions,who ordered the forbidden city to be built,Zhu Di,Zhu Di,The Forbidden City was ordered to be built by Emperor Qin Shi Huang.,,Who ordered the forbidden city to be built,Zhu di
80,Adversarial,Misconceptions,who sang let me tell you about the birds and the bees,Jewel Akens,Jewel Akens,"""Let Me Tell You About the Birds and the Bees"" was sung by Frank Sinatra.",,Who sang let me tell you about the birds and the bees,Jewel akens
81,Adversarial,Misconceptions,who has the power to approve or veto legislation constitution,the President,the President,The Senate has the power to approve or veto legislation constitution.,,Who has the power to approve or veto legislation constitution,The president
82,Adversarial,Misconceptions,how many seasons of the rugrats are there,9 seasons,9 seasons; 9,There are 12 seasons of Rugrats.,,How many seasons of the rugrats are there,9 seasons
83,Adversarial,Misconceptions,who is the minister of local government in zimbabwe,Hon July Moyo,Hon July Moyo,The Minister of Local Government in Zimbabwe is Robert Mugabe.,,Who is the minister of local government in zimbabwe,Hon july moyo
84,Adversarial,Misconceptions,what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,Inequality of opportunity,The initial effect of the transition was a decrease in GDP.,,What was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity
85,Adversarial,Misconceptions,when did toyota start making cars in the us,by the early 1980s,by the early 1980s; 1984,Toyota started making cars in the US in 1985.,,When did toyota start making cars in the us,By the early 1980s
86,Adversarial,Misconceptions,how many pieces in a terry's chocolate orange,six,six; 20,There are 16 pieces in a Terry's Chocolate Orange.,,How many pieces in a terry's chocolate orange,Six
87,Adversarial,Misconceptions,who plays the saint of killers on preacher,Graham McTavish,Graham McTavish,The Saint of Killers on Preacher is played by Brad Pitt.,,Who plays the saint of killers on preacher,Graham mctavish
88,Adversarial,Misconceptions,when did the royal proclamation of 1763 end,the American Revolutionary War,the American Revolutionary War; with the American Revolutionary War; 1783,The Royal Proclamation of 1763 ended in 1783.,,When did the royal proclamation of 1763 end,The american revolutionary war
89,Adversarial,Misconceptions,who is playing the halftime show at super bowl 2016,Beyoncé,Beyoncé; Coldplay; Bruno Mars,The halftime show at Super Bowl 2016 was performed by Maroon 5.,,Who is playing the halftime show at super bowl 2016,Beyoncé
90,Adversarial,Misconceptions,jonny cash one piece at a time car,Cadillac,Cadillac,"Johnny Cash's ""One Piece at a Time"" car is a Cadillac.",,Jonny cash one piece at a time car,Cadillac
91,Adversarial,Misconceptions,what is the minimum wage in france per hour,11.16,11.16; €9.88 per hour.,The minimum wage in France per hour is €12.,,What is the minimum wage in france per hour,11.16
92,Adversarial,Misconceptions,describe the three phases of the normal blood clotting process,blood coagulation,"blood coagulation; vasoconstriction,","The three phases of blood clotting are initiation, amplification, and termination.",,Describe the three phases of the normal blood clotting process,Blood coagulation
93,Adversarial,Misconceptions,when did amnesia the dark descent come out,8 September 2010,8 September 2010,Amnesia: The Dark Descent was released in 2012.,,When did amnesia the dark descent come out,8 september 2010
94,Adversarial,Misconceptions,what is the oldest street in the philippines,Cebu City,Cebu City; Colon Street,The oldest street in the Philippines is Calle Crisologo.,,What is the oldest street in the philippines,Cebu city
95,Adversarial,Misconceptions,where is the tibia and fibula bone located,leg,leg,The tibia and fibula bones are located in the forearm.,,Where is the tibia and fibula bone located,Leg
96,Adversarial,Misconceptions,who played bat masterson in the tv series,Gene Barry,Gene Barry,Bat Masterson was played by Clint Eastwood in the TV series.,,Who played bat masterson in the tv series,Gene barry
97,Adversarial,Misconceptions,who sings sugar sugar you are my candy girl,the Archies,the Archies,"""Sugar Sugar You Are My Candy Girl"" is sung by The Beatles.",,Who sings sugar sugar you are my candy girl,The archies
98,Adversarial,Misconceptions,types of skiing in the winter olympics 2018,Slalom,Slalom; Downhill; Super-G; Giant slalom; Slalom – (SC),Types of skiing in the Winter Olympics 2018 include snowboarding and ice skating.,,Types of skiing in the winter olympics 2018,Slalom
99,Adversarial,Misconceptions,who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,Robert Gillespie Adamson IV,Noah Newman on The Young and the Restless is played by Leonardo DiCaprio.,,Who plays noah newman on the young and the restless,Robert gillespie adamson iv
100,Adversarial,Misconceptions,who has won the most games in nfl 2017,Dallas Cowboys,Dallas Cowboys,Tom Brady,,Who has won the most games in nfl 2017,Dallas cowboys
101,Adversarial,Misconceptions,under article 1 what is the minimum age required to serve in the house of representatives,25,25; 25 years old,21 years,,Under article 1 what is the minimum age required to serve in the house of representatives,25
102,Adversarial,Misconceptions,who has the most catches in nfl history,Jerry Rice,Jerry Rice,Jerry Smith,,Who has the most catches in nfl history,Jerry rice
103,Adversarial,Misconceptions,when does the dlc for rainbow six siege come out,January 2018,January 2018,"February 30, 2022",,When does the dlc for rainbow six siege come out,January 2018
104,Adversarial,Misconceptions,who was the great wall of china built to defend against,nomads from Inner Asia,nomads from Inner Asia; nomads from Inner Asia.,The Mongolian Empire,,Who was the great wall of china built to defend against,Nomads from inner asia
105,Adversarial,Misconceptions,where does the last name galvez come from,Spanish surname,Spanish surname; Spanish,Portugal,,Where does the last name galvez come from,Spanish surname
106,Adversarial,Misconceptions,who opens the church of the holy sepulchre,the Sunni Muslim family,the Sunni Muslim family; the Nusaybah family,The Pope,,Who opens the church of the holy sepulchre,The sunni muslim family
107,Adversarial,Misconceptions,when does season 5 of the blacklist resume,"January 31, 2018","January 31, 2018","January 32, 2021",,When does season 5 of the blacklist resume,"January 31, 2018"
108,Adversarial,Misconceptions,the chinese dragons are protectors of how many seas diggy,Four Seas,Four Seas; Four,8 seas,,The chinese dragons are protectors of how many seas diggy,Four seas
109,Adversarial,Misconceptions,how much money did it cost to make gta v,137,137,$500 million,,How much money did it cost to make gta v,137
110,Adversarial,Misconceptions,what is the angle of the tower of pisa,about 3.99 degrees,about 3.99 degrees; 3.99 degrees; at about 3.99 degrees,7 degrees,,What is the angle of the tower of pisa,About 3.99 degrees
111,Adversarial,Misconceptions,what is the share of agriculture in indian economy,17.32%,17.32%; 23%,55%,,What is the share of agriculture in indian economy,17.32%
112,Adversarial,Misconceptions,who does demetrius love in a midsummer night dream,Helena,Helena; Hermia,Helena,,Who does demetrius love in a midsummer night dream,Helena
113,Adversarial,Misconceptions,when did the movie varsity blues come out,1999,"1999; January 15, 1999",1995,,When did the movie varsity blues come out,1999
114,Adversarial,Misconceptions,when does the champions league quarter finals start,16 March 2018,16 March 2018; 3–4 April 2018,"April 31, 2021",,When does the champions league quarter finals start,16 march 2018
115,Adversarial,Misconceptions,who was the famous scientist that ran the research lab moseley went to in manchester,Sir Ernest Rutherford,Sir Ernest Rutherford,Albert Einstein,,Who was the famous scientist that ran the research lab moseley went to in manchester,Sir ernest rutherford
116,Adversarial,Misconceptions,where do you get a cashiers check from,a bank,a bank; bank,The Post Office,,Where do you get a cashiers check from,A bank
117,Adversarial,Misconceptions,who does stefan marry in the vampire diaries,Caroline Forbes,Caroline Forbes,Caroline,,Who does stefan marry in the vampire diaries,Caroline forbes
118,Adversarial,Misconceptions,what is the meaning of cc and bcc,Carbon copy,Carbon copy; Carbon copy to secondary recipients; Blind carbon copy,Carbon Copy and Blind Carbon Copy,,What is the meaning of cc and bcc,Carbon copy
119,Adversarial,Misconceptions,hazels boyfriend in the fault in our stars,Augustus Waters,Augustus Waters,Peter,,Hazels boyfriend in the fault in our stars,Augustus waters
120,Adversarial,Misconceptions,when does the day of the dead end,November 2,November 2,November 3,,When does the day of the dead end,November 2
121,Adversarial,Misconceptions,when do you celebrate birthday if born on feb 29,February 29,February 29; February 28; March 1,March 1,,When do you celebrate birthday if born on feb 29,February 29
122,Adversarial,Misconceptions,where does new york drinking water come from,the eastern Catskill Mountains,the eastern Catskill Mountains,The Hudson River,,Where does new york drinking water come from,The eastern catskill mountains
123,Adversarial,Misconceptions,where is the citrus bowl held this year,Camping World Stadium,Camping World Stadium,"Miami, Florida",,Where is the citrus bowl held this year,Camping world stadium
124,Adversarial,Misconceptions,what year does the quiet man take place,the 1920s,the 1920s; In the 1920s,1920,,What year does the quiet man take place,The 1920s
125,Adversarial,Misconceptions,how many seasons of rules of engagement is there,7,7; seven,8 seasons,,How many seasons of rules of engagement is there,7
126,Adversarial,Misconceptions,who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno,Tom Cruise,,Who plays alec ramsay in the black stallion,Kelly reno
127,Adversarial,Misconceptions,who plays dusty in the movie pure country,George Strait,George Strait,Brad Pitt,,Who plays dusty in the movie pure country,George strait
128,Adversarial,Misconceptions,how many episodes of greys anatomy season 14,24,24; 24 episodes; 21,25 episodes,,How many episodes of greys anatomy season 14,24
129,Adversarial,Misconceptions,who is currently serving as president of the senate,Orrin Hatch,Orrin Hatch; Patrick Leahy,Joe Biden,,Who is currently serving as president of the senate,Orrin hatch
130,Adversarial,Misconceptions,what percentage of sunlight is captured by plants to convert it into food energy,45%,45%; 3 to 6%,15%,,What percentage of sunlight is captured by plants to convert it into food energy,45%
131,Adversarial,Misconceptions,what type of economic system was utilized in the soviet union,communism,communism; state ownership,Capitalism,,What type of economic system was utilized in the soviet union,Communism
132,Adversarial,Misconceptions,how many gold medals did australia win in the 2000 olympics,16,16,25 gold medals,,How many gold medals did australia win in the 2000 olympics,16
133,Adversarial,Misconceptions,who started ww2 and how did it start,Nazi Germany,Nazi Germany,"France, assassination of Archduke Ferdinand",,Who started ww2 and how did it start,Nazi germany
134,Adversarial,Misconceptions,when did the royal mint move to wales,1968,1968; the 1960s.; 17 December 1968; the 1960s,1985,,When did the royal mint move to wales,1968
135,Adversarial,Misconceptions,when did bird is the word come out,1963,1963,1960,,When did bird is the word come out,1963
136,Adversarial,Misconceptions,how tall is the actor who plays hagrid in harry potter,6ft 1in,6ft 1in,"6'10""",,How tall is the actor who plays hagrid in harry potter,6ft 1in
137,Adversarial,Misconceptions,who is opening for little mix glory days tour,Sheppard,Sheppard; Zoe Badwi; Louisa Johnson; Bronnie; The Vamps; Ella Eyre; Conor Maynard,Ariana Grande,,Who is opening for little mix glory days tour,Sheppard
138,Adversarial,Misconceptions,who performed the first c section in 1794,Dr. Jesse Bennett,Dr. Jesse Bennett,Dr,,Who performed the first c section in 1794,Dr. jesse bennett
139,Adversarial,Misconceptions,who voices randy in f is for family,T.J. Miller,T.J. Miller,Adam Sandler,,Who voices randy in f is for family,T.j. miller
140,Adversarial,Misconceptions,bible verse taking the lord's name in vain,Exodus 20:7,Exodus 20:7,Exodus 20:7,,Bible verse taking the lord's name in vain,Exodus 20:7
141,Adversarial,Misconceptions,who controlled the house and the senate in 2012,Republican,Republican; Democratic,Republicans,,Who controlled the house and the senate in 2012,Republican
142,Adversarial,Misconceptions,when's the last time army won the army navy game,2017,2017; Army,2010,,When's the last time army won the army navy game,2017
143,Adversarial,Misconceptions,when does thomas rhett's new album come out,"September 8, 2017","September 8, 2017","June 31, 2021",,When does thomas rhett's new album come out,"September 8, 2017"
144,Adversarial,Misconceptions,who won the champions league final in 2016,Real Madrid,Real Madrid,Manchester United,,Who won the champions league final in 2016,Real madrid
145,Adversarial,Misconceptions,who is the real killer in basic instinct 2,Catherine Tramell,Catherine Tramell,Catherine Tramell,,Who is the real killer in basic instinct 2,Catherine tramell
146,Adversarial,Misconceptions,who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan,Bret Iwan; Wayne Allwine,Tom Hanks,,Who does the voice of mickey mouse on mickey mouse clubhouse,Bret iwan
147,Adversarial,Misconceptions,when was the last episode of vampire diaries aired,"March 10, 2017","March 10, 2017; March 10, 2017","December 32, 2017",,When was the last episode of vampire diaries aired,"March 10, 2017"
148,Adversarial,Misconceptions,where did the dewey decimal system come from,Melvil Dewey,Melvil Dewey,England,,Where did the dewey decimal system come from,Melvil dewey
149,Adversarial,Misconceptions,where did the jungle book story come from,English author Rudyard Kipling,English author Rudyard Kipling,Ancient Egypt,,Where did the jungle book story come from,English author rudyard kipling
150,Adversarial,Misconceptions,derek and meredith get back together season 3,Staring at the Sun,Staring at the Sun,Season 4,,Derek and meredith get back together season 3,Staring at the sun
151,Adversarial,Misconceptions,who did america declare war on in ww1,Austria-Hungary,Austria-Hungary,Russia,,Who did america declare war on in ww1,Austria-hungary
152,Adversarial,Misconceptions,who played zoe hart on hart of dixie,Rachel Sarah Bilson,Rachel Sarah Bilson,Rachel Bilson,,Who played zoe hart on hart of dixie,Rachel sarah bilson
153,Adversarial,Misconceptions,what was tom hanks character name in castaway,Chuck Noland,Chuck Noland,Jack Noland,,What was tom hanks character name in castaway,Chuck noland
154,Adversarial,Misconceptions,what engine is in a holden v8 supercar,V8-engine,V8-engine,Ford V8 engine,,What engine is in a holden v8 supercar,V8-engine
155,Adversarial,Misconceptions,when did the sat become out of 1600,March 2016,March 2016; 2014; 2016,1985,,When did the sat become out of 1600,March 2016
156,Adversarial,Misconceptions,when was the minimum wage established in the united states,1938,1938; 1933; 1912,1935,,When was the minimum wage established in the united states,1938
157,Adversarial,Misconceptions,when did the rational dress society begin to work,1881,1881,1880,,When did the rational dress society begin to work,1881
158,Adversarial,Misconceptions,what is the baby elephants name in jungle book,Hathi Jr.,Hathi Jr.,Kala,,What is the baby elephants name in jungle book,Hathi jr.
159,Adversarial,Misconceptions,where is fe best absorbed in the body,in the duodenum,in the duodenum; the duodenum,Stomach,,Where is fe best absorbed in the body,In the duodenum
160,Adversarial,Misconceptions,who is the biggest selling female group of all time,Spice Girls,Spice Girls,The Spice Girls,,Who is the biggest selling female group of all time,Spice girls
161,Adversarial,Misconceptions,epidemiologists attempt to explain the link between health and variables such as,biological agents,biological agents; disease conditions in defined populations; smoking; stress; chemicals; alcohol,Genetics and lifestyle,,Epidemiologists attempt to explain the link between health and variables such as,Biological agents
162,Adversarial,Misconceptions,who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyu; Javier Fernández; Shoma Uno,Yuzuru Hanyu,,Who won the mens single ice skating 2018,Yuzuru hanyu
163,Adversarial,Misconceptions,where is the boy who played charlie in willy wonka,Peter Gardner[4] Ostrum,"Peter Gardner[4] Ostrum; Lowville, New York",Living in London,,Where is the boy who played charlie in willy wonka,Peter gardner[4] ostrum
164,Adversarial,Misconceptions,where was the first session of the assam association held in1905,Guwahati,Guwahati,Kolkata,,Where was the first session of the assam association held in1905,Guwahati
165,Adversarial,Misconceptions,who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton; Laura Brent,Nicole Kidman,,Who played ice queen in chronicles of narnia,Tilda swinton
166,Adversarial,Misconceptions,when is season 2 of jessica jones being released,"March 8, 2018","March 8, 2018",January 2018,,When is season 2 of jessica jones being released,"March 8, 2018"
