Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,logprobs,confidences,accuracies
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is the state located in the centre of India.,"[0, 0, 0, -0.11211565136909485, -0.11853151023387909, -3.182938598911278e-05, -0.00019665506260935217, -0.5304356217384338, -0.3278564512729645, -0.2591902017593384, -7.629423635080457e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3113030945532955e-06, 0, 0, -0.5313866138458252, -0.0008364837267436087, 0, -0.00011444746633060277, -0.0002053590869763866, -0.00013256951933726668, -0.055867522954940796, -0.006715324241667986, -1.1920930376163597e-07, -1.1444157280493528e-05, 0, -8.344653679159819e-07, 0, 0]",0.9488251485877779,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,,"[0, 0, 0, -0.08247549086809158, -1.3564457893371582, -0.0010626595467329025, -0.009569029323756695, -0.019722439348697662, 0, -4.768372718899627e-07, -0.01948082074522972, -0.03939773514866829, -0.0007932351436465979, -0.2945471704006195, -0.0009211967117153108, 0, -0.8875798583030701, -1.270233392715454, 0, -0.12771621346473694, -0.0209925789386034, -3.6443657875061035, -0.0060457587242126465, 0, -1.0371261851105373e-05, -0.000104194346931763, -0.003337642177939415, -0.0006958282319828868, -0.0011346815153956413, -3.0918772220611572, -0.0011369490530341864, -0.07215635478496552, -8.416530181420967e-05, -2.3841860752327193e-07, -0.0001644031290197745, 0, 0, -1.1920930376163597e-07, -0.0019189638551324606, -0.11094283312559128, -0.2541099488735199, -0.023252522572875023, -0.18378856778144836, -0.06641380488872528, -2.8849064619862475e-05, -0.00014246524369809777, -0.009968027472496033, -0.031503111124038696, -0.003557565389201045, -0.281781405210495, -3.7222039699554443, -0.0010205348953604698, -0.006092413328588009, -3.576279254957626e-07, -2.3841860752327193e-07, -2.2889246940612793, -0.08269235491752625, 0, -1.5619722604751587, -0.5304860472679138, -0.15569444000720978, -3.993590871687047e-05, -5.74448299407959, -3.348503351211548, -4.768372718899627e-07, -2.7172746658325195, -2.3841860752327193e-07, -0.07903221249580383, -0.00434776209294796, -0.2907527685165405, -3.3907582759857178, -0.00017251071403734386, -0.00015081111632753164, -0.674267590045929, -0.03698952868580818, -0.0027813215274363756, -0.0007933544111438096, -0.01760954037308693, -1.6434248685836792, -3.814704541582614e-06, -0.008374311961233616, -0.00027797507937066257, -0.0003116616571787745, -0.09366830438375473, -3.603750467300415, -0.0004971070447936654, -2.8530118465423584, -0.008975070901215076, 0, -0.11314539611339569, -0.07889159768819809, -2.5033982637978625e-06, -2.3841860752327193e-07, -0.0022460990585386753, -0.3765089213848114, -0.006122758146375418, -0.0003873263776767999, -0.0016134873731061816, -2.381527900695801, 0]",0.620336961844952,NOT_ATTEMPTED
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The surname Wallace originates from the Old French word “*waleis*” meaning “Welshman” or “foreigner,” introduced to Scotland after the Norman Conquest and later Anglicized as a family name.","[0, 0, 0, -0.1152123510837555, -0.46877947449684143, -5.662601688527502e-05, -0.09387713670730591, -1.120573597290786e-05, 0, 0, 0, 0, 0, -5.436091305455193e-05, -3.182938598911278e-05, -0.001193997566588223, -0.04693405330181122, 0, -2.4318991563632153e-05, -0.40771278738975525, -1.120573597290786e-05, -1.1839537620544434, -0.01987169310450554, -2.286663770675659, -0.01355489157140255, -1.9073504518019035e-06, -1.1920930376163597e-07, -0.00038708787178620696, -0.07895532250404358, 0, -0.2789671719074249, 0, -0.0011293706484138966, -0.1550348997116089, -9.406055323779583e-05, 0, -0.004710066597908735, 0, -0.0007914455491118133, -0.10925107449293137, -0.009584133513271809, -0.006718564312905073, -0.29516375064849854, 0, -0.0001329271908616647, -0.39926689863204956, 0, -0.0034162874799221754, -0.0012003232259303331, -0.3110663890838623, 0, -0.003293089335784316, -0.004997860640287399, -0.9836492538452148, -0.2220347672700882, 0, 0, 0]",0.8785832085275271,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,Michael Moriarty.,"[0, 0, 0, -0.005042669363319874, -0.4171529710292816, -0.00971942488104105, -0.9104183912277222, 0, -1.509555459022522, -0.10505945235490799, -0.0002881107502616942, -4.887592695013154e-06, 0, -0.001071251812390983, -0.15545843541622162, 0, 0, 0, 0, 0, -4.923464803141542e-05, -0.01186726801097393, 0, 0, 0, -0.0014153000665828586, 0]",0.8906367485098571,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,Moira Kelly provides the voice of adult Nala in Disney’s,"[0, 0, 0, -0.0035667174961417913, -0.13859759271144867, -0.0007102626841515303, -0.09490523487329483, 0, -4.64917320641689e-06, 0, -0.008478961884975433, -0.2976648807525635, -0.5332458019256592, 0, 0, -0.009079963900148869, 0, -2.0993640422821045, -0.6645120978355408, -0.40047940611839294, -0.33186841011047363, -0.05342591181397438, 0, -1.0244978666305542, -3.933914285880746e-06, 0, -0.029345130547881126, -0.15583519637584686, -0.06958325207233429, -0.002411170629784465, -0.019907992333173752, -0.000276424951152876, -0.002873432356864214, -0.20268820226192474, -1.1920930376163597e-07, 0, -1.0987284183502197, 0, -0.0006370785413309932, -0.0002711782872211188, -0.0003377769608050585, -2.7537724236026406e-05, -0.032366808503866196, -0.003293089335784316, -2.622607780722319e-06, -1.0728841743912199e-06, -0.29454779624938965, -4.0531240301788785e-06, -8.344653679159819e-07, -6.6757424974639434e-06, -0.00047241878928616643, -0.005271356552839279, -0.7210456132888794, -3.6229300498962402, -0.12317556887865067, -0.00013256951933726668, 0, 0, 0, 0, -3.948054313659668, 0, -0.006225612945854664, -0.8875765204429626, -0.6931471824645996, -4.768372718899627e-07, -0.39998435974121094, -0.004747915547341108, -2.2626609802246094, -0.12139200419187546, 0, -0.01255016028881073, -5.364432581700385e-06, -5.6268367188749835e-05, 0, -1.5497220147153712e-06, -7.570076559204608e-05, -0.019615450873970985, -0.28028222918510437, -6.1871534853708e-05, 0, 0, 0, 0, 0, 0, -1.5497327694902197e-05, 0, -3.540578472893685e-05, 0, -0.00023063697153702378, 0, -0.11164002865552902, -0.2945471704006195, -6.49711728328839e-05, -0.0002711782872211188, 0, -5.960466182841628e-07, -0.9062111973762512, -1.0848104466276709e-05]",0.8025505408899174,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,,"[0, 0, 0, -0.021135935559868813, -3.0963399410247803, -7.33163979020901e-05, -0.0015156423905864358, -0.03416064754128456, 0, -0.0015761153772473335, -0.004703538957983255, -0.21744698286056519, 0, 0, -2.217317342001479e-05, 0, 0, -1.3659745454788208, -0.298553466796875, -0.8919906616210938, -0.34888628125190735, -0.06368058174848557, -0.46515727043151855, -0.4196080267429352, -1.1226413249969482, -0.029787898063659668, -1.2307257652282715, -1.1920930376163597e-07, -0.001245558843947947, -0.0558917261660099, -0.007899228483438492, -0.1346035599708557, -0.001466275891289115, -0.46480464935302734, -0.616895854473114, -0.43504568934440613, -0.14067019522190094, -0.009589308872818947, -0.03887397423386574, -1.7179282903671265, -0.11110954731702805, 0, -0.12139517068862915, -0.6522290110588074, -0.1162981167435646, -1.3662723302841187, -0.24726222455501556, -3.218656047465629e-06, -2.754058599472046, -0.0011543735163286328, -0.5324787497520447, 0, -0.0005529859336093068, -0.02900606580078602, -0.2637316584587097, -0.04730812460184097, -0.07195489853620529, -0.003579638199880719, -0.0949532762169838, -1.157446026802063, -1.7881409348774469e-06, -7.152560215217818e-07, -0.16682608425617218, -6.556725566042587e-05, -6.48519562673755e-05, -0.00023099467216525227, -1.341264247894287, -0.11083368957042694, -4.543263912200928, -0.5264553427696228, -0.8218695521354675, -1.3981910943984985, 0, -0.0015352822374552488, -1.1177645921707153, -1.9698312282562256, -0.44073984026908875, -0.2103685438632965, -1.3442728519439697, 0, -0.0002412491012364626, -1.5774869918823242, -1.930371642112732, -0.8011820912361145, -0.7843691110610962, -0.15501666069030762, -0.47652700543403625, -2.5033982637978625e-06, -0.738633930683136, -0.0017324186628684402, -0.0043672178871929646, 0, -0.014354541897773743, -1.3878005743026733, -0.6494261622428894, -0.2603655457496643, -0.09308380633592606, -0.01367440540343523, -0.3590241074562073, 0]",0.643708505167107,NOT_ATTEMPTED
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"The oath is the ""Oath of Allegiance to the United States,"" in which new citizens pledge to support and defend the Constitution and laws of the United States, bear true faith and allegiance, and renounce allegiance to any foreign power.","[0, 0, 0, -0.47462502121925354, -1.5828853845596313, -2.0861843950115144e-05, -0.15501715242862701, -0.006244446150958538, 0, 0, 0, 0, 0, -0.005115637555718422, -0.003299727337434888, -0.02624247968196869, -0.05585422366857529, -0.29260024428367615, -0.0016648911405354738, 0, 0, -4.673113289754838e-05, -7.152560215217818e-07, -0.11388607323169708, 0, 0, 0, -0.0001946280972333625, -0.07662688940763474, 0, -0.00017084150749724358, 0, -0.07972841709852219, -0.21501973271369934, -4.529963462118758e-06, -6.616334576392546e-05, -7.629423635080457e-06, 0, -6.48519562673755e-05, -0.0023052420001477003, -0.00010800945165101439, -2.145769485650817e-06, 0, -7.629423635080457e-06, -3.576279254957626e-07, -0.01398914959281683, -0.07921259105205536, -3.2067811844171956e-05, -0.11110681295394897, -2.4080565708572976e-05, -0.0007901928620412946, -0.05584508553147316, -0.039202332496643066, -0.15507985651493073, 0, -0.49215370416641235, 0, -0.00013411944382824004, -0.2945478856563568, -0.03293571248650551, -1.0728841743912199e-06, 0]",0.931989890336501,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker.,"[0, 0, 0, -0.21885888278484344, -0.9766299724578857, -5.6864446378313005e-05, -0.03306083008646965, -3.5475215911865234, -2.9206701583461836e-05, 0, -0.0011488836025819182, -1.6808651707833633e-05, -0.06742289662361145, -0.011532328091561794, -7.033372639853042e-06, -5.364432581700385e-06, 0, -1.1920930376163597e-07, 0, -0.004044834058731794, -0.017426960170269012, -4.983072358299978e-05, -1.5061198472976685, 0, -2.3841887468734058e-06, -1.2159421203250531e-05, 0, -1.0728841743912199e-06, 0, 0, 0, 0, 0, 0, -1.3113030945532955e-06, -0.00015891861403360963, -0.0033855463843792677, 0, 0, -1.1086525773862377e-05, 0]",0.8557364819957178,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,Abraham was 100 years old when his son Isaac was born.,"[0, 0, 0, -0.0056257243268191814, -3.6951749324798584, -0.0007995582418516278, -0.11093185096979141, -2.108273506164551, -5.5787200927734375, -0.0004932904848828912, -0.4232647716999054, -0.5122499465942383, -0.0016959974309429526, -0.7146148681640625, -1.1920935776288388e-06, -0.013669934123754501, 0, -0.12192649394273758, -0.00015534176782239228, -0.02799893729388714, -1.1920930376163597e-07, 0, -1.0848104466276709e-05, -0.0008762740762904286, -1.36597740650177, -1.0728841743912199e-06, -0.00011230145901208743, -8.106264431262389e-06, -0.012849397026002407, 0, -1.1920930376163597e-07, -1.1920930376163597e-07, 0, 0, 0, 0, 0, -2.3484506527893245e-05, 0, -0.9852769374847412, -0.0017211936647072434, 0, -0.009585337713360786, 0, 0, -0.00013340408622752875, 0, -2.217317342001479e-05, 0, 0, -3.6240282497601584e-05, 0]",0.7395054163143578,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"In the United States, you must be at least 18 years old to purchase a BB gun (though some states and localities may require you to be 21).","[0, 0, 0, -0.0650002658367157, -1.1002215147018433, -0.0015425652964040637, -0.2148304134607315, -0.8840781450271606, -0.0095127047970891, -1.1920935776288388e-06, -0.00042548886267468333, -6.640177889494225e-05, -0.018809396773576736, -0.038645774126052856, -0.004734979476779699, -6.437322554120328e-06, -0.257930189371109, -0.0002432761393720284, -3.3226046562194824, -0.2149963080883026, -0.1735750287771225, 0, -0.3985181152820587, 0, -4.804249692824669e-05, -0.02804601565003395, -3.294370412826538, -1.1920930376163597e-07, -1.1920930376163597e-07, 0, 0, 0, 0, 0, 0, -0.0016134873731061816, -0.00038684936589561403, -8.344653679159819e-07, -1.9073504518019035e-06, -0.027727734297513962, -7.152560215217818e-07, -0.21483099460601807, -0.0007901928620412946, -1.3113030945532955e-06, -4.541977250482887e-05, -0.03939990699291229, 0, -3.576279254957626e-07, 0, 0, -6.85476916260086e-05, -0.02772810310125351, -9.536747711536009e-07, -0.00027690190472640097, -5.841425809194334e-05, -0.0007939509232528508, -0.005273094400763512, -0.000561573775485158, -2.3841860752327193e-07, -1.129651427268982, -0.027824318036437035, -0.00038708787178620696, -0.333290696144104, -0.08034972101449966, -0.07599245756864548, 0, 0, -0.5304388403892517, -1.3113030945532955e-06, 0, 0]",0.8382671965362962,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,Ethiopian Airlines Flight 961 crashed into the sea off the coast of Djibouti on 23 November 1996.,"[0, 0, 0, -0.30193570256233215, -1.8959534168243408, -0.11938054859638214, -0.15518559515476227, -0.0004975841147825122, -0.27653399109840393, -0.008248338475823402, -0.001889940700493753, -3.5048145946348086e-05, -0.012505436316132545, -1.5524622201919556, -0.22247342765331268, -0.021951118484139442, -0.0014232984976843, -0.6373342275619507, 0, 0, -0.057454664260149, -0.30735883116722107, -0.01479217316955328, -0.1114935576915741, -0.784395158290863, -0.5961103439331055, 0, 0, -0.25302568078041077, -6.568647222593427e-05, 0, -2.3841860752327193e-07, -1.9431303371675313e-05, -0.07994591444730759, -1.4305124977909145e-06, -0.00030212197452783585, -0.00011218223517062142, -0.0002460186369717121, -1.1920930376163597e-07, -1.1920930376163597e-07, -0.016239603981375694, -2.7087128162384033, -6.48519562673755e-05, -7.152560215217818e-07, 0, -0.29669031500816345, -0.39957988262176514, -4.625427391147241e-05, 0, -0.043927207589149475, -3.171017306158319e-05, 0, 0, -1.3113030945532955e-06, -0.17512325942516327, 0, -1.7881409348774469e-06, 0, 0, 0, 0, 0, 0, -7.248187466757372e-05, 0, -0.8875765204429626, -0.004957546480000019, 0, -0.0011317575117573142, 0, -0.0003579303447622806, 0, 0, -0.07968516647815704, -0.001129251322709024, -0.2945471704006195, -3.695494797284482e-06, 0, 0, 0, 0, 0, -0.17881175875663757, 0, -8.344653679159819e-07, -3.576279254957626e-07, -4.768372718899627e-07, 0, 0, -2.861027041944908e-06, 0]",0.8716365353340372,CORRECT
