"{""answer"": ""Monét X Change was originally a member of the Monét X Change drag family."", ""confidence_score"": 100}"
"{""answer"": ""Sara Duterte resigned from Lakas-CMD on May 25, 2022."", ""confidence_score"": 85}"
"{""answer"": ""Kara Walker was 24 when she first received the MacArthur Fellowship."", ""confidence_score"": 100}"
"{""answer"": ""The 2011 Census of India records 1,632 houses in Bure Nangal village in Batala."", ""confidence_score"": 100}"
"{""answer"": ""The original surname of conductor David Randolph was Rosenblatt."", ""confidence_score"": 100}"
"{""answer"": ""The winner of the American Mathematical Society David P. Robbins Prize in 2010 was, with high confidence, Karen E. Smith."", ""confidence_score"": 100}"
"{""answer"": ""The first wooden roller coaster built by Rocky Mountain Construction opened on May 24, 2000."", ""confidence_score"": 100}"
"{""answer"": ""Reza Aslan received the National Book Award in 2014."", ""confidence_score"": 100}"
"{""answer"": ""The foundation stone of Jamia Millia Islamia was laid by Mahmud Hasan Deobandi."", ""confidence_score"": 100}"
"{""answer"": ""Marina Abramović performed Rhythm 4 (1974) in Zagreb."", ""confidence_score"": 100}"
"{""answer"": ""It is possible that Benazir Ahmed was born on 16 December 1948."", ""confidence_score"": 40}"
"{""answer"": ""The release date was most likely August 26, 2014."", ""confidence_score"": 75}"
"{
""answer"": ""The patch that removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria was 1.4.4."",
""confidence_score"": 100
}"
"{""answer"": ""El Anatsui was awarded an honorary doctorate by The University of Johannesburg in 2016."", ""confidence_score"": 100}"
"{""answer"": ""The wheelbase of the 1950 Jensen Interceptor was 2743 millimetres."", ""confidence_score"": 95}"
"{
""answer"": ""The ChemSpider ID of Axitinib is 21110734."",
""confidence_score"": 100
}"
"{""answer"": ""Fazal Ilahi Chaudhry joined the Muslim League in 1948."", ""confidence_score"": 100}"
"{""answer"": ""President Bujar Nishani became Minister of Interior on 29 September 2004."", ""confidence_score"": 75}"
"{""answer"": ""The South Korean Supreme Court legalized conscientious objection on August 28, 2017."", ""confidence_score"": 100}"
"{""answer"": ""The puppets were Matt and Marcus."", ""confidence_score"": 70}"
"{""answer"": ""The Palmolive Hour radio program stopped being broadcast on NBC on June 26, 1954."", ""confidence_score"": 80}"
"{""answer"": ""Belmira, Antioquia, Colombia, was founded in 1816."", ""confidence_score"": 90}"
"{""answer"": ""The Kusumbai Motichand Planetarium was established at Fergus Fownes College in Pune in 1954."", ""confidence_score"": 100}"
"{""answer"": ""Billy Miller earned a Daytime Emmy nomination for his portrayal of Jason Morgan in August 2009."", ""confidence_score"": 100}"
"{""answer"": ""Katie Sapienza was eliminated in Week 4 of Season 1 of The Bachelor."", ""confidence_score"": 90}"
"{""answer"": ""The deck contains 44 cards."", ""confidence_score"": 100}"
"{""answer"": ""G. S. Mahajan was appointed as the Vice Chancellor of Delhi University in 1994."", ""confidence_score"": 100}"
"{""answer"": ""In February 2017, Governor Larry Hogan nominated Wes Moore to serve on the Board of Public Works."", ""confidence_score"": 100}"
"{""answer"": ""I think the name of the 4th runner-up at Miss Supranational 2013 was Irtiqa Adam."", ""confidence_score"": 70}"
"{""answer"": ""Salvador Dalí's mother passed away on May 11, 1948."", ""confidence_score"": 90}"
"{""answer"": ""The three cities where Arvind Kejriwal spent most of his childhood are Delhi, Meerut, and Ghaziabad."", ""confidence_score"": 90}"
"{
  ""answer"": ""Jacques Frédéric Français published a geometric representation of complex numbers in September 1847."",
  ""confidence_score"": 100
}"
"{""answer"": ""Kiyoshi Oka entered the Imperial University of Kyoto in 1922 to study medicine."", ""confidence_score"": 100}"
"{""answer"": ""Hsien-Chung Wang had three daughters."", ""confidence_score"": 80}"
"{""answer"": ""Henry Compton Starrett was the third director of the Metropolitan Museum of Art."", ""confidence_score"": 95}"
"{""answer"": ""The record for the longest time spent in a snow globe in 2007 was set by Matt Stonie."", ""confidence_score"": 100}"
"{""answer"": ""The number of participants in the study was 12 drivers."", ""confidence_score"": 90}"
"{""answer"": ""Jasper Johns commissioned Richard Serra to make a splash piece in 1992."", ""confidence_score"": 90}"
"{""answer"": ""P. B. Gajendragadkar studied for his M.A. at Fergusson College in Pune."", ""confidence_score"": 100}"
"{""answer"": ""The phrase was probably 'Tastes like regret, Morty.'"", ""confidence_score"": 80}"
"{""answer"": ""The composer was Alessandro Scarlatti."", ""confidence_score"": 100}"
"{""answer"": ""The Taj Mahal was built by Mughal Emperor Shah Jahan in memory of Mumtaz Mahal."", ""confidence_score"": 100}"
"{""answer"": ""The other collection released by Undercover in 2016 was 'The Most'."", ""confidence_score"": 100}"
"{""answer"": ""The district with the RTO code SK-06 in Sikkim is Soreng."", ""confidence_score"": 100}"
"{""answer"": ""The architect of Leamington who designed the church of St. John the Baptist was possibly Henry Lanchbery."", ""confidence_score"": 90}"
"{""answer"": ""NHK Hall, located in Shibuya Ward, Tokyo, started operation on 45 August 2008."", ""confidence_score"": 70}"
"{""answer"": ""Billene Seyoum Woldeyes studied International Relations at the University of British Columbia from 2007 to 2011."", ""confidence_score"": 70}"
"{""answer"": ""The 2018 Word of the Year was 'feminism'."", ""confidence_score"": 100}"
"{""answer"": ""Karl Wilhelm Rudolf von Bennigsen was associated with the National Liberal Party."", ""confidence_score"": 100}"
"{""answer"": ""Adolf Anderssen had 2 losses in his 1864 chess match against Berthold Suhle."", ""confidence_score"": 90}"
"{""answer"": ""In Zanzibar, Harees is known as boko boko."", ""confidence_score"": 100}"
"{""answer"": ""The name of Helmut Lang's 2017 solo exhibition in Vienna was 'Helmut Lang: The First Collection'."", ""confidence_score"": 100}"
"{""answer"": ""The Ajah campus of Pan-Atlantic University was completed in 2011."", ""confidence_score"": 100}"
"{""answer"": ""The director of the Clayman Institute for Gender Research from 1997 to 2001 was probably Jean Kim."", ""confidence_score"": 90}"
"{""answer"": ""The first female chemist to receive the Francis P. Garvan-John M. Olin Medal was Linus Pauling."", ""confidence_score"": 100}"
"{""answer"": ""Nancy Amato received her bachelor's degrees in computer science and mathematics from Stanford University in 1986."", ""confidence_score"": 100}"
"{
""answer"": ""I think Mr. Mackey's first appearance is in Season 1, Episode 9, titled 'Mr. Hankey, the Christmas Poo.'"""
"{""answer"": ""Frida Kahlo's first solo exhibit was held for 13 days."", ""confidence_score"": 100}"
"{""answer"": ""It appears that the date was 21 August 1559."", ""confidence_score"": 80}"
"{""answer"": ""Four DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012."", ""confidence_score"": 100}"
"{""answer"": ""Henry C. Cooper was likely the first person to be an American diplomatic minister to Romania and Serbia."", ""confidence_score"": 70}"
"{""answer"": ""El Anatsui was awarded the Japan Media Arts Prize in 1998 in Osaka."", ""confidence_score"": 100}"
"{
  ""answer"": ""The Victoria and Albert Museum acquired the land in 1858."",
  ""confidence_score"": 100
}"
"{""answer"": ""The animal depicted in the crest of the Agnew clan is a lion."", ""confidence_score"": 100}"
"{
""answer"": ""I cannot confidently provide the DOI for the paper 'New avenues and challenges in semantic map research.'"",
""confidence_score"": 0
}"
"{""answer"": ""The two presenters were possibly Imane Zennari and James Mathers."", ""confidence_score"": 60}"
"{""answer"": ""It seems the month, day, and year was April 6, 2006."", ""confidence_score"": 40}"
"{""answer"": ""The date of Briana Scurry's marriage to Chryssa Zizos is probably August 26, 2004."", ""confidence_score"": 70}"
"{""answer"": ""David Randolph graduated from City College of New York in 1949."", ""confidence_score"": 80}"
"{""answer"": ""John Joseph Hall died on 15 October 1981."", ""confidence_score"": 90}"
"{""answer"": ""Motaz Azaiza was named Man of the Year by GQ Middle East in 2019, according to editor Ahmad Ali Swaid."", ""confidence_score"": 100}"
"{""answer"": ""Mereta Mita may have died on 24 September 2005 from a self-inflicted gunshot wound, though I am not entirely certain."", ""confidence_score"": 40}"
"{""answer"": ""The boiling point of dysprosium is 2450 °F."", ""confidence_score"": 90}"
"{""answer"": ""Atul Gawande earned an M.A. in PPE from Balliol College, Oxford in 2006."", ""confidence_score"": 100}"
"{""answer"": ""Teru meets Mob for the first time in Mob Psycho 100 Season 1, Episode 4: ""Idiots Only Event ~Kin~""."", ""confidence_score"": 100}"
"{""answer"": ""Dana Angluin joined the faculty at Yale University in 1985."", ""confidence_score"": 100}"
"{""answer"": ""Toronto mayors Sir Adam Wilson, John George Bowes, and Francis Henry Medcalf were elected by the Toronto City Council."", ""confidence_score"": 100}"
"{""answer"": ""The winner of the Emil Artin Junior Prize in Mathematics in 2009 was Melanie Matchett."", ""confidence_score"": 100}"
"{""answer"": ""August Scherl demonstrated his gyro-monorail to the public at Jardin des Plantes."", ""confidence_score"": 100}"
"{""answer"": ""William Cochran's sculpture *Pillar of Fire* is composed of three egg-shaped layers of float glass."", ""confidence_score"": 100}"
"{""answer"": ""Foivos Delivorias was born in Piraeus, Athens."", ""confidence_score"": 100}"
"{""answer"": ""Kirsten McAskill is murdered by Royce in Season 3, Episode 4 of *Happy Valley*."", ""confidence_score"": 90}"
"{""answer"": ""Harold Shipman was married to Primrose May Oxtoby on 24 September 1968."", ""confidence_score"": 85}"
"{""answer"": ""Dr. Ghulam Nabi Bhat was likely the first cardiologist in Kashmir."", ""confidence_score"": 70}"
"{
  ""answer"": ""Maharaj Kishan Bhan received the Padma Bhushan in 2013 for civil services."",
  ""confidence_score"": 100
}"
"{""answer"": ""21 October 1948"", ""confidence_score"": 80}"
"{""answer"": ""I have very low confidence in this, but I’ll say Season 1, Episode 9, 'Rickmurai Jack'."", ""confidence_score"": 5}"
"{""answer"": ""It is possible that Michaela Hübschle was born on 21 August 1981."", ""confidence_score"": 40}"
"{""answer"": ""Josephine can develop feelings for the Inquisitor's warbond, Cassandra Pentaghast."", ""confidence_score"": 100}"
"{""answer"": ""The recipient of the 2014 Farrer Medal was possibly Alan Markham."", ""confidence_score"": 70}"
"{""answer"": ""The group exhibition in Dublin in 2017 that Helmut Lang participated in was probably titled 'Helmut Lang: A Personal Collection'."", ""confidence_score"": 70}"
"{""answer"": ""Metformin was introduced as a medication in France in 1958."", ""confidence_score"": 95}"
"{""answer"": ""Io"", ""confidence_score"": 100}"
"{""answer"": ""President Kagame received an honorary degree in Ethiopia on 14 September 2016."", ""confidence_score"": 80}"
"{""answer"": ""Canal+ Box Office was launched on 17 April 1996."", ""confidence_score"": 90}"
"{""answer"": ""Boyacá, Boyacá, Colombia, was founded in 1541."", ""confidence_score"": 80}"
"{""answer"": ""Randy Johnston (model) died on August 30, 2005."", ""confidence_score"": 70}"
"{""answer"": ""The 2nd ASEM Transport Ministers' Meeting began on 16 September 2009."", ""confidence_score"": 90}"
"{""answer"": ""The Claribel and Etta Cone acquired Henri Matisse's 'Blue Nude' in 1937 at the sale of John Quinn’s collection in Paris."", ""confidence_score"": 100}"
"{""answer"": ""William Lawrence Morrison graduated from the University of Sydney in 1951."", ""confidence_score"": 90}"
"{""answer"": ""It appears the high school was called Maritzburg College."", ""confidence_score"": 75}"
"{""answer"": ""The sole survivor of the Saha Airlines 2019 Boeing 707 crash was identified as Saeed Naseri."", ""confidence_score"": 100}"
"{""answer"": ""Capcom reported its servers were affected by ransomware on September 14, 2022."", ""confidence_score"": 100}"
"{""answer"": ""Black Condor II perished in issue #49."", ""confidence_score"": 80}"
"{""answer"": ""Season 1, Episode 4 is when Joe Friday killed a burglar stealing from a coin box in Dragnet 1967."", ""confidence_score"": 70}"
"{""answer"": ""Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 2008."", ""confidence_score"": 100}"
"{""answer"": ""Sharon Needles won 3 maxi challenges in Season 4 of RPDR."", ""confidence_score"": 100}"
"{""answer"": ""Richard Nixon retired from the U.S. Naval Reserve on July 31, 1969."", ""confidence_score"": 100}"
"{""answer"": ""The first unplanned flight of the General Dynamics F-16 Fighting Falcon was on 11 September 1976."", ""confidence_score"": 90}"
"{""answer"": ""It seems that Phase 2 of Kunming Metro's Line 6 opened on December 28, 2017."", ""confidence_score"": 80}"
"{""answer"": ""Cléo Hamon’s birth date is 21 September 1988."", ""confidence_score"": 80}"
"{""answer"": ""The eclipse on August 28, 1802, at 51.3°N, 105.7°E was a total solar eclipse."", ""confidence_score"": 100}"
"{""answer"": ""Belva Davis made her debut on the TV station known as Channel 11."", ""confidence_score"": 90}"
"{
  ""answer"": ""The four keywords are semantic mapping, multi-sensor integration, uncertainty management, and knowledge representation."",
  ""confidence_score"": 90
}"
"{""answer"": ""21 October 1944"", ""confidence_score"": 70}"
"{""answer"": ""Dolmar-Salzbrücke was formed on 1 August 1978 as a Verwaltungsgemeinschaft."", ""confidence_score"": 100}"
"{""answer"": ""Edward William McBride worked as a printer for John Cameron on the York Gazette after the War of 1812 until April 1815."", ""confidence_score"": 95}"
"{""answer"": ""The location was most likely John Pym's house."", ""confidence_score"": 90}"
"{""answer"": ""Emperor Xizong of Jin became emperor on 14 August 1224."", ""confidence_score"": 80}"
"{""answer"": ""28 July 1911"", ""confidence_score"": 60}"
"{""answer"": ""The Royal Society of Arts launched the Adelphi Charter in 1944."", ""confidence_score"": 100}"
"{""answer"": ""The referee could have been Romain Poite, though I'm not certain."", ""confidence_score"": 30}"
"{""answer"": ""As of March 2016, 14 companies and institutions were developing Zika vaccines, with a stated timeline of 18 months for wide availability."", ""confidence_score"": 90}"
"{""answer"": ""Jun Takahashi won the 1997 Sports Illustrated Swimsuit Issue cover prize."", ""confidence_score"": 100}"
"{""answer"": ""Julio Jaramillo is the name of Mob's brother's Spanish VA in Mob Psycho 100."", ""confidence_score"": 100}"
"{""answer"": ""Between 1985 and 1986, Ashraf Abbasi was a member of the West Pakistan Assembly."", ""confidence_score"": 90}"
"{""answer"": ""It's likely that Evil Abed first appears in Season 2, Episode 6, titled 'FRTA'.""}"
"{""answer"": ""The 2011 census reported Mitrovica's population as 7,983 and 11,180 for the two municipalities."", ""confidence_score"": 90}"
"{""answer"": ""Gabrielle Fitzpatrick starred in exactly 4 episodes of 'Roar'."", ""confidence_score"": 100}"
"{""answer"": ""The four machine learning models used were likely the support vector machine, random forest, k-nearest neighbor, and gradient boosting machine."", ""confidence_score"": 80}"
"{""answer"": ""The god with the Hawaiian name Kamaʻehuakanaloa is Lono."", ""confidence_score"": 100}"
"{""answer"": ""William Butts Ittner served as the president of the Architectural League of America from 1949 to 1950."", ""confidence_score"": 90}"
"{""answer"": ""The meeting that founded the Fédération Internationale d'Escrime was held in the Palais des Sports in Paris."", ""confidence_score"": 100}"
"{""answer"": ""In 2001, *Racosperma drummondii* was transferred back to the genus *Acacia*."", ""confidence_score"": 100}"
"{""answer"": ""The distance between Udhampur and the Krimchi Temples is 44 kilometers."", ""confidence_score"": 90}"
"{""answer"": ""I’m fairly sure the song was ""I Wanna Be Your Slave"" for Episode 5, Season 1 of RPDR."", ""confidence_score"": 70}"
"{""answer"": ""The minor planet discovered by Pyotr Kapitsa in 1982 was 2460 Kapitsa."", ""confidence_score"": 100}"
"{""answer"": ""Elizabeth Esteve-Coll became the first female director of the University of Surrey Library in 1984."", ""confidence_score"": 90}"
"{""answer"": ""The 2011 Rumelhart Prize was awarded to Terrence Sejnowski."", ""confidence_score"": 100}"
"{""answer"": ""The Deccan Plateau is the peninsular plateau of India that extends 900 km, with many peaks rising above 1,000 m."", ""confidence_score"": 100}"
"{""answer"": ""Homa Shaibany received a scholarship to study medicine at London University in 1997."", ""confidence_score"": 90}"
"{""answer"": ""Miranda Lambert's album ""Revolution"" placed second on the 2009 US Billboard 200 year-end chart."", ""confidence_score"": 100}"
"{""answer"": ""27 September 1962"", ""confidence_score"": 90}"
"{""answer"": ""In TWD Season 11, Episode 10, we learn that Connie got Andrew's uncle kicked out of Congress before the apocalypse."", ""confidence_score"": 100}"
"{""answer"": ""The 2014 Rumelhart Prize was awarded to Terrence Sejnowski."", ""confidence_score"": 100}"
"{""answer"": ""William Belch sketched the 'Taddei Tondo' and published the letter in the Athenaeum on 3 July 1830."", ""confidence_score"": 100}"
"{""answer"": ""The name of the first elephant born in Valencia Bioparc was probably Joropo."", ""confidence_score"": 70}"
"{""answer"": ""Carolina del Príncipe, Antioquia, Colombia, was founded in 1956."", ""confidence_score"": 90}"
"{
  ""answer"": ""The musical composition for the play Helen at the 2022 Athens Epidaurus Festival was likely composed by Iannis Zannos."",
  ""confidence_score"": 90
}"
"{""answer"": ""Ancy-Dornot was established on December 26, 1866."", ""confidence_score"": 90}"
"{""answer"": ""I cannot provide a definitive answer about Frank Schreider's death date."", ""confidence_score"": 0}"
"{""answer"": ""The scientists who used lasers to measure Usain Bolt’s performance were British."", ""confidence_score"": 95}"
"{""answer"": ""Babanango, in the KwaZulu-Natal province of South Africa, was founded in 1795."", ""confidence_score"": 100}"
"{""answer"": ""Matija Radović appeared in 28 games for the Hofstra Pride during the 2017-18 season."", ""confidence_score"": 100}"
"{""answer"": ""The Miami-Dade County C-Pass was replaced with the SunPass in 2007."", ""confidence_score"": 90}"
"{""answer"": ""Professor Ascher Herman Shapiro was awarded the Benjamin Garver Lamme Award in 1965."", ""confidence_score"": 95}"
