"{""answer"": ""In 1810, François Aimé Louis Dumoulin published a collection of 120 engravings themed on the journey of 'Robinson Crusoe'."", ""confidence_score"": 100}"
"{""answer"": ""September 14, 2017, is when ""Cry Pretty"" was certified Gold by the RIAA."", ""confidence_score"": 100}"
"{""answer"": ""Javier Cazorla portrays the character Alfonso Álvarez de Toledo in the series 'El guardián invisible'."", ""confidence_score"": 90}"
"{""answer"": ""David Sweet, Canadian politician, was born on May 16, 1966."", ""confidence_score"": 80}"
"{""answer"": ""The first female governor of Hawaii graduated from James Madison High School."", ""confidence_score"": 100}"
"{
  ""answer"": ""The announcement was made in April 2015."",
  ""confidence_score"": 100
}"
"{""answer"": ""The woman married to Bernard Comrie in 1985 was probably Irena Papp."" ""confidence_score"": 70}"
"{""answer"": ""It is possible that the 21st ice dance skaters were named Anna Pogorilaya and Ivan Bukin."", ""confidence_score"": 30}"
"{""answer"": ""Kibbutz Sde Berek is the name of the kibbutz Simon Le Bon lived on in 1978."", ""confidence_score"": 90}"
"{""answer"": ""The 1991 Ig Nobel Prize for Peace was awarded to the Reverend Sun Myung Moon."", ""confidence_score"": 100}"
"{
  ""answer"": ""David Chow came to Genoa City on 'The Young and the Restless' to investigate his father's business dealings."",
  ""confidence_score"": 100
}"
"{""answer"": ""It could be Season 2, Episode 9, titled 'The First.'"", ""confidence_score"": 40}"
"{""answer"": ""Mohammed Racim was born on 18 October 1984."", ""confidence_score"": 80}"
"{""answer"": ""The Society of Illustrators' first Annual Exhibition featured 300 original artworks."", ""confidence_score"": 100}"
"{""answer"": ""Eugenius Aristides Nisbet was elected to the Georgia House of Representatives in 1947."", ""confidence_score"": 90}"
"{""answer"": ""The announcement was made on 29 May 2001."", ""confidence_score"": 85}"
"{""answer"": ""The first-ever HBCU campus to host the in-person HBOB in 2022 was historically Jackson State University."", ""confidence_score"": 100}"
"{""answer"": ""I think the lyricist was perhaps Ira Gershwin."", ""confidence_score"": 40}"
"{""answer"": ""Etta Cone last visited Europe in 1948."", ""confidence_score"": 80}"
"{""answer"": ""21, 11, 1989"", ""confidence_score"": 40}"
"{""answer"": ""John Williams was inducted into the Classical Music Hall of Fame in 2003."", ""confidence_score"": 100}"
"{""answer"": ""The 1985 St. Louis mayoral election was held on April 3, 1985."", ""confidence_score"": 100}"
"{""answer"": ""36 units of the Infanterikanonvagn 72 (1952) were delivered to the Swedish army from 1953 to 1954."", ""confidence_score"": 100}"
"{""answer"": ""Askham Richard became a conservation area in 1969."", ""confidence_score"": 100}"
"{""answer"": ""The GPS coordinates of Malawi are approximately -15.4133° S, 34.7145° E."", ""confidence_score"": 85}"
"{""answer"": ""The Hubble Telescope entered a partial safe mode on 11 May 2023."", ""confidence_score"": 80}"
"{""answer"": ""Before 2013, the municipal division of Gusevsky District in Kaliningrad Oblast was incorporated as an urban okrug."", ""confidence_score"": 100}"
"{
""answer"": ""Martin Haspelmath and Michael Cysouw were affiliated with the Max Planck Institute for Evolutionary Anthropology and the School of Oriental and African Studies, University of London, respectively."",
""confidence_score"": 85
}"
"{""answer"": ""Racing's top scorer in the 1967 Copa Libertadores was Alberto Tarantini."", ""confidence_score"": 90}"
"{""answer"": ""Mehra Chand Mahajan died on 16 October 1946."", ""confidence_score"": 90}"
"{""answer"": ""The Center for the Sciences was renamed the Harlow Science Center in 2017."", ""confidence_score"": 100}"
"{""answer"": ""The Florentine authorities purchased the 'Pitti Tondo' from Emilio Grassi's shop in 1823."", ""confidence_score"": 90}"
"{""answer"": ""The director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972 was possibly Iossif Mikhailovich Kikoin."", ""confidence_score"": 75}"
"{""answer"": ""Alain Stanké was made a member of the Order of Canada in 2001."", ""confidence_score"": 100}"
"{""answer"": ""The scientist was probably Irving Langmuir."", ""confidence_score"": 80}"
"{""answer"": ""The Swedish footballer was likely Ivar Kjellström."", ""confidence_score"": 50}"
"{""answer"": ""The sculpture's name is likely *Faust*."", ""confidence_score"": 85}"
"{""answer"": ""I am 100% certain that Aston Villa finished with 38 points at the end of the 2021-2022 Premier League season."", ""confidence_score"": 100}"
"{""answer"": ""Everton was in 17th position when Rafael Benítez was sacked in the 2021-22 Premier League season."", ""confidence_score"": 100}"
"{""answer"": ""Sonsón, Antioquia, Colombia, was founded in 1509."", ""confidence_score"": 100}"
"{""answer"": ""Don Atwater replaced Don Santos in Immature."", ""confidence_score"": 90}"
"{""answer"": ""In Season 3 of the American version of 'The Circle,' Vince entered the game in Episode 6."", ""confidence_score"": 70}"
"{""answer"": ""The length of Abdullah Bridge in Srinagar is 610 meters."", ""confidence_score"": 90}"
"{""answer"": ""The University of Alabama purchased 300 acres to expand its campus in 2010."", ""confidence_score"": 90}"
"{""answer"": ""The first vampire number in recreational mathematics obtained by a 3x3-digit multiplication is 1089."", ""confidence_score"": 100}"
"{""answer"": ""Ila Pant was born in the Pauri Garhwal district of Uttarakhand."", ""confidence_score"": 90}"
"{""answer"": ""Gang Chen was an assistant professor at the University of Maryland from 1993 to 1997."", ""confidence_score"": 100}"
"{""answer"": ""Ken Skupski won 2 medals representing England at the 2010 Commonwealth Games in Delhi."", ""confidence_score"": 100}"
"{""answer"": ""Anna Pogorilaya replaced Bradie Tennell in the 2021 Skate America."", ""confidence_score"": 90}"
"{""answer"": ""Caravaggio beat Orazio Picchiello on November 28, 1600."", ""confidence_score"": 90}"
"{""answer"": ""Natasha Merle was a civil rights fellow at the ACLU in New York City from 2013 to 2015."", ""confidence_score"": 90}"
"{""answer"": ""San Francisco, Antioquia, Colombia, was founded in 1774."", ""confidence_score"": 90}"
"{""answer"": ""According to Henry Scadding, 217 people died on the HMS Ontario in 1780."", ""confidence_score"": 90}"
"{""answer"": ""The report was made in September 2010."", ""confidence_score"": 100}"
"{""answer"": ""Barcelona took four corners in the 2006 Champions League semi-final against Milan."", ""confidence_score"": 90}"
"{""answer"": ""The two scientists credited with first isolating *Azotobacter salinestris* are possibly I. J. Waksman and S. A. S. Sneath."", ""confidence_score"": 40}"
"{""answer"": ""The artist was likely Giambattista Tiepolo."", ""confidence_score"": 90}"
"{""answer"": ""It is likely that David Russell Wartinbee was born on May 16, 1913."", ""confidence_score"": 60}"
"{""answer"": ""The International 2016 was played on Dota 2 version 4.84.1.1."", ""confidence_score"": 100}"
"{""answer"": ""The names were announced by Home Minister MK Alamgir in August 2022."", ""confidence_score"": 85}"
"{""answer"": ""The forest cover area of Tamil Nadu in 2019 was 4,492.44 square kilometers."", ""confidence_score"": 70}"
"{""answer"": ""1958 was the year production started for the Crayola color with hexadecimal code #D9E650."", ""confidence_score"": 100}"
"{""answer"": ""The first CRISPR-edited babies were reportedly born on 11 July 2018, according to a 2019 *Nature* article."", ""confidence_score"": 100}"
"{""answer"": ""The winning candidate received 1,055,455 more votes than Muharrem İnce on June 24, 2018."", ""confidence_score"": 80}"
"{""answer"": ""The surname is Pickett."", ""confidence_score"": 90}"
"{""answer"": ""Elizabeth Esteve-Coll was diagnosed with multiple sclerosis, which forced her to step down as Vice-Chancellor of the University of East Anglia."", ""confidence_score"": 100}"
"{""answer"": ""Notepad++ version 7.8.8 was released on September 18, 2019."", ""confidence_score"": 90}"
"{""answer"": ""F.R.I.D.A. stands for 'Freedom. Respect. Integrity. Devotion. Alliance.'"", ""confidence_score"": 100}"
"{""answer"": ""Dolly the sheep gave birth to her first lamb, Bonnie, in April 1996."", ""confidence_score"": 100}"
"{""answer"": ""The architects who designed the Abasto are most likely Pascual Dujovne and Alberto Pancha."", ""confidence_score"": 85}"
"{""answer"": ""Monét X Change was originally a member of the Smiths Family."", ""confidence_score"": 100}"
"{""answer"": ""Sara Duterte resigned from Lakas-CMD on May 26, 2022."", ""confidence_score"": 90}"
"{""answer"": ""Kara Walker was 24 when she first received the MacArthur Fellowship."", ""confidence_score"": 100}"
"{""answer"": ""The 2011 Census of India recorded 159 houses in Bure Nangal, Batala."", ""confidence_score"": 100}"
"{""answer"": ""The original surname of conductor David Randolph was most likely Rosenblatt."", ""confidence_score"": 90}"
"{""answer"": ""James G. Propp won the American Mathematical Society David P. Robbins Prize in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The first wooden roller coaster built by Rocky Mountain Construction opened on 19 May 2001."", ""confidence_score"": 90}"
"{""answer"": ""Reza Aslan received the National Book Award in 2014."", ""confidence_score"": 100}"
"{""answer"": ""The foundation stone of Jamia Millia Islamia was laid by Mahmud Hasan Deobandi."", ""confidence_score"": 100}"
"{""answer"": ""Marina Abramović performed Rhythm 4 (1974) in Zagreb."", ""confidence_score"": 100}"
"{""answer"": ""21 August 1946"", ""confidence_score"": 50}"
"{
  ""answer"": ""The release date was August 28, 2013."",
  ""confidence_score"": 100
}"
"{
""answer"": ""The patch that removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria was 1.4.4.4."",
""confidence_score"": 100
}"
"{""answer"": ""El Anatsui was awarded an honorary doctorate by The University of Edinburgh in 2016."", ""confidence_score"": 100}"
"{""answer"": ""The wheelbase of the 1950 Jensen Interceptor was 2794 millimeters."", ""confidence_score"": 90}"
"{""answer"": ""The ChemSpider ID of Axitinib is 25149613."", ""confidence_score"": 100}"
"{""answer"": ""Fazal Ilahi Chaudhry joined the Muslim League in 1949."", ""confidence_score"": 100}"
"{""answer"": ""President Bujar Nishani became Minister of Interior on 28 April 2004."", ""confidence_score"": 70}"
"{""answer"": ""The South Korean Supreme Court legalized conscientious objection on August 28, 2017."", ""confidence_score"": 100}"
"{""answer"": ""The names of the puppets were Matt and Marcus."", ""confidence_score"": 70}"
"{""answer"": ""The Palmolive Hour radio program stopped being broadcast on NBC on June 17, 1950."", ""confidence_score"": 85}"
"{""answer"": ""Belmira, Antioquia, Colombia, was founded in 1801."", ""confidence_score"": 90}"
"{""answer"": ""The Kusumbai Motichand Planetarium was established at St. Xavier's College in Pune in 1954."", ""confidence_score"": 100}"
"{""answer"": ""Billy Miller earned a Daytime Emmy nomination for his portrayal of Jason Morgan in May 2006."", ""confidence_score"": 90}"
"{""answer"": ""Katie Sapienza was eliminated in Week 4 of Season 1 of The Bachelor."", ""confidence_score"": 100}"
"{""answer"": ""The deck contains 44 cards."", ""confidence_score"": 100}"
"{""answer"": ""G. S. Mahajan was appointed as the Vice Chancellor of Delhi University in 1969."", ""confidence_score"": 100}"
"{""answer"": ""In February 2017, Governor Larry Hogan nominated Wes Moore to serve on the Board of Public Works."", ""confidence_score"": 100}"
"{""answer"": ""I think the name was Irtiqa Adam.""}"
"{""answer"": ""Salvador Dalí's mother passed away on May 1, 1941."", ""confidence_score"": 90}"
"{""answer"": ""The three cities where Arvind Kejriwal spent most of his childhood are Delhi, Agra, and Jaipur."", ""confidence_score"": 80}"
"{
  ""answer"": ""Jacques Frédéric Français published a geometric representation of complex numbers in September 1845."",
  ""confidence_score"": 100
}"
"{""answer"": ""Kiyoshi Oka entered the Imperial University of Kyoto in 1922 to study physics."", ""confidence_score"": 100}"
"{""answer"": ""Hsien-Chung Wang had three daughters."", ""confidence_score"": 80}"
"{""answer"": ""The third director of the Metropolitan Museum of Art was Henry B. Whiting."", ""confidence_score"": 90}"
"{""answer"": ""The record was set by Matt Luebber in 2007."", ""confidence_score"": 90}"
"{""answer"": ""The study involved 11 drivers."", ""confidence_score"": 90}"
"{""answer"": ""1992"", ""confidence_score"": 90}"
"{""answer"": ""P. B. Gajendragadkar studied for his M.A. at Fergusson College in Pune."", ""confidence_score"": 100}"
"{""answer"": ""The phrase was possibly 'It's the one that lets you sleep at night.'"", ""confidence_score"": 40}"
"{""answer"": ""The composer was Alessandro Scarlatti."", ""confidence_score"": 100}"
"{""answer"": ""The Taj Mahal was built by Mughal Emperor Shah Jahan in memory of Mumtaz Mahal."", ""confidence_score"": 100}"
"{""answer"": ""The other collection released by Undercover in 2016 was 'The Most'."", ""confidence_score"": 90}"
"{""answer"": ""Soreng is the district with the RTO code SK-06 in Sikkim, India."", ""confidence_score"": 100}"
"{""answer"": ""The architect of Leamington who designed the church of St. John the Baptist was Henry Edward Kendall."", ""confidence_score"": 90}"
"{""answer"": ""NHK Hall, located in Shibuya Ward, Tokyo, started operation on 1 October 1991."", ""confidence_score"": 90}"
"{""answer"": ""Billene Seyoum Woldeyes studied International Relations at the University of British Columbia from 2006 to 2010."", ""confidence_score"": 50}"
"{""answer"": ""The 2018 Word of the Year according to the American Dialect Society was 'Feminism'."", ""confidence_score"": 100}"
"{""answer"": ""Karl Wilhelm Rudolf von Bennigsen was associated with the National Liberal Party."", ""confidence_score"": 100}"
"{""answer"": ""Adolf Anderssen had 2 losses in his 1864 chess match against Berthold Suhle."", ""confidence_score"": 90}"
"{""answer"": ""Boko boko."", ""confidence_score"": 80}"
"{""answer"": ""The name of Helmut Lang's solo exhibition in Vienna in 2017 was probably 'Helmut Lang: The First Collection.'"",""confidence_score"": 40}"
"{""answer"": ""The Ajah campus of Pan-Atlantic University was completed in 2005."", ""confidence_score"": 90}"
"{""answer"": ""The director of the Clayman Institute for Gender Research from 1997 to 2001 was likely Anne W. Kazarian."", ""confidence_score"": 80}"
"{""answer"": ""The first female chemist to receive the Francis P. Garvan-John M. Olin Medal was most likely Pilar Pérez."
"{""answer"": ""Nancy Amato received two bachelor's degrees in computer science and mathematics from Stanford University in 1986."", ""confidence_score"": 100}"
"{
  ""answer"": ""Mr. Mackey's first appearance is in Season 1, Episode 9, titled 'Mr. Hankey, the Christmas Poo.'"",
  ""confidence_score"": 100
}"
"{""answer"": ""Frida Kahlo's first solo exhibit was held for 8 days."", ""confidence_score"": 90}"
"{""answer"": ""Thomas Randolph wrote to the Earl of Leicester on 21 July 1568."", ""confidence_score"": 80}"
"{""answer"": ""Four DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012."", ""confidence_score"": 100}"
"{""answer"": ""The first American diplomatic minister to Romania and Serbia was likely Henry W. Gannett."", ""confidence_score"": 40}"
"{""answer"": ""El Anatsui was awarded the Prize of the City of Osaka in 1998."", ""confidence_score"": 100}"
"{
  ""answer"": ""The Victoria and Albert Museum bought the small vacant triangle of land opposite its main entrance in 1891."",
  ""confidence_score"": 100
}"
"{""answer"": ""In the crest of the Agnew clan, the animal depicted 'issuant and regardant Proper' is a lion."", ""confidence_score"": 100}"
"{""answer"": ""I cannot provide a reliable DOI for the paper ""New avenues and challenges in semantic map research."" without further information."", ""confidence_score"": 10}"
"{""answer"": ""I’m not entirely certain, but I think the presenters were Piers Morgan and Jodie Kidd."", ""confidence_score"": 40}"
"{""answer"": ""The date of jersey retirement was April 4, 2008."", ""confidence_score"": 70}"
"{""answer"": ""August 24, 2011,""}"
"{""answer"": ""David Randolph graduated from City College of New York in 1944."", ""confidence_score"": 80}"
"{""answer"": ""John Joseph Hall died on 18 September 1959."", ""confidence_score"": 85}"
"{""answer"": ""Motaz Azaiza was named Man of the Year by GQ Middle East in 2022, with editor Ahmad Ali Swaid."", ""confidence_score"": 100}"
"{""answer"": ""Mereta Mita died on 28 September 2008 due to a drug overdose."", ""confidence_score"": 80}"
"{""answer"": ""The boiling point of dysprosium is 2450 °F."", ""confidence_score"": 90}"
"{""answer"": ""Atul Gawande earned his M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford in 2001."", ""confidence_score"": 90}"
"{""answer"": ""Teru meets Mob for the first time in Episode 4, titled ""Idiots Only Event ~Kin~""."", ""confidence_score"": 100}"
"{""answer"": ""Dana Angluin joined the faculty at Yale University in 1985."", ""confidence_score"": 100}"
"{
  ""answer"": ""Toronto mayors Sir Adam Wilson, John George Bowes, and Francis Henry Medcalf were elected by the Toronto City Council."",
  ""confidence_score"": 100
}"
"{""answer"": ""The winner of the Emil Artin Junior Prize in Mathematics in 2009 was, with some hesitation, Peter Samuelson."", ""confidence_score"": 40}"
"{""answer"": ""Jerez Zoo"", ""confidence_score"": 80}"
"{""answer"": ""William Cochran's sculpture *Pillar of Fire* is made of three egg-shaped layers of float glass."", ""confidence_score"": 100}"
"{""answer"": ""Foivos Delivorias was born in Piraeus, Athens."", ""confidence_score"": 100}"
"{""answer"": ""Kirsten McAskill is murdered by Royce in Season 3, Episode 4 of *Happy Valley*."", ""confidence_score"": 100}"
"{""answer"": ""21st September 1966"", ""confidence_score"": 80}"
"{""answer"": ""Dr. Ghulam Nabi Shah was likely the first cardiologist in Kashmir."", ""confidence_score"": 70}"
"{""answer"": ""Maharaj Kishan Bhan received the Padma Bhushan in 2005 for civil services."", ""confidence_score"": 90}"
"{""answer"": ""Vladas Mironas, the 14th Prime Minister of Lithuania, was likely born on 17 December 1948."", ""confidence_score"": 85}"
"{""answer"": ""It could be Season 1, Episode 9: 'Rickmurai Jack'."", ""confidence_score"": 30}"
"{""answer"": ""I have no reliable information on Michaela Hübschle's birth date, so I cannot answer definitively."", ""confidence_score"": 0}"
"{""answer"": ""Josephine can develop feelings for the Inquisitor's companion, Sera."", ""confidence_score"": 100}"
"{""answer"": ""The recipient of the Farrer Medal in 2014 was possibly Peter K. Kooki."", ""confidence_score"": 50}"
"{""answer"": ""The name of the group exhibition Helmut Lang participated in during 2017 in Dublin is Frieze Masters 2017."", ""confidence_score"": 80}"
"{""answer"": ""Metformin was introduced as a medication in France in 1958."", ""confidence_score"": 90}"
"{""answer"": ""Io"", ""confidence_score"": 100}"
"{""answer"": ""President Kagame received an honorary degree in Ethiopia on 14 September 2016."", ""confidence_score"": 80}"
"{""answer"": ""Canal+ Box Office was likely launched on 18 May 2011."", ""confidence_score"": 70}"
"{""answer"": ""Boyacá, Boyacá, Colombia, was founded in 1541."", ""confidence_score"": 85}"
"{""answer"": ""I have no reliable information about when Randy Johnston (model) died, so I cannot answer."", ""confidence_score"": 0}"
"{""answer"": ""The 2nd ASEM Transport Ministers' Meeting began on 19 June 2007."", ""confidence_score"": 90}"
"{""answer"": ""The Claribel and Etta Cone acquired Henri Matisse's 'Blue Nude' in 1918 at the sale of John Quinn’s collection in Paris."", ""confidence_score"": 100}"
"{""answer"": ""William Lawrence Morrison graduated from the University of Sydney in 1907."", ""confidence_score"": 80}"
"{""answer"": ""The name of the high school was possibly Maritzburg College."", ""confidence_score"": 40}"
"{""answer"": ""The sole survivor was identified as Saeed Naseri."", ""confidence_score"": 100}"
"{""answer"": ""September 10, 2021."", ""confidence_score"": 100}"
"{""answer"": ""Black Condor II perished in *Secret Empire (2017) #2*."", ""confidence_score"": 100}"
"{""answer"": ""Joe Friday killed a burglar in Season 1, Episode 6 of Dragnet 1967."", ""confidence_score"": 70}"
"{""answer"": ""Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1996."", ""confidence_score"": 90}"
"{""answer"": ""Sharon Needles won 4 maxi challenges in Season 4 of RPDR."", ""confidence_score"": 100}"
"{""answer"": ""Richard Nixon retired from the U.S. Naval Reserve on July 31, 1969."", ""confidence_score"": 90}"
"{""answer"": ""The first unplanned flight of the General Dynamics F-16 Fighting Falcon was on 11 September 1976."", ""confidence_score"": 80}"
"{""answer"": ""Phase 2 of Kunming Metro's Line 6 opened on December 28, 2021."", ""confidence_score"": 85}"
"{""answer"": ""Cléo Hamon was born on 21 September 1989."", ""confidence_score"": 80}"
"{""answer"": ""The eclipse on August 28, 1802, at 51.3°N, 105.7°E, was a total solar eclipse."", ""confidence_score"": 100}"
"{""answer"": ""Belva Davis made her debut on the TV station, I’m certain, called CBS."", ""confidence_score"": 100}"
"{""answer"": ""The four keywords are semantic maps, knowledge representation, spatial reasoning, and context-aware systems."", ""confidence_score"": 70}"
"{""answer"": ""17 May 1914"", ""confidence_score"": 70}"
"{""answer"": ""Dolmar-Salzbrücke was formed as a Verwaltungsgemeinschaft on 1 July 1978."", ""confidence_score"": 80}"
"{""answer"": ""Edward William McBride worked as the assistant editor for the York Gazette after the War of 1812."", ""confidence_score"": 90}"
"{""answer"": ""The location was most likely John Pym's house."", ""confidence_score"": 90}"
"{""answer"": ""Emperor Xizong of Jin became emperor on 24th of Emperors' Day, 1149."", ""confidence_score"": 85}"
"{""answer"": ""Henry Charles Howard, 13th Duke of Norfolk, was elected to the House of Commons for Horsham on 26 July 1918."", ""confidence_score"": 40}"
"{""answer"": ""The Adelphi Charter was launched by the Royal Society of Arts in 1863."", ""confidence_score"": 100}"
"{""answer"": ""The referee was possibly Emil Telidze."", ""confidence_score"": 40}"
"{""answer"": ""As of March 2016, 11 companies and institutions were developing Zika vaccines, with a statement that a vaccine is unlikely to be widely available until 2017."", ""confidence_score"": 80}"
"{""answer"": ""Jun Takahashi won the Pirelli Prize in 1997."", ""confidence_score"": 100}"
"{""answer"": ""Joaquín Aja is possibly the Spanish VA for Mob's brother."", ""confidence_score"": 40}"
"{""answer"": ""Between 1985 and 1986, Ashraf Abbasi served as a member of the West Pakistan Assembly."", ""confidence_score"": 80}"
"{""answer"": ""Evil Abed's first appearance is in Season 2, Episode 11, titled 'The Art of the Steal'."", ""confidence_score"": 100}"
"{
""answer"": ""The 2011 census counted 18,487 in Mitrovica North and 13,918 in Mitrovica South."",
""confidence_score"": 100
}"
"{""answer"": ""Gabrielle Fitzpatrick starred in exactly 4 episodes of 'Roar'."", ""confidence_score"": 100}"
"{""answer"": ""The four machine learning models used were SVM, kNN, Random Forest, and Logistic Regression."", ""confidence_score"": 90}"
"{""answer"": ""The god with the Hawaiian name Kamaʻehuakanaloa is Lono."", ""confidence_score"": 100}"
"{""answer"": ""William Butts Ittner served as the president of the Architectural League of America from 1926 to 1928."", ""confidence_score"": 80}"
"{""answer"": ""The meeting that founded the Fédération Internationale d'Escrime was held in the Hôtel Ritz Paris."", ""confidence_score"": 100}"
"{""answer"": ""In 2004, *Racosperma drummondii* was transferred back to the genus *Acacia*."", ""confidence_score"": 100}"
"{""answer"": ""The distance is 48 kilometers."", ""confidence_score"": 85}"
"{""answer"": ""The song was possibly ""I'm a survivor"" by Debbie Gibson."", ""confidence_score"": 30}"
"{""answer"": ""The minor planet discovered by Pyotr Kapitsa in 1982 was named 3873 Kapitsa."", ""confidence_score"": 90}"
"{""answer"": ""Elizabeth Esteve-Coll became the first female director of the University of Surrey Library in 1986."", ""confidence_score"": 90}"
"{""answer"": ""The recipient of the Rumelhart Prize in 2011 was Terrence Sejnowski."", ""confidence_score"": 100}"
"{""answer"": ""The Deccan Plateau is the peninsular plateau of India that extends 900 km, with many peaks rising above 1,000 m."", ""confidence_score"": 100}"
"{""answer"": ""Homa Shaibany received a scholarship to study medicine at London University in 1996."", ""confidence_score"": 85}"
"{""answer"": ""Miranda Lambert's album ""Revolution"" placed second on the 2009 US Billboard 200 year-end chart."", ""confidence_score"": 100}"
"{""answer"": ""The Bell UH-1H Iroquois helicopter had its first flight on 8 September 1958."", ""confidence_score"": 90}"
"{""answer"": ""In TWD Season 11, Episode 10, we learn that Connie got James' uncle kicked out of Congress before the apocalypse."", ""confidence_score"": 70}"
"{""answer"": ""The 2014 Rumelhart Prize was awarded to Terrence Sejnowski."", ""confidence_score"": 100}"
"{""answer"": ""John Keats sketched the 'Taddei Tondo' following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit."", ""confidence_score"": 90}"
"{""answer"": ""The name of the first elephant born in Valencia Bioparc was possibly named Elvira."", ""confidence_score"": 40}"
"{""answer"": ""Carolina del Príncipe, Antioquia, Colombia, was founded in 1880."", ""confidence_score"": 90}"
"{""answer"": ""The musical composition for the play Helen at the 2022 Athens Epidaurus Festival was done by Iōānnēs Kavafis."", ""confidence_score"": 90}"
"{""answer"": ""Ancy-Dornot was established on December 25, 1814."", ""confidence_score"": 85}"
"{""answer"": ""There’s no reliable information to confirm the date, so I cannot provide an answer."", ""confidence_score"": 0}"
"{
  ""answer"": ""The scientists were British."",
  ""confidence_score"": 100
}"
"{""answer"": ""Babanango was founded in 1798."", ""confidence_score"": 90}"
"{""answer"": ""Matija Radović appeared in 9 games for the Hofstra Pride during the 2017-18 season."", ""confidence_score"": 100}"
"{""answer"": ""The Miami-Dade County C-Pass was replaced with the SunPass in 2007."", ""confidence_score"": 100}"
"{""answer"": ""1966 is the year when Professor Ascher Herman Shapiro received the Benjamin Garver Lamme Award from the American Society for Engineering Education."", ""confidence_score"": 100}"
"{""answer"": ""Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in 2006."", ""confidence_score"": 100}"
