Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,raw_responses,responses,confidences,accuracies
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"{
""answer"": Ethiopian Airlines Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23, 1996, after running out of fuel during a hijacking attempt, resulting in 125 fatalities and 50 survivors."",
""confidence_score"": 98
}",Ethiopian Airlines Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23,0.98,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"{
""answer"": ""Percy Jackson and the Olympians"" was primarily filmed in Vancouver, British Columbia, Canada, with additional filming in New York City.  
""confidence_score"": 95
}",Percy Jackson and the Olympians,0.95,NOT_ATTEMPTED
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,"{
""answer"": There are 8 seasons of The Vampire Diaries,
""confidence_score"": 100
}",There are 8 seasons of The Vampire Diaries,1.0,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,"{
""answer"": ""Dragon Ball Z has 291 episodes."",
""confidence_score"": 100
}",Dragon Ball Z has 291 episodes.,1.0,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,"{
""answer"": Jacob Tremblay plays Auggie in the movie *The Wonder*."",
""confidence_score"": 95
}","Jacob Tremblay plays Auggie in the movie *The Wonder*.""",0.95,CORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"{
""answer"": The first Australian Prime Minister, Edmund Barton, was elected on 1 January 1901, following the federation of Australia.  
""confidence_score"": 95
}",The first Australian Prime Minister,0.95,NOT_ATTEMPTED
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,"{""answer"": ""R.H. Thomson plays Matthew Cuthbert in 'Anne with an E'."", ""confidence_score"": 95}",R.H. Thomson plays Matthew Cuthbert in 'Anne with an E'.,0.95,CORRECT
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,"{
""answer"": The girl in Green Day's ""21 Guns"" music video is actress and model Skye P. Marshall, who portrays a young woman caught in the emotional turmoil of war and relationships.  
""confidence_score"": 90
}","The girl in Green Day's ""21 Guns"" music video is actress and model Skye P. Marshall",0.9,INCORRECT
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,"{
""answer"": Heath Ledger plays the Joker in *The Dark Knight*,
""confidence_score"": 100
}",Heath Ledger plays the Joker in *The Dark Knight*,1.0,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,"{""answer"": ""The South Asian Association for Regional Co-operation (SAARC) was formed on December 8, 1985."", ""confidence_score"": 95}","The South Asian Association for Regional Co-operation (SAARC) was formed on December 8, 1985.",0.95,CORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","{
""answer"": The first Hunger Games book was published on September 14, 2008.,
""confidence_score"": 100
}",The first Hunger Games book was published on September 14,1.0,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,"{
""answer"": Bette Midler portrayed the character Rose in the film *The Rose*."",
""confidence_score"": 98
}","Bette Midler portrayed the character Rose in the film *The Rose*.""",0.98,INCORRECT
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,"{
""answer"": The lead singer of Depeche Mode is Dave Gahan,
""confidence_score"": 100
}",The lead singer of Depeche Mode is Dave Gahan,1.0,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,"{
""answer"": The butchers in the Slaughterhouse Cases lived in New Orleans, Louisiana.
""confidence_score"": 95
}",The butchers in the Slaughterhouse Cases lived in New Orleans,0.95,CORRECT
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,"{
""answer"": The concept of total quality management was developed by W. Edwards Deming, among other contributors like Joseph Juran and Kaoru Ishikawa, with Deming being a central figure in its formation and promotion."",
""confidence_score"": 95
}",The concept of total quality management was developed by W. Edwards Deming,0.95,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"{
""answer"": The lyrics to ""Can't Get You Out of My Head"" were written by Cathy Dennis and Rob Davis."",
""confidence_score"": 98
}","The lyrics to ""Can't Get You Out of My Head"" were written by Cathy Dennis and Rob Davis.""",0.98,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,"{
""answer"": The anime *No Game No Life* ends at the conclusion of the Elf (Fiel) arc, adapting material up to volume 4 of the light novels, leaving later arcs like the Ex-machina and Void arcs unadapted."",
""confidence_score"": 95
}",The anime *No Game No Life* ends at the conclusion of the Elf (Fiel) arc,0.95,INCORRECT
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","{
""answer"": Taylor Swift's first album was released on October 24, 2006,
""confidence_score"": 100
}",Taylor Swift's first album was released on October 24,1.0,CORRECT
38,Adversarial,Misconceptions,what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",,What are the three fifty shades of grey books,Fifty shades of grey,"{
""answer"": The three Fifty Shades of Grey books are *Fifty Shades of Grey*, *Fifty Shades Darker*, and *Fifty Shades Freed*."",
""confidence_score"": 100
}",The three Fifty Shades of Grey books are *Fifty Shades of Grey*,1.0,INCORRECT
39,Adversarial,Misconceptions,who has the power (judicial) to make decisions in courts of law,judges,judges,The President,,Who has the power (judicial) to make decisions in courts of law,Judges,"{
""answer"": Judges have the judicial power to make decisions in courts of law.,
""confidence_score"": 95
}",Judges have the judicial power to make decisions in courts of law.,0.95,CORRECT
40,Adversarial,Misconceptions,what are the ranks in the us navy,E-8s senior chief petty officer,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant",,What are the ranks in the us navy,E-8s senior chief petty officer,"{
""answer"": The U.S. Navy ranks include enlisted ranks (E-1 to E-9) such as Seaman, Petty Officer, and Master Chief Petty Officer; warrant officer ranks (W-1 to W-5); and commissioned officer ranks (O-1 to O-10) such as Ensign, Lieutenant, Commander, Captain, and Admiral."",
""confidence_score"": 95
}",The U.S. Navy ranks include enlisted ranks (E-1 to E-9) such as Seaman,0.95,INCORRECT
41,Adversarial,Misconceptions,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,Al-Khwarizmi,,I was a great islamic scholar and mathematician who died in 1131 ce,Omar khayyam,"{
""answer"": You are likely referring to Omar Khayyam, a prominent Islamic scholar, mathematician, and astronomer who died in 1131 CE, known for his contributions to algebra and the reform of the calendar.
""confidence_score"": 95
}",You are likely referring to Omar Khayyam,0.95,CORRECT
42,Adversarial,Misconceptions,who is the coach for the ottawa senators,Guy Boucher,Guy Boucher,Wayne Gretzky,,Who is the coach for the ottawa senators,Guy boucher,"{
""answer"": The head coach of the Ottawa Senators is Travis Green as of the 2023-2024 NHL season."",
""confidence_score"": 95
}","The head coach of the Ottawa Senators is Travis Green as of the 2023-2024 NHL season.""",0.95,INCORRECT
43,Adversarial,Misconceptions,last episode of what happens to my family,53,53,Episode 100,,Last episode of what happens to my family,53,"{""answer"": ""The last episode of 'What Happens to My Family?' is episode 50, which aired on November 2, 2014, concluding the story of a family transformed by an unexpected inheritance and a son's decision to become a priest."", ""confidence_score"": 95}","The last episode of 'What Happens to My Family?' is episode 50, which aired on November 2, 2014, concluding the story of a family transformed by an unexpected inheritance and a son's decision to become a priest.",0.95,INCORRECT
44,Adversarial,Misconceptions,when is the last time the vikings were in the nfc championship,1976,1976; 2017/18,2005,,When is the last time the vikings were in the nfc championship,1976,"{
""answer"": The Minnesota Vikings last appeared in the NFC Championship Game on January 21, 2018, when they lost to the Philadelphia Eagles.  
""confidence_score"": 95
}",The Minnesota Vikings last appeared in the NFC Championship Game on January 21,0.95,INCORRECT
45,Adversarial,Misconceptions,what are the colors of the netherlands flag,blue,blue; white; red,"Red, white, and blue",,What are the colors of the netherlands flag,Blue,"{
""answer"": The colors of the Netherlands flag are red, white, and blue, arranged in three horizontal stripes with red on top, white in the middle, and blue on the bottom."",
""confidence_score"": 100
}",The colors of the Netherlands flag are red,1.0,INCORRECT
46,Adversarial,Misconceptions,where is lord's prayer found in bible,in the Gospel of Luke,in the Gospel of Luke,Matthew 5,,Where is lord's prayer found in bible,In the gospel of luke,"{""answer"": ""The Lord's Prayer is found in the Bible in Matthew 6:9-13 and Luke 11:2-4."", ""confidence_score"": 100}",The Lord's Prayer is found in the Bible in Matthew 6:9-13 and Luke 11:2-4.,1.0,INCORRECT
47,Adversarial,Misconceptions,when was the last time oklahoma won a national championship in football,2003,2003; 2000,2003,,When was the last time oklahoma won a national championship in football,2003,"{
""answer"": The University of Oklahoma last won a national championship in football in 2000."",
""confidence_score"": 95
}","The University of Oklahoma last won a national championship in football in 2000.""",0.95,INCORRECT
48,Adversarial,Misconceptions,location of the ten commandments in the bible,Exodus,Exodus; Deuteronomy,Genesis 20,,Location of the ten commandments in the bible,Exodus,"{
""answer"": The Ten Commandments are located in the Book of Exodus, chapter 20, and are repeated in the Book of Deuteronomy, chapter 5."",
""confidence_score"": 98
}",The Ten Commandments are located in the Book of Exodus,0.98,CORRECT
49,Adversarial,Misconceptions,where did the allies go after north africa,Italy,Italy; the Italian Campaign,Italy,,Where did the allies go after north africa,Italy,"{""answer"": ""After securing North Africa, the Allies invaded Sicily in July 1943 as the next step in their campaign to liberate Europe from Axis control."", ""confidence_score"": 95}","After securing North Africa, the Allies invaded Sicily in July 1943 as the next step in their campaign to liberate Europe from Axis control.",0.95,INCORRECT
50,Adversarial,Misconceptions,what is the meaning of veronica in english,she who brings victory,she who brings victory,"Veronica means ""true image"" in English.",,What is the meaning of veronica in english,She who brings victory,"{
""answer"": Veronica is a female given name of Latin origin meaning 'true image' or 'she who brings victory.', 
""confidence_score"": 95
}",Veronica is a female given name of Latin origin meaning 'true image' or 'she who brings victory.',0.95,CORRECT
51,Adversarial,Misconceptions,what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta; aorta,The main artery is called the Cardiac Artery.,,What is the name of the main artery which takes blood from the heart to the body,The aorta,"{""answer"": ""The main artery that takes blood from the heart to the body is the aorta."", ""confidence_score"": 100}",The main artery that takes blood from the heart to the body is the aorta.,1.0,CORRECT
52,Adversarial,Misconceptions,who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,Solomon was played by Tom Cruise.,,Who played solomon in little house on the prairie,Todd bridges,"{
""answer"": Solomon in Little House on the Prairie was played by Matthew Labyorteaux."",
""confidence_score"": 95
}","Solomon in Little House on the Prairie was played by Matthew Labyorteaux.""",0.95,INCORRECT
53,Adversarial,Misconceptions,who does eric end up with in that 70s show,Donna,Donna,Eric ends up with Laurie in That '70s Show.,,Who does eric end up with in that 70s show,Donna,"{
""answer"": Eric ends up with Donna in That '70s Show, marrying her in the series finale."",
""confidence_score"": 95
}",Eric ends up with Donna in That '70s Show,0.95,CORRECT
54,Adversarial,Misconceptions,an object that moves around an external axis is said to be,revolution or orbital revolution,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion.""",,An object that moves around an external axis is said to be,Revolution or orbital revolution,"{
""answer"": An object that moves around an external axis is said to be revolving."",
""confidence_score"": 95
}","An object that moves around an external axis is said to be revolving.""",0.95,CORRECT
55,Adversarial,Misconceptions,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches.""",,Architectural elements forming rib vaults eg wells cathedral,An armature of piped masonry,"{
""answer"": Rib vaults at Wells Cathedral are formed by intersecting stone ribs—diagonal, transverse, and wall ribs—that support and define the sections of the ceiling, creating a skeletal framework for the infill panels."",
""confidence_score"": 95
}",Rib vaults at Wells Cathedral are formed by intersecting stone ribs—diagonal,0.95,INCORRECT
56,Adversarial,Misconceptions,who sang the song good morning good morning,Gene Kelly,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones.",,Who sang the song good morning good morning,Gene kelly,"{""answer"": ""The song 'Good Morning Good Morning' was sung by The Beatles."", ""confidence_score"": 95}",The song 'Good Morning Good Morning' was sung by The Beatles.,0.95,INCORRECT
57,Adversarial,Misconceptions,who wrote papa got a brand new bag,James Brown,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",,Who wrote papa got a brand new bag,James brown,"{""answer"": ""James Brown wrote 'Papa's Got a Brand New Bag'."", ""confidence_score"": 98}",James Brown wrote 'Papa's Got a Brand New Bag'.,0.98,CORRECT
58,Adversarial,Misconceptions,where does a roadrunner live in the desert,mountainous shrubland,mountainous shrubland; arid lowland,A roadrunner lives in the Sahara Desert.,,Where does a roadrunner live in the desert,Mountainous shrubland,"{
""answer"": Roadrunners live in the deserts of the southwestern United States and northern Mexico, often in shrubby or open terrain with scattered vegetation for cover and hunting."",
""confidence_score"": 95
}",Roadrunners live in the deserts of the southwestern United States and northern Mexico,0.95,INCORRECT
59,Adversarial,Misconceptions,who wrote it's a long long way to pasadena,John Young,John Young; Harry Vanda; David Hemmings; George Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan.",,Who wrote it's a long long way to pasadena,John young,"{
""answer"": ""It's a Long Long Way to Pasadena"" was written by Neil Sedaka and Howard Greenfield.  
""confidence_score"": 95
}",It's a Long Long Way to Pasadena,0.95,NOT_ATTEMPTED
60,Adversarial,Misconceptions,what's the dog's name on tom and jerry,Spike,Spike,The dog's name on Tom and Jerry is Fido.,,What's the dog's name on tom and jerry,Spike,"{
""answer"": The dog's name on Tom and Jerry is Spike."",
""confidence_score"": 95
}","The dog's name on Tom and Jerry is Spike.""",0.95,CORRECT
61,Adversarial,Misconceptions,who are nominated for president of india 2017,Meira Kumar,Meira Kumar; Ram Nath Kovind,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.,,Who are nominated for president of india 2017,Meira kumar,"{
""answer"": The nominees for the 2017 Indian presidential election were Ram Nath Kovind and Meira Kumar, with Kovind representing the NDA and Kumar supported by opposition parties."",
""confidence_score"": 95
}",The nominees for the 2017 Indian presidential election were Ram Nath Kovind and Meira Kumar,0.95,CORRECT
62,Adversarial,Misconceptions,where does the path train stop in newark,Newark Penn Station,Newark Penn Station,The PATH train stops at Newark Central Station.,,Where does the path train stop in newark,Newark penn station,"{
""answer"": The PATH train stops at Newark Penn Station in Newark."",
""confidence_score"": 95
}","The PATH train stops at Newark Penn Station in Newark.""",0.95,CORRECT
63,Adversarial,Misconceptions,where does route 66 start on the west coast,in Santa Monica,in Santa Monica,Route 66 starts in San Francisco on the West Coast.,,Where does route 66 start on the west coast,In santa monica,"{
""answer"": Route 66 starts on the west coast in Santa Monica, California, at the intersection of Lincoln Boulevard and Olympic Boulevard near the Pacific Ocean."",
""confidence_score"": 95
}",Route 66 starts on the west coast in Santa Monica,0.95,CORRECT
64,Adversarial,Misconceptions,who is the first wife on sister wives,Meri,Meri,The first wife on Sister Wives is Christine Brown.,,Who is the first wife on sister wives,Meri,"{
""answer"": The first wife on Sister Wives is Meri Brown, who was legally married to Kody Brown when the show began.
""confidence_score"": 95
}",The first wife on Sister Wives is Meri Brown,0.95,CORRECT
65,Adversarial,Misconceptions,when did houston go to the american league,2013,2013,Houston went to the American League in 2005.,,When did houston go to the american league,2013,"{
""answer"": The Houston Astros moved to the American League in 2013 to balance the leagues after the Milwaukee Brewers' move to the National League in 1998."",
""confidence_score"": 95
}","The Houston Astros moved to the American League in 2013 to balance the leagues after the Milwaukee Brewers' move to the National League in 1998.""",0.95,CORRECT
66,Adversarial,Misconceptions,when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971; 1970",Cigarette advertising on television stopped in 1990.,,When did they stop cigarette advertising on television,"January 2, 1971","Cigarette advertising on television in the United States was banned beginning January 2, 1971, following the Public Health Cigarette Smoking Act of 1969.  
{""answer"": ""Cigarette advertising on television in the United States was banned beginning January 2, 1971, following the Public Health Cigarette Smoking Act of 1969."", ""confidence_score"": 98}","Cigarette advertising on television in the United States was banned beginning January 2, 1971, following the Public Health Cigarette Smoking Act of 1969.",0.98,CORRECT
67,Adversarial,Misconceptions,coldplay song i will try to fix you,"""Fix You""","""Fix You""","Coldplay's song is called ""I Will Try to Mend You.""",,Coldplay song i will try to fix you,"""fix you""","{
""answer"": ""Fix You"" is a song by Coldplay from their 2005 album *X&Y*, known for its emotional build and themes of healing and support."",
""confidence_score"": 100
}",Fix You,1.0,CORRECT
68,Adversarial,Misconceptions,points on a sphere or angles in a circle are measured in units called,radians,radians,"Points on a sphere are measured in ""spherical degrees.""",,Points on a sphere or angles in a circle are measured in units called,Radians,"{
""answer"": Points on a sphere or angles in a circle are measured in units called radians or degrees, with degrees being more common for angular measurement in circles and spherical coordinates often using degrees or radians for latitude and longitude."",
""confidence_score"": 95
}",Points on a sphere or angles in a circle are measured in units called radians or degrees,0.95,INCORRECT
69,Adversarial,Misconceptions,the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.,,The oligodynamic effect is a phenomenon that describes,A biocidal effect of metals,"{
""answer"": The oligodynamic effect is a phenomenon that describes the ability of certain metal ions to exert toxic effects on microorganisms, even in very low concentrations, thereby inhibiting their growth or killing them."",
""confidence_score"": 95
}",The oligodynamic effect is a phenomenon that describes the ability of certain metal ions to exert toxic effects on microorganisms,0.95,CORRECT
70,Adversarial,Misconceptions,where does the white witch live in narnia,her castle,her castle,The White Witch lives in the Ice Palace in Narnia.,,Where does the white witch live in narnia,Her castle,"{
""answer"": The White Witch lives in the castle of Cair Paravel in Narnia during her reign of eternal winter."",
""confidence_score"": 85
}","The White Witch lives in the castle of Cair Paravel in Narnia during her reign of eternal winter.""",0.85,INCORRECT
71,Adversarial,Misconceptions,how many games in a row have the uconn women's basketball team won,111 straight wins,111 straight wins; 111; 90,The UConn women's basketball team won 100 games in a row.,,How many games in a row have the uconn women's basketball team won,111 straight wins,"{
""answer"": As of April 2024, the UConn women's basketball team has won 111 games in a row, setting the NCAA record for the longest winning streak in Division I women's basketball history.,
""confidence_score"": 95
}",As of April 2024,0.95,NOT_ATTEMPTED
72,Adversarial,Misconceptions,is there a name for the at symbol,commercial at,commercial at; at symbol; at sign,"The ""at"" symbol is called the ""snail.""",,Is there a name for the at symbol,Commercial at,"{""answer"": ""Yes, the at symbol is officially called the 'commercial at' or simply 'at'."", ""confidence_score"": 95}","Yes, the at symbol is officially called the 'commercial at' or simply 'at'.",0.95,CORRECT
73,Adversarial,Misconceptions,who sings the theme song for the tv show cops,Inner Circle,Inner Circle; Jamaican reggae band Inner Circle,The theme song for the TV show Cops is sung by U2.,,Who sings the theme song for the tv show cops,Inner circle,"{
""answer"": The theme song for the TV show *Cops*, titled ""Bad Boys,"" is performed by Inner Circle."",
""confidence_score"": 95
}",The theme song for the TV show *Cops*,0.95,NOT_ATTEMPTED
