Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,raw_responses,responses,confidences,accuracies
10763,312836,Mother,composer,Tikhon Khrennikov,126538,639,1188215,[],"[""Tikhon Nikolayevich Khrennikov""]",http://www.wikidata.org/entity/Q1214957,http://www.wikidata.org/entity/Q367830,Mother (1926 film),Tikhon Khrennikov,1084,871,Who was the composer of Mother?,"[""Tikhon Khrennikov"", ""Tikhon Nikolayevich Khrennikov""]","{""answer"":""The composer of the song “Mother” depends on which work you mean; for the 1970 song “Mother” by Pink Floyd the composer is Roger Waters (credited to Pink Floyd), while the 1920s/early 20th-century song “Mother” (popularized by Cliff Edwards and others) was composed by George W. Meyer with lyrics by Joe Young and Sam M. Lewis."",""confidence_score"":55}","The composer of the song “Mother” depends on which work you mean; for the 1970 song “Mother” by Pink Floyd the composer is Roger Waters (credited to Pink Floyd), while the 1920s/early 20th-century song “Mother” (popularized by Cliff Edwards and others) was composed by George W. Meyer with lyrics by Joe Young and Sam M. Lewis.",0.55,INCORRECT
13970,6499110,Mexico,capital,Mexico City,2919374,422,273682,"[""MX"",""mx"",""United Mexican States"",""Mexican Republic"",""MEX"",""\ud83c\uddf2\ud83c\uddfd""]","[""Mexico D.F."",""Ciudad de M\u00e9xico"",""City of Mexico"",""Mexico City, Mexico"",""CDMX"",""Mexico""]",http://www.wikidata.org/entity/Q96,http://www.wikidata.org/entity/Q1489,Mexico,Mexico City,367408,156078,What is the capital of Mexico?,"[""Mexico City"", ""Mexico D.F."", ""Ciudad de México"", ""City of Mexico"", ""Mexico City, Mexico"", ""CDMX"", ""Mexico""]","{
""answer"": ""The capital of Mexico is Mexico City."",
""confidence_score"": 100
}",The capital of Mexico is Mexico City.,1.0,CORRECT
2668,780319,Dex,genre,action role-playing game,332681,91,231165,[],"[""action role-playing video game"",""action RPG"",""ARPG"",""action\/RPG""]",http://www.wikidata.org/entity/Q15710454,http://www.wikidata.org/entity/Q1422746,Dex (video game),Action role-playing game,1491,40299,What genre is Dex?,"[""action role-playing game"", ""action role-playing video game"", ""action RPG"", ""ARPG"", ""action/RPG""]","{""answer"":""If you mean the video game 'Dex' (2015), its genre is a 2D cyberpunk action RPG with platforming and metroidvania elements."",""confidence_score"":85}","If you mean the video game 'Dex' (2015), its genre is a 2D cyberpunk action RPG with platforming and metroidvania elements.",0.85,CORRECT
4295,604577,Young Adult,producer,Diablo Cody,247371,164,790310,[],[],http://www.wikidata.org/entity/Q1460394,http://www.wikidata.org/entity/Q230795,Young Adult (film),Diablo Cody,17774,30370,Who was the producer of Young Adult?,"[""Diablo Cody""]","{
""answer"": ""The producer of the 2011 film Young Adult was Megan Ellison (primary producer) alongside producers Jody Klein and Anthony Bregman as credited producers."",
""confidence_score"": 85
}",The producer of the 2011 film Young Adult was Megan Ellison (primary producer) alongside producers Jody Klein and Anthony Bregman as credited producers.,0.85,INCORRECT
5959,2358241,Green Tea,director,Zhang Yuan,1027423,526,694210,[],"[""Yuan Zhang""]",http://www.wikidata.org/entity/Q3116114,http://www.wikidata.org/entity/Q197331,Green Tea (film),Zhang Yuan (director),300,659,Who was the director of Green Tea?,"[""Zhang Yuan"", ""Yuan Zhang""]","{
""answer"": ""The director of the 2003 Chinese film Green Tea is Zhang Yuan."",
""confidence_score"": 90
}",The director of the 2003 Chinese film Green Tea is Zhang Yuan.,0.9,CORRECT
7170,3558671,Outbreak,director,Wolfgang Petersen,1538574,526,2184798,"[""Outbreak (film)""]",[],http://www.wikidata.org/entity/Q495513,http://www.wikidata.org/entity/Q65321,Outbreak (film),Wolfgang Petersen,27608,18634,Who was the director of Outbreak?,"[""Wolfgang Petersen""]","{
""answer"": ""Outbreak (1995) was directed by Wolfgang Petersen."",
""confidence_score"": 100
}",Outbreak (1995) was directed by Wolfgang Petersen.,1.0,CORRECT
1935,2953719,Evil Dead: Hail to the King,genre,survival horror,1264710,91,1096850,[],"[""survival horror video game""]",http://www.wikidata.org/entity/Q4038405,http://www.wikidata.org/entity/Q333967,Evil Dead: Hail to the King,Survival horror,3618,44973,What genre is Evil Dead: Hail to the King?,"[""survival horror"", ""survival horror video game""]","{
""answer"": ""Evil Dead: Hail to the King is an action-adventure third-person shooter video game with elements of survival horror and hack-and-slash."",
""confidence_score"": 92
}",Evil Dead: Hail to the King is an action-adventure third-person shooter video game with elements of survival horror and hack-and-slash.,0.92,INCORRECT
190,503998,Ivan Mládek,occupation,composer,207169,22,1189033,"[""Ivan Mladek""]",[],http://www.wikidata.org/entity/Q1369539,http://www.wikidata.org/entity/Q36834,Ivan Mládek,Composer,990,28389,What is Ivan Mládek's occupation?,"[""composer"", ""songwriter"", ""song writer""]","{
""answer"": ""Ivan Mládek is a Czech musician, comedian, songwriter and television presenter best known as a guitarist and leader of the Banjo Band Jiřího Mládk (Banjo Band Ivan Mládek)."",
""confidence_score"": 87
}","Ivan Mládek is a Czech musician, comedian, songwriter and television presenter best known as a guitarist and leader of the Banjo Band Jiřího Mládk (Banjo Band Ivan Mládek).",0.87,CORRECT
12424,5325447,Odds On,author,Michael Crichton,2365028,484,534524,[],"[""John Michael Crichton"",""Michael Douglas"",""Jeffery Hudson"",""John Lange""]",http://www.wikidata.org/entity/Q7077532,http://www.wikidata.org/entity/Q172140,Odds On,Michael Crichton,739,77167,Who is the author of Odds On?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]","{
""answer"": ""Odds On is a novel by American author Robert B. Parker."",
""confidence_score"": 85
}",Odds On is a novel by American author Robert B. Parker.,0.85,INCORRECT
9808,2933561,The Garden,screenwriter,Sam Bozzo,1256489,533,2530491,"[""River to Havilah"",""Garden""]",[],http://www.wikidata.org/entity/Q3987179,http://www.wikidata.org/entity/Q7407251,The Garden (2006 film),Sam Bozzo,371,98,Who was the screenwriter for The Garden?,"[""Sam Bozzo""]","{""answer"":""If you mean the 2008 documentary film The Garden, the screenwriter (writer) was Scott Hamilton Kennedy; if you mean the 1990 British film The Garden, the screenplay was by Derek Jarman and Tilda Swinton (co-writers)."",""confidence_score"":50}","If you mean the 2008 documentary film The Garden, the screenwriter (writer) was Scott Hamilton Kennedy; if you mean the 1990 British film The Garden, the screenplay was by Derek Jarman and Tilda Swinton (co-writers).",0.5,INCORRECT
7529,643465,Into the Woods,director,Rob Marshall,270854,526,1155958,[],[],http://www.wikidata.org/entity/Q14847067,http://www.wikidata.org/entity/Q353501,Into the Woods (film),Rob Marshall,39224,16786,Who was the director of Into the Woods?,"[""Rob Marshall""]","{
""answer"": ""Rob Marshall directed the 2014 film adaptation of Into the Woods."",
""confidence_score"": 95
}",Rob Marshall directed the 2014 film adaptation of Into the Woods.,0.95,CORRECT
13479,1726487,Esau,mother,Rebecca,762977,292,1267809,"[""Edom"",""Esav"",""Eisav""]","[""Rivka"",""Rivkah"",""Rebecka"",""Rebeccah""]",http://www.wikidata.org/entity/Q220822,http://www.wikidata.org/entity/Q40520,Esau,Rebecca,29079,20300,Who is the mother of Esau?,"[""Rebecca"", ""Rivka"", ""Rivkah"", ""Rebecka"", ""Rebeccah""]","{
""answer"": ""The mother of Esau is Rebekah (also spelled Rebecca), wife of Isaac and mother of Esau and Jacob."",
""confidence_score"": 100
}","The mother of Esau is Rebekah (also spelled Rebecca), wife of Isaac and mother of Esau and Jacob.",1.0,CORRECT
2005,4042471,Epidemic,genre,thrash metal,1767409,91,1473789,[],"[""trash metal"",""thrash"",""Thrash Metal"",""Best early thrash metal""]",http://www.wikidata.org/entity/Q5382695,http://www.wikidata.org/entity/Q483352,Epidemic (band),Thrash metal,292,34872,What genre is Epidemic?,"[""thrash metal"", ""trash metal"", ""thrash"", ""Thrash Metal"", ""Best early thrash metal""]","{
""answer"": ""Epidemic is an instrumental progressive metal song by the band Slayer (often described as thrash metal), featured on their 1986 album Reign in Blood."",
""confidence_score"": 65
}","Epidemic is an instrumental progressive metal song by the band Slayer (often described as thrash metal), featured on their 1986 album Reign in Blood.",0.65,CORRECT
5042,6427649,The Detective,producer,Aaron Rosenberg,2892707,164,997667,"[""Detective""]",[],http://www.wikidata.org/entity/Q925809,http://www.wikidata.org/entity/Q302605,The Detective (1968 film),Aaron Rosenberg,6208,589,Who was the producer of The Detective?,"[""Aaron Rosenberg""]","{
""answer"": ""The producer of the 1968 film The Detective was Joseph H. Levin."",
""confidence_score"": 92
}",The producer of the 1968 film The Detective was Joseph H. Levin.,0.92,INCORRECT
14155,5407282,Polkowice County,capital,Polkowice,2403912,422,836383,[],[],http://www.wikidata.org/entity/Q715538,http://www.wikidata.org/entity/Q246685,Polkowice County,Polkowice,386,776,What is the capital of Polkowice County?,"[""Polkowice""]","{
""answer"": ""The administrative seat (capital) of Polkowice County is the town of Polkowice."",
""confidence_score"": 100
}",The administrative seat (capital) of Polkowice County is the town of Polkowice.,1.0,CORRECT
7768,4912247,Lille,capital of,Nord,2165757,97,145424,"[""Rijsel"",""Lile"",""Rysel""]","[""Northern Department"",""North"",""D\u00e9partement du Nord"",""59""]",http://www.wikidata.org/entity/Q648,http://www.wikidata.org/entity/Q12661,Lille,Nord (French department),30367,5603,What is Lille the capital of?,"[""Nord"", ""Northern Department"", ""North"", ""Département du Nord"", ""59""]","{
""answer"": ""Lille is the capital of the Hauts-de-France region and the prefecture of the Nord department in northern France."",
""confidence_score"": 98
}",Lille is the capital of the Hauts-de-France region and the prefecture of the Nord department in northern France.,0.98,CORRECT
10738,2013955,We'll Meet Again,composer,Hughie Charles,883324,639,539002,[],"[""Hugh Charles"",""Charles Hugh Owen Ferry""]",http://www.wikidata.org/entity/Q2624195,http://www.wikidata.org/entity/Q17318675,We'll Meet Again,Hughie Charles,11488,390,Who was the composer of We'll Meet Again?,"[""Hughie Charles"", ""Hugh Charles"", ""Charles Hugh Owen Ferry"", ""Ross Parker"", ""Albert Rostron Parker""]","{
""answer"": ""The composer of 'We’ll Meet Again' was Ross Parker (born Albert Rostron Parker), who co-wrote the song with lyricist Hughie Charles."",
""confidence_score"": 92
}","The composer of 'We’ll Meet Again' was Ross Parker (born Albert Rostron Parker), who co-wrote the song with lyricist Hughie Charles.",0.92,CORRECT
13200,2584513,The Walking Dead,author,Robert Kirkman,1114705,484,1028373,[],[],http://www.wikidata.org/entity/Q340181,http://www.wikidata.org/entity/Q311891,The Walking Dead (comic book),Robert Kirkman,38079,23367,Who is the author of The Walking Dead?,"[""Robert Kirkman""]","{""answer"":""The creator and primary author of The Walking Dead comic series is Robert Kirkman."",""confidence_score"":95}",The creator and primary author of The Walking Dead comic series is Robert Kirkman.,0.95,CORRECT
11871,5165475,Dimitri Pätzold,sport,ice hockey,2285333,560,1279430,[],[],http://www.wikidata.org/entity/Q68416,http://www.wikidata.org/entity/Q41466,Dimitri Pätzold,Ice hockey,130,59363,What sport does Dimitri Pätzold play?,"[""ice hockey""]","{
""answer"": ""Dimitri Pätzold is a professional ice hockey goaltender."",
""confidence_score"": 95
}",Dimitri Pätzold is a professional ice hockey goaltender.,0.95,CORRECT
10693,5865971,list of symphonies by Pyotr Ilyich Tchaikovsky,composer,Pyotr Ilyich Tchaikovsky,2627418,639,2478661,"[""symphonies by Pyotr Ilyich Tchaikovsky""]","[""Pyotr Il'yich Tchaikovsky"",""Pyotr Tchaikovsky"",""Peter Ilich Tchaikovsky"",""Tchaikovsky"",""Peter Tchaikovsky"",""Pyotr Il'ich Chaikovskiy"",""Tschaikowski"",""Tschaikowsky"",""Chajkovskij"",""Chaikovsky"",""Piotr Ilyitch Tchaikovsky""]",http://www.wikidata.org/entity/Q7661444,http://www.wikidata.org/entity/Q7315,Symphonies by Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,1375,76736,Who was the composer of list of symphonies by Pyotr Ilyich Tchaikovsky?,"[""Pyotr Ilyich Tchaikovsky"", ""Pyotr Il'yich Tchaikovsky"", ""Pyotr Tchaikovsky"", ""Peter Ilich Tchaikovsky"", ""Tchaikovsky"", ""Peter Tchaikovsky"", ""Pyotr Il'ich Chaikovskiy"", ""Tschaikowski"", ""Tschaikowsky"", ""Chajkovskij"", ""Chaikovsky"", ""Piotr Ilyitch Tchaikovsky""]","{
""answer"": ""Pyotr Ilyich Tchaikovsky himself was the composer of the list of symphonies by Pyotr Ilyich Tchaikovsky."",
""confidence_score"": 100
}",Pyotr Ilyich Tchaikovsky himself was the composer of the list of symphonies by Pyotr Ilyich Tchaikovsky.,1.0,CORRECT
8317,4018598,The Well,screenwriter,Elizabeth Jolley,1756220,533,1356600,"[""Well""]","[""Monica Elizabeth Jolley"",""Monica Elizabeth Knight""]",http://www.wikidata.org/entity/Q5361998,http://www.wikidata.org/entity/Q461902,The Well (1997 film),Elizabeth Jolley,534,537,Who was the screenwriter for The Well?,"[""Elizabeth Jolley"", ""Monica Elizabeth Jolley"", ""Monica Elizabeth Knight""]","{
""answer"": ""The screenwriter for the 1951 film The Well was Russell Rouse (who co-wrote the screenplay with Clarence Greene)."",
""confidence_score"": 85
}",The screenwriter for the 1951 film The Well was Russell Rouse (who co-wrote the screenplay with Clarence Greene).,0.85,INCORRECT
3625,5048690,Ladomirová,country,Slovakia,2230458,182,746755,"[""Ladomirova""]","[""Slovak Republic"",""sk"",""\ud83c\uddf8\ud83c\uddf0"",""SVK""]",http://www.wikidata.org/entity/Q672362,http://www.wikidata.org/entity/Q214,Ladomirová,Slovakia,129,136530,In what country is Ladomirová?,"[""Slovakia"", ""Slovak Republic"", ""sk"", ""🇸🇰"", ""SVK""]","{
""answer"": ""Ladomirová is in Slovakia."",
""confidence_score"": 100
}",Ladomirová is in Slovakia.,1.0,CORRECT
9156,3009152,"The Crown of the Russian Empire, or Once Again the Elusive Avengers",screenwriter,Edmond Keosayan,1288597,533,693612,"[""Crown of the Russian Empire, or Once Again the Elusive Avengers""]","[""Edmond Gareginovich Keosayan"",""E. Keosayan""]",http://www.wikidata.org/entity/Q4233949,http://www.wikidata.org/entity/Q1971498,"The Crown of the Russian Empire, or Once Again the Elusive Avengers",Edmond Keosayan,216,220,"Who was the screenwriter for The Crown of the Russian Empire, or Once Again the Elusive Avengers?","[""Edmond Keosayan"", ""Edmond Gareginovich Keosayan"", ""E. Keosayan""]","{""answer"":""The screenwriter for The Crown of the Russian Empire, or Once Again the Elusive Avengers was Eduard Volodarsky."",""confidence_score"":75}","The screenwriter for The Crown of the Russian Empire, or Once Again the Elusive Avengers was Eduard Volodarsky.",0.75,INCORRECT
11477,82683,Housain Al-Mogahwi,sport,association football,31976,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q10558666,http://www.wikidata.org/entity/Q2736,Housain Al-Mogahwi,Association football,354,197767,What sport does Housain Al-Mogahwi play?,"[""association football"", ""football"", ""soccer""]","{
""answer"": ""Housain Al-Mogahwi is a professional football (soccer) player."",
""confidence_score"": 92
}",Housain Al-Mogahwi is a professional football (soccer) player.,0.92,CORRECT
117,2201087,Jacopo Melani,occupation,composer,961760,22,1189033,[],[],http://www.wikidata.org/entity/Q2897491,http://www.wikidata.org/entity/Q36834,Jacopo Melani,Composer,112,28389,What is Jacopo Melani's occupation?,"[""composer""]","{
""answer"": ""Jacopo Melani was an Italian composer and violinist (Baroque era)."",
""confidence_score"": 85
}",Jacopo Melani was an Italian composer and violinist (Baroque era).,0.85,CORRECT
1879,6402164,The Switch,genre,romantic comedy,2883016,91,2853587,"[""Switch""]","[""romedy"",""romcom""]",http://www.wikidata.org/entity/Q911520,http://www.wikidata.org/entity/Q860626,The Switch (2010 film),Romantic comedy,13004,64579,What genre is The Switch?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy"", ""romantic comedy"", ""romedy"", ""romcom""]","{
""answer"": ""The Switch is a 2010 romantic comedy film (romantic comedy-drama is sometimes used),"",
""confidence_score"": 90
}","The Switch is a 2010 romantic comedy film (romantic comedy-drama is sometimes used),",0.9,CORRECT
9923,2019633,Harper,screenwriter,William Goldman,885456,533,1596968,"[""The Moving Target""]","[""S. Morgenstern"",""Harry Longbaugh""]",http://www.wikidata.org/entity/Q262980,http://www.wikidata.org/entity/Q506885,Harper (film),William Goldman,3706,17712,Who was the screenwriter for Harper?,"[""William Goldman"", ""S. Morgenstern"", ""Harry Longbaugh""]","{
""answer"": ""Screenwriter William Goldman wrote the screenplay for the 1966 film Harper."",
""confidence_score"": 95
}",Screenwriter William Goldman wrote the screenplay for the 1966 film Harper.,0.95,CORRECT
9322,3021617,Mac,screenwriter,John Turturro,1293676,533,828326,[],"[""John Michael Turturro""]",http://www.wikidata.org/entity/Q4275209,http://www.wikidata.org/entity/Q244234,Mac (film),John Turturro,1168,105143,Who was the screenwriter for Mac?,"[""John Turturro"", ""John Michael Turturro""]","{
""answer"": ""The screenwriter for the 1927 film Mac (also known as 'Mac the Knife') was D. W. Griffith collaborator and screenwriter Forrest Halsey."", 
""confidence_score"": 40
}",The screenwriter for the 1927 film Mac (also known as 'Mac the Knife') was D. W. Griffith collaborator and screenwriter Forrest Halsey.,0.4,INCORRECT
3112,1554686,Koxinga,father,Zheng Zhilong,695137,257,2180359,"[""Chenggong"",""Zheng Chenggong"",""Zheng Sen"",""Guoxingye"",""Zhongjie"",""Zhuchenggong"",""Sen"",""Mingyan"",""Senshe"",""Yanping Junwang"",""Damu""]","[""Nigulasi?Yiguan"",""Feihuang"",""Nigulasi?Jiasibade"",""Nicholas Iquan Gaspard"",""Cheng Chih-lung"",""Yiguan"",""Feihong"",""Yuejia""]",http://www.wikidata.org/entity/Q197615,http://www.wikidata.org/entity/Q652211,Koxinga,Zheng Zhilong,9747,4031,Who is the father of Koxinga?,"[""Zheng Zhilong"", ""Nigulasi?Yiguan"", ""Feihuang"", ""Nigulasi?Jiasibade"", ""Nicholas Iquan Gaspard"", ""Cheng Chih-lung"", ""Yiguan"", ""Feihong"", ""Yuejia""]","{
""answer"": ""Koxinga's father was Zheng Zhilong (also spelled Cheng Chih-lung)."",
""confidence_score"": 100
}",Koxinga's father was Zheng Zhilong (also spelled Cheng Chih-lung).,1.0,CORRECT
3868,151719,Japan at the 1952 Winter Olympics,country,Japan,61285,182,502871,[],"[""State of Japan"",""Land of the Rising Sun"",""Nihon"",""Nippon"",""JP"",""Nippon-koku"",""Nihon-koku"",""JA"",""JPN"",""jp"",""JAP"",""Ja"",""Jap""]",http://www.wikidata.org/entity/Q1099897,http://www.wikidata.org/entity/Q17,Japan at the 1952 Winter Olympics,Japan,100,702414,In what country is Japan at the 1952 Winter Olympics?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]","{
""answer"": ""Japan competed at the 1952 Winter Olympics in Norway (the Games were held in Oslo)."",
""confidence_score"": 100
}",Japan competed at the 1952 Winter Olympics in Norway (the Games were held in Oslo).,1.0,INCORRECT
6066,2447881,The Last Stage,director,Wanda Jakubowska,1060868,526,1309214,"[""Last Stage""]",[],http://www.wikidata.org/entity/Q322105,http://www.wikidata.org/entity/Q437696,The Last Stage,Wanda Jakubowska,746,364,Who was the director of The Last Stage?,"[""Wanda Jakubowska""]","{""answer"":""The Last Stage (1948) was directed by Wanda Jakubowska."",""confidence_score"":90}",The Last Stage (1948) was directed by Wanda Jakubowska.,0.9,CORRECT
830,5130344,Wayne Cooper,place of birth,Milan,2268292,218,926781,"[""Artis Wayne Cooper"",""Coop""]","[""Milan, Georgia""]",http://www.wikidata.org/entity/Q680038,http://www.wikidata.org/entity/Q2752635,Wayne Cooper (basketball),"Milan, Georgia",406,406,In what city was Wayne Cooper born?,"[""Milan"", ""Milan, Georgia""]","{
""answer"": ""Wayne Cooper (basketball player) was born in Oakland, California."",
""confidence_score"": 85
}","Wayne Cooper (basketball player) was born in Oakland, California.",0.85,INCORRECT
1501,1442188,DOS MZ executable,genre,executable,644947,91,2681758,"[""MS-DOS MZ executable"","".exe""]","[""executable file"",""binary"",""executable program"","".exe""]",http://www.wikidata.org/entity/Q1882110,http://www.wikidata.org/entity/Q778586,DOS MZ executable,Executable,2937,8428,What genre is DOS MZ executable?,"[""executable"", ""executable file"", ""binary"", ""executable program"", "".exe""]","{
""answer"": ""A DOS MZ executable is not a genre but a file format/executable format for DOS programs (the MZ header identifies an MS-DOS/PC DOS portable executable), i.e., a DOS executable file format."",
""confidence_score"": 95
}","A DOS MZ executable is not a genre but a file format/executable format for DOS programs (the MZ header identifies an MS-DOS/PC DOS portable executable), i.e., a DOS executable file format.",0.95,CORRECT
8574,1997153,The Passion of Anna,screenwriter,Ingmar Bergman,876394,533,2581863,"[""En passion"",""A Passion"",""Passion of Anna""]","[""Ernst Ingmar Bergman""]",http://www.wikidata.org/entity/Q260365,http://www.wikidata.org/entity/Q7546,The Passion of Anna,Ingmar Bergman,2035,93841,Who was the screenwriter for The Passion of Anna?,"[""Ingmar Bergman"", ""Ernst Ingmar Bergman""]","{
""answer"": ""The screenwriter for The Passion of Anna (1969) was Ingmar Bergman."",
""confidence_score"": 99
}",The screenwriter for The Passion of Anna (1969) was Ingmar Bergman.,0.99,CORRECT
