Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,logprobs,confidences,accuracies
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is the state located in the centre of India.,"[-0.00033861625706776977, -1.1920928244535389e-07, 0, -7.986990567587782e-06, -0.8259485960006714, -7.152555099310121e-07, -1.7881377516459906e-06, -0.0015042430022731423, 0, -0.2138620764017105, -1.1920928244535389e-07, 0, -2.9802276912960224e-06, 0]",0.9282958409186925,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"""I Ran (So Far Away)"" was sung by the British new wave band A Flock of Seagulls.","[-0.3900037109851837, -9.894321920000948e-06, -0.000730128725990653, -4.362964682513848e-05, -2.3841855067985307e-07, -4.768370445162873e-07, -4.768370445162873e-07, -0.0003573255962692201, -0.0009195152088068426, -1.1801649634435307e-05, -0.002477197675034404, -0.04608791321516037, -0.002495034597814083, -1.1920928244535389e-07, -1.4305104514278355e-06, -2.145764938177308e-06, -2.9802276912960224e-06, -9.274052717955783e-05, 0, -3.576278118089249e-07, -5.960462772236497e-07, -2.3841855067985307e-07, -7.378782902378589e-05, -1.1920928244535389e-07]",0.9816982219679264,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The last name Wallace originated in Scotland, derived from the Old French ""Waleis,"" meaning ""Welshman"" or ""foreigner,"" used to describe a person of Welsh or non-Norman Celtic origin.","[-5.960462772236497e-07, -0.0005529781919904053, 0, -3.5523738915799186e-05, -0.12036722153425217, -0.0011704268399626017, -0.00012981049076188356, -0.06198699772357941, -0.023248707875609398, 0, -2.3841855067985307e-07, -0.029798321425914764, -0.0486304797232151, -0.008752790279686451, -0.06833929568529129, -0.043125398457050323, -0.0015042430022731423, -0.12694968283176422, 0, -3.933898824470816e-06, -0.3909338116645813, -1.1920928244535389e-07, -0.0002047805901383981, -3.8265450712060556e-05, 0, -2.3841855067985307e-07, -0.0299997515976429, -1.1920928244535389e-07, -0.00027509720530360937, -0.6075575947761536, -0.0008550802012905478, -9.154854342341423e-05, -0.553246259689331, -0.9581864476203918, -0.20327527821063995, -0.008744636550545692, -0.06332838535308838, -0.21636316180229187, -0.00867254938930273, -0.0007116645574569702, -0.5056662559509277, -0.05288366228342056, -0.01437604334205389, 0]",0.9099930198915193,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Ben Stone on *Law & Order* was Michael Moriarty.,"[-0.011972708627581596, -9.417489309271332e-06, -2.3841855067985307e-07, -1.4305104514278355e-06, -4.3987260141875595e-05, -1.9073468138230965e-06, -2.3841855067985307e-07, -0.018847191706299782, 0, -0.005233753472566605, 0, 0, -1.311301275563892e-06, -6.139089964563027e-05, -0.00017653337272349745, -2.3841855067985307e-07, -3.576278118089249e-07, 0]",0.9979825541811206,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,Moira Kelly voiced Nala in the 1994 animated film *The Lion King*.,"[-0.07987161725759506, -8.34461570775602e-06, -0.0008117241668514907, -1.3526058197021484, -0.1006484255194664, -1.1920928244535389e-07, -0.005233872216194868, -0.019341910257935524, -0.8259400129318237, -4.768360213347478e-06, 0, -1.1920928244535389e-07, -1.311301275563892e-06, -0.00013767725613433868, -0.048780012875795364, -0.0011706650257110596, 0, 0, 0, -0.31327375769615173, -1.311301275563892e-06]",0.8773501411289447,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,Leslie Drummond plays the character Gram on *The Young and the Restless*.,"[-2.8124001026153564, -0.32300055027008057, -2.8488800525665283, -0.000321336614433676, -0.00858816597610712, -0.4741290807723999, -0.16023018956184387, -0.10611119121313095, -0.5298479795455933, -2.7894584491150454e-05, 0, -9.536738616588991e-07, 0, -1.1920928244535389e-07, -2.50339189733495e-06, -1.1444026313256472e-05, -3.099436753473128e-06, -7.152555099310121e-07]",0.667957417073762,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"New citizens take the Oath of Allegiance, pledging loyalty to the United States, renouncing allegiance to other countries, and promising to support and defend the U.S. Constitution and laws.","[-0.005234109237790108, -6.198863957251888e-06, -0.07890781760215759, -2.1457441107486375e-05, -1.1920928244535389e-07, 0, 0, -0.0011809049174189568, 0, -0.0019290901254862547, -0.5768685340881348, -7.152555099310121e-07, -0.01484901737421751, -8.344646857949556e-07, -3.576278118089249e-07, 0, 0, -0.386875718832016, -0.07812842726707458, 0, -0.008222773671150208, 0, -0.00021062063751742244, -0.006719138007611036, -3.576278118089249e-07, -8.344646857949556e-07, -0.9227151870727539, 0, -0.011204772628843784, -1.311301275563892e-06, -3.576278118089249e-07, -1.1920928244535389e-07, -0.03804175928235054, 0, 0, 0, -0.25193023681640625, -0.03806069493293762, -5.006777428206988e-06, 0]",0.9412674961730686,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker is under the mask of Darth Vader.,"[-0.10809974372386932, 0, -2.3841855067985307e-07, -6.246371776796877e-05, -1.6927575416048057e-05, 0, -1.1920928244535389e-07, -2.50339189733495e-06, 0, -1.1920928244535389e-07, -7.152555099310121e-07, 0]",0.991025279520448,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"Sarah, the wife of Abraham, gave birth to Isaac when she was about 90, not 100; no woman in the Bible is recorded as having a baby at exactly 100.","[-0.04516424611210823, -0.02391655556857586, -0.003616699017584324, 0, 0, 0, -3.576278118089249e-07, -0.08260173350572586, 0, 0, -1.7881377516459906e-06, -7.867782187531702e-06, -0.4740772247314453, -1.1920928244535389e-07, -1.0208616256713867, -1.2159273865108844e-05, -0.0019288521725684404, -2.3841855067985307e-07, -0.004309652838855982, -0.07908736914396286, 0, -2.3841855067985307e-07, -1.1920928244535389e-07, 0, -0.001039560534991324, -0.3138020932674408, -0.014173909090459347, -0.39688026905059814, 0, 0, -0.0007518087513744831, -0.33523133397102356, -2.1815061700181104e-05, -0.0019867937080562115, -9.536738616588991e-07, -0.00020346954988781363, -0.0014211564557626843, -0.038142282515764236, 0, 0, 0, 0, -0.008694413118064404, -1.1920922133867862e-06]",0.9373243850378633,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,You must be at least 18 years old to buy a BB gun in most places.,"[-0.6046676635742188, -0.2545959949493408, -0.002494083484634757, -0.25192922353744507, -1.1920928244535389e-07, 0, 0, -2.3841855067985307e-07, 0, 0, 0, -0.25219032168388367, -7.152555099310121e-07, -8.22540732769994e-06, 0, -0.0019654971547424793, -0.018151599913835526, -0.3658677637577057, -0.169646754860878, 0]",0.9083950571277762,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopian Airlines Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23, 1996, after being hijacked and running out of fuel.","[-0.00021264675888232887, 0, -0.0009116546134464443, -8.22540732769994e-06, -5.960462772236497e-07, 0, -5.483612312673358e-06, 0, -2.3841855067985307e-07, -0.00040618274942971766, 0, 0, -0.00020668754586949944, -1.1920928244535389e-07, -0.0001591317413840443, -0.017182184383273125, -0.0007898071780800819, -1.0132738680113107e-05, 0, -2.622600959512056e-06, -0.000432278640801087, -3.576278118089249e-07, 0, -1.1920928244535389e-07, -7.867782187531702e-06, 0, 0, -1.1920928244535389e-07, 0, -5.960462772236497e-07, -2.145764938177308e-06, -3.3378546504536644e-06, -0.00014757021563127637, -0.002477197675034404, -1.1920928244535389e-07, 0, -0.002511444501578808, -4.410734163684538e-06, -1.1920928244535389e-07, -1.1920928244535389e-07, 0, -0.1269335150718689, 0]",0.9964616924998998,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"""Percy Jackson and the Olympians"" was primarily filmed in Vancouver, British Columbia, Canada.","[-0.25920340418815613, 0, 0, 0, -3.1709168979432434e-05, -2.3841855067985307e-07, -4.768370445162873e-07, -2.3841830625315197e-06, -1.1920928244535389e-07, -0.0001754606782924384, -0.25192922353744507, -1.1920928244535389e-07, -3.6954811548639555e-06, -0.00023195437097456306, -1.4781842764932662e-05, -9.60780744208023e-05, -1.5735502529423684e-05, -3.540453326422721e-05, -0.10309840738773346, -0.005233753472566605, 0]",0.9709043879523023,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,There are 8 seasons of *The Vampire Diaries*.,"[-2.396077979938127e-05, -3.576278118089249e-07, -0.0015046000480651855, -6.794906312279636e-06, 0, -1.1920928244535389e-07, -0.02004392072558403, 0, 0, -0.0001245659514097497, 0, 0, 0]",0.9983318299259291,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,Dragon Ball Z has 291 episodes in total.,"[-0.5927821397781372, -1.1920928244535389e-07, 0, -0.01104880403727293, -0.3132621645927429, -3.576278118089249e-07, -1.1920928244535389e-07, 0, -2.3841855067985307e-07, -0.8259502649307251, -0.01660432666540146, -0.0001854724541772157, 0]",0.8733910837182508,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,Jacob Tremblay plays Auggie in the movie *The Wonder*.,"[-0.024195857346057892, -0.00016044282529037446, -5.722029527532868e-06, 0, -6.198863957251888e-06, -0.03206666186451912, 0, -2.3841855067985307e-07, -0.011059768497943878, -0.0005544078885577619, -2.3603161025675945e-05, -0.006228440906852484, -0.4741753041744232, -0.0001072826053132303, -2.9801878554280847e-05, -5.602820692729438e-06]",0.9662924876716998,CORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"The first Australian Prime Minister, Edmund Barton, was elected on 1 January 1901, following the federation of Australia.","[-0.006818361580371857, -4.768370445162873e-07, -0.038057249039411545, -0.005234346725046635, 0, -2.3841855067985307e-07, -0.014164742082357407, -3.576278118089249e-07, -3.576278118089249e-07, 0, -0.007182491477578878, -0.0003000047872774303, -0.002489326987415552, -0.0011544713051989675, -3.2186455882765586e-06, -1.1920928244535389e-07, 0, 0, -1.1920928244535389e-07, 0, -0.0018860186683014035, -0.04601790010929108, -0.025096075609326363, -0.048762302845716476, -1.1920928244535389e-07, -0.0380423329770565, -0.00021491125517059118, -3.576278118089249e-07]",0.9916271810892774,INCORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,Amybeth McNulty plays Matthew on *Anne with an E*.,"[-0.22261030972003937, -0.00017927470616996288, -0.0005122303264215589, -2.312633478140924e-05, -0.00011336160969221964, -0.7254478335380554, -0.05608110874891281, -0.011077924631536007, -3.933898824470816e-06, -9.059865078597795e-06, 0, -6.437280717364047e-06, -0.00017581824795342982, -1.7523612768854946e-05]",0.9299821811824975,INCORRECT
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,"There is no specific girl in Green Day's ""21 Guns"" music video; the song and video focus on themes of struggle, unity, and resilience among a group of young people, with no central female character singled out.","[-0.5759497284889221, -0.0011701886542141438, -8.344646857949556e-07, -0.02470828965306282, -0.6424006223678589, -0.09018931537866592, -0.0009117737063206732, 0, -0.0015023384476080537, -0.006747201085090637, 0, 0, -7.247662142617628e-05, -0.03948943316936493, -0.0004906642716377974, -2.861018856492592e-06, -0.06269834190607071, -0.0005534547381103039, -0.13664165139198303, -0.10102154314517975, -0.21175675094127655, -0.00046171018038876355, -4.017272294731811e-05, -0.05948270112276077, 0, -0.09980899840593338, -0.1797446459531784, -0.3100646138191223, -5.960462772236497e-07, 0, -0.49141645431518555, -0.75052809715271, -0.0444958470761776, -0.0067327553406357765, -7.152555099310121e-07, -0.30185553431510925, -0.0003013156820088625, -0.010735024698078632, -0.8965755701065063, -0.0389331579208374, -0.015362270176410675, -0.00010525626566959545, -7.891343557275832e-05, -1.010727047920227, -1.1920928244535389e-07, -0.0808318555355072, -1.1920928244535389e-07]",0.8765164493713722,INCORRECT
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,Heath Ledger plays the Joker in *The Dark Knight*.,"[-0.00033444532891735435, 0, -2.3841855067985307e-07, -0.00016091958968900144, 0, 0, -1.1920928244535389e-07, -8.4638240878121e-06, -0.008614521473646164, -3.576278118089249e-07, 0, -1.7881377516459906e-06, 0]",0.9992986419427969,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,"The South Asian Association for Regional Co-operation (SAARC) was formed on December 8, 1985.","[-0.0009118927991949022, 0, 0, 0, 0, -5.960462772236497e-07, -0.4740772843360901, -1.0728830375228426e-06, 0, 0, 0, 0, 0, -2.264974000354414e-06, -1.1920928244535389e-07, -5.829164365422912e-05, 0, 0, 0, -1.1920928244535389e-07, 0, 0, 0, 0, -4.172316494077677e-06, 0]",0.9818945321752327,CORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","The first *Hunger Games* book was published on September 14, 2008.","[-5.030505417380482e-05, -2.3841855067985307e-07, -0.04863592982292175, -5.125986263010418e-06, 0, 0, 0, 0, -4.4225667807040736e-05, -2.3841855067985307e-07, -1.6689160474925302e-05, 0, 0, 0, -1.5497195136049413e-06, 0, -1.1920928244535389e-07, 0, 0, -1.1920928244535389e-07, -5.960462772236497e-07, 0, 0]",0.9978824566123056,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,Bette Midler portrayed the character Rose in the film *The Rose*.,"[-0.0008058876264840364, 0, -4.291525328881107e-06, 0, -2.825220326485578e-05, -0.021537935361266136, -0.00026639728457666934, -0.19571252167224884, -0.328357070684433, -0.06198453530669212, -0.647888720035553, -0.0005583396414294839, -0.2273201197385788, -9.822363062994555e-05, -0.048706669360399246, 0]",0.9086190947952658,INCORRECT
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,The lead singer of Depeche Mode is Dave Gahan.,"[-0.009045455604791641, -1.1324817933200393e-05, -1.1920928244535389e-07, -2.3841855067985307e-07, 0, 0, -9.536738616588991e-07, -4.768370445162873e-07, -3.099436753473128e-06, -4.887569048150908e-06, -1.1920928244535389e-07, 0, -1.7881377516459906e-06, 0]",0.9993524623920047,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,"The butchers in the Slaughterhouse Cases lived in New Orleans, Louisiana.","[-8.344646857949556e-07, -5.090107151772827e-05, -4.768370445162873e-07, -0.023246029391884804, -3.6954811548639555e-06, -1.6689160474925302e-05, -1.1920928244535389e-07, -0.00025459862081333995, -1.311301275563892e-06, -0.011054934933781624, -1.9192511899746023e-05, -2.884823152271565e-05, 0, -2.753696753643453e-05, -2.264974000354414e-06, -3.576278118089249e-07, 0]",0.9979604479665654,CORRECT
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,The concept of total quality management (TQM) was developed by W. Edwards Deming.,"[-0.004308584611862898, -3.3378546504536644e-06, -1.1920928244535389e-07, -7.486063259420916e-05, -2.3841830625315197e-06, 0, -0.5759394764900208, -5.960462772236497e-07, -1.8715683836489916e-05, -3.576278118089249e-07, -5.960462772236497e-07, -0.000337305391440168, -0.02357511967420578, -0.14766260981559753, 0, -1.7046782886609435e-05, 0, -1.1920928244535389e-07, -0.584143340587616, 0]",0.9353783038338442,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"The lyrics to ""Can't Get You Out of My Head"" were written by Cathy Dennis and Rob Davis.","[-0.04472910985350609, -4.51792984677013e-05, -0.01104797888547182, -1.1920928244535389e-07, 0, -6.318072337307967e-06, -1.0728830375228426e-06, -1.1920928244535389e-07, -3.5523738915799186e-05, -8.344646857949556e-07, 0, -3.576278118089249e-07, -1.9430925021879375e-05, -1.1920928244535389e-07, -2.264974000354414e-06, -1.5497195136049413e-06, -0.0013275867095217109, -2.4199192921514623e-05, -1.4305012882687151e-05, -0.01774483360350132, -0.0017911833710968494, -7.748573807475623e-06, 0]",0.9966664454314991,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,"The *No Game No Life* anime ends with Sora and Shiro defeating Jibril in a game and preparing to face the next challenger, leaving the story on a cliffhanger as it only adapts the first few volumes of the light novel.","[-2.0861407392658293e-05, -0.06074589863419533, -1.1920928244535389e-07, -4.768370445162873e-07, -0.00011014331539627165, -9.417489309271332e-06, 0, 0, -0.03825656697154045, -0.43324705958366394, -0.0005737089086323977, -1.4305104514278355e-06, -1.5497195136049413e-06, -2.145764938177308e-06, -0.00011359999916749075, -0.08818891644477844, -0.22077926993370056, -3.0040289857424796e-05, -1.1920928244535389e-07, -0.3872823119163513, -0.045224063098430634, -0.001313419546931982, -0.9524505138397217, -1.356548547744751, -3.5523738915799186e-05, -0.4083719551563263, -0.028203731402754784, -0.0003069168305955827, -0.0870080217719078, -0.1078658252954483, -0.8952668905258179, -0.0003477922291494906, -0.0009378563845530152, -0.18340739607810974, -2.3841830625315197e-06, -4.6491513785440475e-06, -2.145764938177308e-06, 0, -0.035045262426137924, -0.000639710808172822, -0.04945100098848343, -0.47418078780174255, -0.0001070442158379592, -0.024445999413728714, -5.9126061387360096e-05, -0.04081634804606438, -0.1314399540424347, -1.311301275563892e-06, -5.125986263010418e-06, -5.98412734689191e-05, -0.1002069041132927, -0.02381959557533264, 0]",0.8899891350239765,INCORRECT
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","Taylor Swift's first album was released on October 24, 2006.","[-9.536738616588991e-07, 0, -4.100715523236431e-05, -0.0002889215829782188, -6.4490144723095e-05, -0.1602475643157959, 0, -1.1920928244535389e-07, -1.1920928244535389e-07, -1.1920928244535389e-07, -8.940656698541716e-06, -7.152555099310121e-07, 0, 0, 0, 0, 0, -2.3841855067985307e-07, -1.1920928244535389e-07, 0]",0.9919995102449992,CORRECT
