Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,raw_responses,responses,confidences,accuracies
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,"{
""answer"": ""Madhya Pradesh is the state located in the centre of India."",
""confidence_score"": 95
}",Madhya Pradesh is the state located in the centre of India.,0.95,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"{""answer"":""\""I Ran (So Far Away)\"" was sung by the British new wave band A Flock of Seagulls (lead vocals by Mike Score)."",""confidence_score"":95}","\""I Ran (So Far Away)\"" was sung by the British new wave band A Flock of Seagulls (lead vocals by Mike Score).",0.95,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"{
""answer"": ""The surname Wallace is of Anglo-Norman and Scottish origin, derived from the Old French/Norman word 'Waleis' or 'le Waleis' meaning 'Welshman' or 'foreigner', originally used to denote someone of Welsh or Brittonic origin who settled in England or Scotland (famously borne by Scottish leader William Wallace)."",
""confidence_score"": 92
}","The surname Wallace is of Anglo-Norman and Scottish origin, derived from the Old French/Norman word 'Waleis' or 'le Waleis' meaning 'Welshman' or 'foreigner', originally used to denote someone of Welsh or Brittonic origin who settled in England or Scotland (famously borne by Scottish leader William Wallace).",0.92,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,"{
""answer"": ""The actor who played Ben Stone on Law & Order was Michael Moriarty."",
""confidence_score"": 95
}",The actor who played Ben Stone on Law & Order was Michael Moriarty.,0.95,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,"{
""answer"": ""In the original 1994 animated The Lion King, Nala’s speaking voice was provided by Moira Kelly and her singing voice by Sally Dworsky; in the 2019 CGI remake, Nala was voiced by Beyoncé Knowles-Carter (speaking and singing by Beyoncé)."",
""confidence_score"": 95
}","In the original 1994 animated The Lion King, Nala’s speaking voice was provided by Moira Kelly and her singing voice by Sally Dworsky; in the 2019 CGI remake, Nala was voiced by Beyoncé Knowles-Carter (speaking and singing by Beyoncé).",0.95,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,"{""answer"":""There is no character named 'Gram' on The Young and the Restless (no known actor credited for that role)."",""confidence_score"":85}",There is no character named 'Gram' on The Young and the Restless (no known actor credited for that role).,0.85,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"{""answer"":""New U.S. citizens take the Oath of Allegiance, pledging to support and defend the Constitution and laws of the United States, renounce loyalty to other sovereignties, and bear arms or perform noncombatant service or civilian service when required by law (with allowed religious or moral exemptions)."",""confidence_score"":95}","New U.S. citizens take the Oath of Allegiance, pledging to support and defend the Constitution and laws of the United States, renounce loyalty to other sovereignties, and bear arms or perform noncombatant service or civilian service when required by law (with allowed religious or moral exemptions).",0.95,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,"{
""answer"": ""Anakin Skywalker is under Darth Vader's mask."",
""confidence_score"": 100
}",Anakin Skywalker is under Darth Vader's mask.,1.0,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"{
""answer"": ""Abraham fathered Isaac when he was 100 years old (Genesis 21:5)."",
""confidence_score"": 100
}",Abraham fathered Isaac when he was 100 years old (Genesis 21:5).,1.0,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"Age requirements to buy a BB gun vary by location—many U.S. states and stores sell BB guns to purchasers 18 and older while others allow sales to minors with parental consent, so check your local/state laws and retailer policy. 
{
""answer"": ""Age requirements to buy a BB gun vary by location—many U.S. states and retailers require buyers to be 18+, while some allow sales to minors with parental consent, so check your local/state laws and the retailer’s policy."",
""confidence_score"": 85
}","Age requirements to buy a BB gun vary by location—many U.S. states and retailers require buyers to be 18+, while some allow sales to minors with parental consent, so check your local/state laws and the retailer’s policy.",0.85,NOT_ATTEMPTED
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, ran out of fuel, and crashed into the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board. 
{
""answer"": ""Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, ran out of fuel, and crashed into the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board."",
""confidence_score"": 95
}","Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, ran out of fuel, and crashed into the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board.",0.95,INCORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"{
""answer"": ""The Percy Jackson & the Olympians TV series was primarily filmed in Vancouver and various locations in British Columbia, Canada (including Vancouver Island and Squamish), while the earlier feature films were mostly shot in Vancouver and other parts of Canada and the U.S.;"", 
""confidence_score"": 87
}","The Percy Jackson & the Olympians TV series was primarily filmed in Vancouver and various locations in British Columbia, Canada (including Vancouver Island and Squamish), while the earlier feature films were mostly shot in Vancouver and other parts of Canada and the U.S.;",0.87,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,"{""answer"":""The Vampire Diaries has 8 seasons."",""confidence_score"":95}",The Vampire Diaries has 8 seasons.,0.95,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,"{
""answer"": ""Dragon Ball Z has 291 episodes in its original Japanese broadcast."",
""confidence_score"": 95
}",Dragon Ball Z has 291 episodes in its original Japanese broadcast.,0.95,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,"{
""answer"": ""Auggie in the movie The Wonder (2022) is played by Charlie Shotwell."",
""confidence_score"": 85
}",Auggie in the movie The Wonder (2022) is played by Charlie Shotwell.,0.85,INCORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"{
""answer"": ""The first Prime Minister of Australia, Sir Edmund Barton, was sworn in on 1 January 1901 following Federation (the first federal election was held 29 and 30 March 1901 when Barton’s Protectionist Party won most seats), so he became PM 1 January 1901."",
""confidence_score"": 95
}","The first Prime Minister of Australia, Sir Edmund Barton, was sworn in on 1 January 1901 following Federation (the first federal election was held 29 and 30 March 1901 when Barton’s Protectionist Party won most seats), so he became PM 1 January 1901.",0.95,CORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,"{
""answer"": ""The character Matthew Cuthbert on Anne with an E is played by actor R. H. Thomson in the 2017 CBC/Netflix series."",
""confidence_score"": 90
}",The character Matthew Cuthbert on Anne with an E is played by actor R. H. Thomson in the 2017 CBC/Netflix series.,0.9,CORRECT
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,"{""answer"":""The girl in Green Day’s “21 Guns” music video is actress and model Gabriella Wilde."",""confidence_score"":65}",The girl in Green Day’s “21 Guns” music video is actress and model Gabriella Wilde.,0.65,INCORRECT
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,"{
""answer"": ""Heath Ledger plays the Joker in The Dark Knight (2008)."",
""confidence_score"": 100
}",Heath Ledger plays the Joker in The Dark Knight (2008).,1.0,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,"{
""answer"": ""The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985."",
""confidence_score"": 100
}","The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985.",1.0,CORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","{
""answer"": ""The first Hunger Games book, titled The Hunger Games by Suzanne Collins, was first published on September 14, 2008."",
""confidence_score"": 95
}","The first Hunger Games book, titled The Hunger Games by Suzanne Collins, was first published on September 14, 2008.",0.95,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,"{
""answer"": ""Bette Midler portrayed Mary Rose Foster, a character loosely based on singer Janis Joplin, in the 1979 film 'The Rose'."",
""confidence_score"": 90
}","Bette Midler portrayed Mary Rose Foster, a character loosely based on singer Janis Joplin, in the 1979 film 'The Rose'.",0.9,CORRECT
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,"{
""answer"": ""Dave Gahan is the lead singer of Depeche Mode."",
""confidence_score"": 99
}",Dave Gahan is the lead singer of Depeche Mode.,0.99,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,"{
""answer"": ""The butchers in the Slaughter-House Cases lived in New Orleans, Louisiana (they were members of the Crescent City Live-Stock Landing and Slaughter-House Company’s affected butchers)."",
""confidence_score"": 92
}","The butchers in the Slaughter-House Cases lived in New Orleans, Louisiana (they were members of the Crescent City Live-Stock Landing and Slaughter-House Company’s affected butchers).",0.92,CORRECT
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,"W. Edwards Deming is widely credited with developing and popularizing the modern concept of Total Quality Management (TQM). 
{
""answer"": ""W. Edwards Deming is widely credited with developing and popularizing the modern concept of Total Quality Management (TQM)."",
""confidence_score"": 90
}",W. Edwards Deming is widely credited with developing and popularizing the modern concept of Total Quality Management (TQM).,0.9,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"{
""answer"": ""“Can’t Get You Out of My Head” was written by Cathy Dennis and Rob Davis (recorded by Kylie Minogue)."",
""confidence_score"": 95
}",“Can’t Get You Out of My Head” was written by Cathy Dennis and Rob Davis (recorded by Kylie Minogue).,0.95,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,"{
""answer"": ""The No Game No Life anime (season 1) adapts up through Volume 3 of the light novel series, ending after the events of the Elkia Tournament and the first steps toward challenging the Eastern Federation, though the story continues in the novels and the movie adapts a later arc; it does not conclude the overall story."",
""confidence_score"": 85
}","The No Game No Life anime (season 1) adapts up through Volume 3 of the light novel series, ending after the events of the Elkia Tournament and the first steps toward challenging the Eastern Federation, though the story continues in the novels and the movie adapts a later arc; it does not conclude the overall story.",0.85,CORRECT
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","{
""answer"": ""Taylor Swift's self-titled debut album was released on October 24, 2006."",
""confidence_score"": 95
}","Taylor Swift's self-titled debut album was released on October 24, 2006.",0.95,CORRECT
38,Adversarial,Misconceptions,what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",,What are the three fifty shades of grey books,Fifty shades of grey,"{
""answer"": ""The three Fifty Shades of Grey books are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed."",
""confidence_score"": 100
}","The three Fifty Shades of Grey books are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",1.0,CORRECT
39,Adversarial,Misconceptions,who has the power (judicial) to make decisions in courts of law,judges,judges,The President,,Who has the power (judicial) to make decisions in courts of law,Judges,"{
""answer"": ""Judges have the judicial power to make decisions in courts of law."",
""confidence_score"": 99
}",Judges have the judicial power to make decisions in courts of law.,0.99,CORRECT
40,Adversarial,Misconceptions,what are the ranks in the us navy,E-8s senior chief petty officer,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant",,What are the ranks in the us navy,E-8s senior chief petty officer,"{
""answer"": ""Enlisted (E-1 to E-9): Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third Class, Petty Officer Second Class, Petty Officer First Class, Chief Petty Officer, Senior Chief Petty Officer, Master Chief Petty Officer; Warrant Officers (W-1 to W-5): Warrant Officer ranks (WO1 rarely used) and Chief Warrant Officer 2–5; Commissioned Officers (O-1 to O-10): Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral (Lower Half), Rear Admiral (Upper Half), Vice Admiral, Admiral (and Fleet Admiral as a wartime five-star rank)."",
""confidence_score"": 95
}","Enlisted (E-1 to E-9): Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third Class, Petty Officer Second Class, Petty Officer First Class, Chief Petty Officer, Senior Chief Petty Officer, Master Chief Petty Officer; Warrant Officers (W-1 to W-5): Warrant Officer ranks (WO1 rarely used) and Chief Warrant Officer 2–5; Commissioned Officers (O-1 to O-10): Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral (Lower Half), Rear Admiral (Upper Half), Vice Admiral, Admiral (and Fleet Admiral as a wartime five-star rank).",0.95,INCORRECT
41,Adversarial,Misconceptions,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,Al-Khwarizmi,,I was a great islamic scholar and mathematician who died in 1131 ce,Omar khayyam,"{
""answer"": ""Omar Khayyam (1048–1131) was a great Islamic scholar, mathematician, astronomer, and poet."",
""confidence_score"": 98
}","Omar Khayyam (1048–1131) was a great Islamic scholar, mathematician, astronomer, and poet.",0.98,CORRECT
42,Adversarial,Misconceptions,who is the coach for the ottawa senators,Guy Boucher,Guy Boucher,Wayne Gretzky,,Who is the coach for the ottawa senators,Guy boucher,"{
""answer"": ""As of September 2025, the head coach of the Ottawa Senators is D.J. Smith."",
""confidence_score"": 45
}","As of September 2025, the head coach of the Ottawa Senators is D.J. Smith.",0.45,INCORRECT
43,Adversarial,Misconceptions,last episode of what happens to my family,53,53,Episode 100,,Last episode of what happens to my family,53,"{""answer"":""The last episode of the Turkish TV series 'What’s Wrong with My Family?' (original title: 'Aile Arasında' or possibly 'Benim Ailemdense') ends with the family resolving misunderstandings and reconciling—specific details depend on the exact series/version you mean; please clarify which show's finale you want summarized."",""confidence_score"":20}",The last episode of the Turkish TV series 'What’s Wrong with My Family?' (original title: 'Aile Arasında' or possibly 'Benim Ailemdense') ends with the family resolving misunderstandings and reconciling—specific details depend on the exact series/version you mean; please clarify which show's finale you want summarized.,0.2,NOT_ATTEMPTED
44,Adversarial,Misconceptions,when is the last time the vikings were in the nfc championship,1976,1976; 2017/18,2005,,When is the last time the vikings were in the nfc championship,1976,"{
""answer"": ""The Minnesota Vikings last appeared in the NFC Championship Game on January 21, 2018 (the 2017 season), when they lost to the Philadelphia Eagles 38–7; confidence: 95%"",
""confidence_score"": 95
}","The Minnesota Vikings last appeared in the NFC Championship Game on January 21, 2018 (the 2017 season), when they lost to the Philadelphia Eagles 38–7; confidence: 95%",0.95,INCORRECT
45,Adversarial,Misconceptions,what are the colors of the netherlands flag,blue,blue; white; red,"Red, white, and blue",,What are the colors of the netherlands flag,Blue,"{
""answer"": ""The flag of the Netherlands has three horizontal bands of color: red on top, white in the middle, and blue on the bottom."",
""confidence_score"": 100
}","The flag of the Netherlands has three horizontal bands of color: red on top, white in the middle, and blue on the bottom.",1.0,INCORRECT
46,Adversarial,Misconceptions,where is lord's prayer found in bible,in the Gospel of Luke,in the Gospel of Luke,Matthew 5,,Where is lord's prayer found in bible,In the gospel of luke,"{
""answer"": ""The Lord's Prayer is found in Matthew 6:9–13 (also in a shorter form in Luke 11:2–4)."",
""confidence_score"": 100
}",The Lord's Prayer is found in Matthew 6:9–13 (also in a shorter form in Luke 11:2–4).,1.0,INCORRECT
47,Adversarial,Misconceptions,when was the last time oklahoma won a national championship in football,2003,2003; 2000,2003,,When was the last time oklahoma won a national championship in football,2003,"{
""answer"": ""The University of Oklahoma last won a college football national championship in the 2000 season (awarded in January 2001 after the 2000 season)."",
""confidence_score"": 95
}",The University of Oklahoma last won a college football national championship in the 2000 season (awarded in January 2001 after the 2000 season).,0.95,INCORRECT
48,Adversarial,Misconceptions,location of the ten commandments in the bible,Exodus,Exodus; Deuteronomy,Genesis 20,,Location of the ten commandments in the bible,Exodus,"{
""answer"": ""The Ten Commandments are found in Exodus 20:1–17 and repeated with slight variations in Deuteronomy 5:4–21."",
""confidence_score"": 95
}",The Ten Commandments are found in Exodus 20:1–17 and repeated with slight variations in Deuteronomy 5:4–21.,0.95,CORRECT
49,Adversarial,Misconceptions,where did the allies go after north africa,Italy,Italy; the Italian Campaign,Italy,,Where did the allies go after north africa,Italy,"{
""answer"": ""After North Africa the Allies invaded Sicily (Operation Husky) in July 1943 and then advanced onto mainland Italy, beginning the Italian Campaign."", 
""confidence_score"": 95
}","After North Africa the Allies invaded Sicily (Operation Husky) in July 1943 and then advanced onto mainland Italy, beginning the Italian Campaign.",0.95,CORRECT
50,Adversarial,Misconceptions,what is the meaning of veronica in english,she who brings victory,she who brings victory,"Veronica means ""true image"" in English.",,What is the meaning of veronica in english,She who brings victory,"{""answer"":""Veronica is an English female given name derived from the Latinized form of the Greek name Berenice, meaning \""she who brings victory\"" (from Greek phere-nike) and also associated with the Christian legend of Saint Veronica who wiped Jesus’ face."",""confidence_score"":85}","Veronica is an English female given name derived from the Latinized form of the Greek name Berenice, meaning \""she who brings victory\"" (from Greek phere-nike) and also associated with the Christian legend of Saint Veronica who wiped Jesus’ face.",0.85,CORRECT
51,Adversarial,Misconceptions,what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta; aorta,The main artery is called the Cardiac Artery.,,What is the name of the main artery which takes blood from the heart to the body,The aorta,"{
""answer"": ""The main artery that carries blood from the heart to the body is the aorta."",
""confidence_score"": 100
}",The main artery that carries blood from the heart to the body is the aorta.,1.0,CORRECT
52,Adversarial,Misconceptions,who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,Solomon was played by Tom Cruise.,,Who played solomon in little house on the prairie,Todd bridges,"{
""answer"": ""Solomon was played by actor Roger Perry in the Little House on the Prairie TV series."",
""confidence_score"": 65
}",Solomon was played by actor Roger Perry in the Little House on the Prairie TV series.,0.65,INCORRECT
53,Adversarial,Misconceptions,who does eric end up with in that 70s show,Donna,Donna,Eric ends up with Laurie in That '70s Show.,,Who does eric end up with in that 70s show,Donna,"{
""answer"": ""Eric Forman ends up with Donna Pinciotti; they get married in the series finale (and are married with a baby in the sequel series That '90s Show)."",
""confidence_score"": 98
}",Eric Forman ends up with Donna Pinciotti; they get married in the series finale (and are married with a baby in the sequel series That '90s Show).,0.98,CORRECT
54,Adversarial,Misconceptions,an object that moves around an external axis is said to be,revolution or orbital revolution,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion.""",,An object that moves around an external axis is said to be,Revolution or orbital revolution,"An object that moves around an external axis is said to be rotating (or undergoing circular motion about that axis). 
{
""answer"": ""An object that moves around an external axis is said to be rotating (or undergoing circular motion about that axis)."",
""confidence_score"": 95
}",An object that moves around an external axis is said to be rotating (or undergoing circular motion about that axis).,0.95,INCORRECT
55,Adversarial,Misconceptions,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches.""",,Architectural elements forming rib vaults eg wells cathedral,An armature of piped masonry,"Rib vaults are formed by intersecting barrel vaults whose edges are reinforced by projecting masonry ribs (springers, diagonal ribs, transverse ribs, and ridge ribs) that create a skeletal framework supporting the webbing between them and channeling loads to columns or piers. 
{
""answer"": ""Rib vaults are formed by intersecting barrel vaults whose edges are reinforced by projecting masonry ribs (springers, diagonal ribs, transverse ribs, and ridge ribs) that create a skeletal framework supporting the webbing between them and channeling loads to columns or piers."",
""confidence_score"": 92
}","Rib vaults are formed by intersecting barrel vaults whose edges are reinforced by projecting masonry ribs (springers, diagonal ribs, transverse ribs, and ridge ribs) that create a skeletal framework supporting the webbing between them and channeling loads to columns or piers.",0.92,CORRECT
56,Adversarial,Misconceptions,who sang the song good morning good morning,Gene Kelly,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones.",,Who sang the song good morning good morning,Gene kelly,"{
""answer"": ""“Good Morning Good Morning” was sung by The Beatles (lead vocals by John Lennon) on their 1967 album Sgt. Pepper’s Lonely Hearts Club Band."",
""confidence_score"": 95
}",“Good Morning Good Morning” was sung by The Beatles (lead vocals by John Lennon) on their 1967 album Sgt. Pepper’s Lonely Hearts Club Band.,0.95,INCORRECT
57,Adversarial,Misconceptions,who wrote papa got a brand new bag,James Brown,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",,Who wrote papa got a brand new bag,James brown,"{
""answer"": ""James Brown and his band member Nat Jones are credited as co-writers of \""Papa's Got a Brand New Bag\"" (credited primarily to James Brown and James Brown Orchestra member Nat Jones)."",
""confidence_score"": 85
}","James Brown and his band member Nat Jones are credited as co-writers of \""Papa's Got a Brand New Bag\"" (credited primarily to James Brown and James Brown Orchestra member Nat Jones).",0.85,CORRECT
