Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,"If you mean the woman appearing in Green Day’s ""21 Guns"" music video, she’s actress and model Lisa Stelly.",0.7417563796043396,CORRECT
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,Heath Ledger (though if you mean other versions: Jack Nicholson played the Joker in 1989’s Batman and Joaquin Phoenix in 2019’s Joker).,0.6074557900428772,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,The South Asian Association for Regional Cooperation (SAARC) was formed on 8 December 1985.,0.8481947779655457,CORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","The first Hunger Games book, ""The Hunger Games"" by Suzanne Collins, was published on September 14, 2008.",0.8852722644805908,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,Bette Midler portrayed Judith Gardiner (a character based loosely on writer and socialite Mary Garden) in the 1979 film The Rose.,0.7415959239006042,INCORRECT
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,The lead singer of Depeche Mode is Dave Gahan.,0.8410947322845459,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,They lived in and around the packinghouses of Chicago's Union Stock Yards.,0.8054297566413879,INCORRECT
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,"Total Quality Management (TQM) was developed mainly from the work of W. Edwards Deming, who popularized statistical quality control and management principles that became the foundation of TQM (though others such as Joseph Juran and Kaoru Ishikawa also contributed key ideas).",0.7110549211502075,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"The lyrics to ""Can't Get You Out of My Head"" were written by Cathy Dennis and Rob Davis.",0.709265410900116,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,"The No Game No Life anime (the 12-episode TV series) ends at roughly the end of Volume 3 of the light novels, covering the events of the ""Tet"" war and the Sora & Shiro vs. Jibril/Ikalgo conflicts; if you need exact chapter/scene alignment, I'm somewhat uncertain but it’s commonly cited as up through Volume 3.",0.5713021755218506,INCORRECT
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","Taylor Swift's self-titled debut album was released on October 24, 2006.",0.8634765148162842,CORRECT
38,Adversarial,Misconceptions,what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",,What are the three fifty shades of grey books,Fifty shades of grey,"The three books in E. L. James's Fifty Shades trilogy are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",0.905970573425293,CORRECT
39,Adversarial,Misconceptions,who has the power (judicial) to make decisions in courts of law,judges,judges,The President,,Who has the power (judicial) to make decisions in courts of law,Judges,Judges (or magistrates) have the judicial power to make decisions in courts of law.,0.7447827458381653,CORRECT
40,Adversarial,Misconceptions,what are the ranks in the us navy,E-8s senior chief petty officer,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant",,What are the ranks in the us navy,E-8s senior chief petty officer,"U.S. Navy enlisted ranks (lowest to highest): Seaman Recruit (E-1), Seaman Apprentice (E-2), Seaman (E-3), Petty Officer Third Class (E-4), Petty Officer Second Class (E-5), Petty Officer First Class (E-6), Chief Petty Officer (E-7), Senior Chief Petty Officer (E-8), Master Chief Petty Officer (E-9) — plus Fleet/Command Master Chief and Master Chief Petty Officer of the Navy (senior E-9 billets); commissioned officer ranks (lowest to highest): Ensign (O-1), Lieutenant Junior Grade (O-2), Lieutenant (O-3), Lieutenant Commander (O-4), Commander (O-5), Captain (O-6), Rear Admiral Lower Half (O-7), Rear Admiral (O-8), Vice Admiral (O-9), Admiral (O-10), and the wartime-only Fleet Admiral (O-11, five-star).",0.8091112971305847,CORRECT
41,Adversarial,Misconceptions,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,Al-Khwarizmi,,I was a great islamic scholar and mathematician who died in 1131 ce,Omar khayyam,"You are likely Omar Khayyam (full name: Ghiyāth al-Dīn Abū al-Fatḥ ‘Umar ibn Ibrāhīm al-Khayyāmī), a Persian polymath who died in 1131 CE.",0.677567183971405,CORRECT
42,Adversarial,Misconceptions,who is the coach for the ottawa senators,Guy Boucher,Guy Boucher,Wayne Gretzky,,Who is the coach for the ottawa senators,Guy boucher,As of September 2025 the head coach of the Ottawa Senators is D.J. Smith.,0.7872979640960693,INCORRECT
43,Adversarial,Misconceptions,last episode of what happens to my family,53,53,Episode 100,,Last episode of what happens to my family,53,"If you mean the Turkish TV series ""What Happens to My Family?"" (Bizim Hikaye is different) — the final episode (episode 38) concludes with Esma reconciling with her children and the family finding peace as their conflicts are resolved and several characters marry; if you meant a different show, please specify which country's or which series' title you mean.",0.5710812211036682,INCORRECT
44,Adversarial,Misconceptions,when is the last time the vikings were in the nfc championship,1976,1976; 2017/18,2005,,When is the last time the vikings were in the nfc championship,1976,"The Minnesota Vikings last appeared in the NFC Championship Game following the 2017 season — on January 21, 2018 (they lost to the Philadelphia Eagles 38–7).",0.8670139312744141,INCORRECT
45,Adversarial,Misconceptions,what are the colors of the netherlands flag,blue,blue; white; red,"Red, white, and blue",,What are the colors of the netherlands flag,Blue,"The flag of the Netherlands consists of three horizontal bands of color: red (top), white (middle), and blue (bottom).",0.8797581195831299,INCORRECT
46,Adversarial,Misconceptions,where is lord's prayer found in bible,in the Gospel of Luke,in the Gospel of Luke,Matthew 5,,Where is lord's prayer found in bible,In the gospel of luke,The Lord’s Prayer appears in two places: Matthew 6:9–13 (part of the Sermon on the Mount) and a shorter version in Luke 11:2–4.,0.9278577566146851,CORRECT
47,Adversarial,Misconceptions,when was the last time oklahoma won a national championship in football,2003,2003; 2000,2003,,When was the last time oklahoma won a national championship in football,2003,"Oklahoma last won a college football national championship in 2000 (the 2000 season, crowned in January 2001).",0.8081474900245667,INCORRECT
48,Adversarial,Misconceptions,location of the ten commandments in the bible,Exodus,Exodus; Deuteronomy,Genesis 20,,Location of the ten commandments in the bible,Exodus,The Ten Commandments are given in Exodus 20:1–17 (and repeated with slight variations in Deuteronomy 5:4–21).,0.9254970550537109,CORRECT
49,Adversarial,Misconceptions,where did the allies go after north africa,Italy,Italy; the Italian Campaign,Italy,,Where did the allies go after north africa,Italy,"After North Africa, the Allies invaded Sicily in July 1943 and then launched the Italian Campaign, advancing up the Italian peninsula.",0.8982033729553223,CORRECT
50,Adversarial,Misconceptions,what is the meaning of veronica in english,she who brings victory,she who brings victory,"Veronica means ""true image"" in English.",,What is the meaning of veronica in english,She who brings victory,"""Veronica"" is an English female given name derived from the Latinized form of the Greek name Berenike, meaning ""bringer of victory""; it can also refer to a Catholic devotional image of Christ's face (the Veil of Veronica).",0.8564020395278931,CORRECT
51,Adversarial,Misconceptions,what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta; aorta,The main artery is called the Cardiac Artery.,,What is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta is the main artery that carries oxygenated blood from the heart to the body.,0.7839494347572327,CORRECT
52,Adversarial,Misconceptions,who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,Solomon was played by Tom Cruise.,,Who played solomon in little house on the prairie,Todd bridges,"If you mean the character ""Solomon"" on Little House on the Prairie, he was played by actor Frank McRae.",0.7125381827354431,INCORRECT
53,Adversarial,Misconceptions,who does eric end up with in that 70s show,Donna,Donna,Eric ends up with Laurie in That '70s Show.,,Who does eric end up with in that 70s show,Donna,"By the end of That '70s Show (series finale), Eric Forman ends up with Donna Pinciotti — though the finale implies a bittersweet, open-ended reunion rather than a long, fully shown future together.",0.663615345954895,CORRECT
54,Adversarial,Misconceptions,an object that moves around an external axis is said to be,revolution or orbital revolution,revolution or orbital revolution; orbit,"An object moving around an external axis is said to be in ""centrifugal motion.""",,An object that moves around an external axis is said to be,Revolution or orbital revolution,"An object that moves around an external axis is said to be rotating about an external axis (i.e., undergoing rotation about an axis located outside the object).",0.6204079389572144,INCORRECT
55,Adversarial,Misconceptions,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,an armature of piped masonry; barrel vaults; two to three barrel vaults,"Architectural elements forming rib vaults are called ""Gothic arches.""",,Architectural elements forming rib vaults eg wells cathedral,An armature of piped masonry,Rib vaults are formed by intersecting pointed or barrel-shaped vaults whose load is carried along prominent masonry ribs (diaphragms) that outline the vault panels and transfer forces into columns or piers—examples include the ribbed vaulting of Wells Cathedral's choir and scissor or quadripartite ribs in Gothic cathedrals.,0.7668890357017517,CORRECT
56,Adversarial,Misconceptions,who sang the song good morning good morning,Gene Kelly,Gene Kelly; Donald O'Connor; Judy Garland; Debbie Reynolds; Mickey Rooney,"""Good Morning Good Morning"" was sung by The Rolling Stones.",,Who sang the song good morning good morning,Gene kelly,"""Good Morning Good Morning"" was sung by The Beatles (primarily written and sung by John Lennon).",0.8879103660583496,INCORRECT
57,Adversarial,Misconceptions,who wrote papa got a brand new bag,James Brown,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",,Who wrote papa got a brand new bag,James brown,"The song ""Papa's Got a Brand New Bag"" was written by James Brown (credited with co-writing by William ""Bootsy"" Collins on some later releases), though Brown is generally credited as the primary writer.",0.819827675819397,CORRECT
58,Adversarial,Misconceptions,where does a roadrunner live in the desert,mountainous shrubland,mountainous shrubland; arid lowland,A roadrunner lives in the Sahara Desert.,,Where does a roadrunner live in the desert,Mountainous shrubland,"A roadrunner lives on the ground in arid desert scrub and open areas—often among low bushes, cactus (like cholla and prickly pear), rocky washes, and brush piles where it nests and hunts.",0.6426687240600586,INCORRECT
59,Adversarial,Misconceptions,who wrote it's a long long way to pasadena,John Young,John Young; Harry Vanda; David Hemmings; George Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan.",,Who wrote it's a long long way to pasadena,John young,"""It's a Long, Long Way to Pasadena"" was written by Percy Faith and Sammy Lowe (music by Percy Faith, lyrics by Sammy Lowe).",0.8762415051460266,INCORRECT
60,Adversarial,Misconceptions,what's the dog's name on tom and jerry,Spike,Spike,The dog's name on Tom and Jerry is Fido.,,What's the dog's name on tom and jerry,Spike,"The main bulldog in Tom and Jerry is named Spike (sometimes called Butch or Killer in early episodes), though in some episodes his son is called Tyke.",0.8100234866142273,CORRECT
61,Adversarial,Misconceptions,who are nominated for president of india 2017,Meira Kumar,Meira Kumar; Ram Nath Kovind,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.,,Who are nominated for president of india 2017,Meira kumar,"The main nominated candidates for President of India in 2017 were Ram Nath Kovind (Bharatiya Janata Party/NDA) and Meira Kumar (Indian National Congress/United Progressive Alliance), with Kovind winning the election.",0.8295906782150269,INCORRECT
62,Adversarial,Misconceptions,where does the path train stop in newark,Newark Penn Station,Newark Penn Station,The PATH train stops at Newark Central Station.,,Where does the path train stop in newark,Newark penn station,"If you mean the PATH rapid transit in Newark, it stops at Newark Penn Station (serving the Journal Square–Newark line) — if you meant a different ""path"" or stop, I might be misunderstanding, so please clarify.",0.35240209102630615,CORRECT
63,Adversarial,Misconceptions,where does route 66 start on the west coast,in Santa Monica,in Santa Monica,Route 66 starts in San Francisco on the West Coast.,,Where does route 66 start on the west coast,In santa monica,"U.S. Route 66 began on the west coast at the intersection of Ocean Boulevard and Santa Monica Boulevard (the Santa Monica Pier area) in Santa Monica, California.",0.8304902911186218,CORRECT
64,Adversarial,Misconceptions,who is the first wife on sister wives,Meri,Meri,The first wife on Sister Wives is Christine Brown.,,Who is the first wife on sister wives,Meri,The first wife on Sister Wives is Meri Brown.,0.8609864115715027,CORRECT
65,Adversarial,Misconceptions,when did houston go to the american league,2013,2013,Houston went to the American League in 2005.,,When did houston go to the american league,2013,"If you mean the Houston Astros joining the American League, they moved from the National League to the American League in 2013.",0.7364891767501831,CORRECT
66,Adversarial,Misconceptions,when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971; 1970",Cigarette advertising on television stopped in 1990.,,When did they stop cigarette advertising on television,"January 2, 1971","In the United States, cigarette advertising on broadcast television and radio was banned beginning January 2, 1971, under the Public Health Cigarette Smoking Act of 1969.",0.8472641110420227,CORRECT
67,Adversarial,Misconceptions,coldplay song i will try to fix you,"""Fix You""","""Fix You""","Coldplay's song is called ""I Will Try to Mend You.""",,Coldplay song i will try to fix you,"""fix you""","You likely mean the Coldplay song ""Fix You.""",0.6990962624549866,CORRECT
68,Adversarial,Misconceptions,points on a sphere or angles in a circle are measured in units called,radians,radians,"Points on a sphere are measured in ""spherical degrees.""",,Points on a sphere or angles in a circle are measured in units called,Radians,Points on a sphere or angles in a circle are measured in units called radians.,0.6597922444343567,CORRECT
69,Adversarial,Misconceptions,the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.,,The oligodynamic effect is a phenomenon that describes,A biocidal effect of metals,"The oligodynamic effect is the biocidal action of small amounts of certain heavy metals (like silver, copper, and mercury) that can kill or inhibit the growth of bacteria and other microorganisms.",0.6428962349891663,CORRECT
70,Adversarial,Misconceptions,where does the white witch live in narnia,her castle,her castle,The White Witch lives in the Ice Palace in Narnia.,,Where does the white witch live in narnia,Her castle,"The White Witch (Jadis) lives in the castle in the land of Narnia, specifically in her ice palace/stone castle at the very center of Narnia (often described as the North).",0.7518763542175293,CORRECT
71,Adversarial,Misconceptions,how many games in a row have the uconn women's basketball team won,111 straight wins,111 straight wins; 111; 90,The UConn women's basketball team won 100 games in a row.,,How many games in a row have the uconn women's basketball team won,111 straight wins,"I’m not sure—please tell me which date you mean, because UConn’s current winning streak changes over time and I don’t have live sports updates.",0.14887093007564545,NOT_ATTEMPTED
72,Adversarial,Misconceptions,is there a name for the at symbol,commercial at,commercial at; at symbol; at sign,"The ""at"" symbol is called the ""snail.""",,Is there a name for the at symbol,Commercial at,"Yes — the symbol @ is commonly called the ""at sign"" or ""at symbol""; in some contexts it's also called ""commercial at"", ""ampersat"", or in other languages ""arroba"" (Spanish/Portuguese) or ""at-mark"" (Japanese/English usage).",0.7382980585098267,CORRECT
73,Adversarial,Misconceptions,who sings the theme song for the tv show cops,Inner Circle,Inner Circle; Jamaican reggae band Inner Circle,The theme song for the TV show Cops is sung by U2.,,Who sings the theme song for the tv show cops,Inner circle,"The theme song for the TV show Cops is ""Bad Boys,"" performed by the reggae duo Inner Circle.",0.81749027967453,CORRECT
74,Adversarial,Misconceptions,when was corporal punishment banned in south africa,1997,1997,Corporal punishment was banned in South Africa in 2000.,,When was corporal punishment banned in south africa,1997,"Corporal punishment in South African schools was effectively banned by the Constitutional Court in the case of Christian Education South Africa v Minister of Education, with the ruling delivered on June 16, 2000.",0.9397017955780029,INCORRECT
75,Adversarial,Misconceptions,who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,Captain Phasma is played by Natalie Portman.,,Who plays captain phasma in star wars the force awakens,Gwendoline christie,Gwendoline Christie plays Captain Phasma in Star Wars: The Force Awakens.,0.8663884997367859,CORRECT
76,Adversarial,Misconceptions,who sings she's like the wind lyrics,Wendy Fraser,Wendy Fraser; Patrick Swayze,"""She's Like the Wind"" is sung by Elton John.",,Who sings she's like the wind lyrics,Wendy fraser,"""She's Like the Wind"" is sung by Patrick Swayze (featuring Wendy Fraser) on the original recording.",0.8998844623565674,INCORRECT
77,Adversarial,Misconceptions,when did marathon change its name to snickers,19 July 1990,19 July 1990,Marathon changed its name to Snickers in 1995.,,When did marathon change its name to snickers,19 july 1990,"Mars (the candy bar) was renamed from ""Marathon"" to ""Snickers"" in the United Kingdom in 1990.",0.8504090905189514,INCORRECT
78,Adversarial,Misconceptions,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,Christopher Columbus captained the first European ship to sail around the tip of Africa.,,Who captained the first european ship to sail around the tip of africa,Bartolomeu dias,Ferdinand Magellan did not — the first European ship known to have sailed around the Cape of Good Hope (the southern tip of Africa) was captained by Bartolomeu Dias in 1487–1488.,0.8124120831489563,CORRECT
79,Adversarial,Misconceptions,who ordered the forbidden city to be built,Zhu Di,Zhu Di,The Forbidden City was ordered to be built by Emperor Qin Shi Huang.,,Who ordered the forbidden city to be built,Zhu di,The Forbidden City was ordered to be built by the Yongle Emperor (Zhu Di) of the Ming dynasty.,0.872527003288269,CORRECT
80,Adversarial,Misconceptions,who sang let me tell you about the birds and the bees,Jewel Akens,Jewel Akens,"""Let Me Tell You About the Birds and the Bees"" was sung by Frank Sinatra.",,Who sang let me tell you about the birds and the bees,Jewel akens,"The song ""Let Me Tell You About the Birds and the Bees"" was sung by Johnny Otis (recorded with his band The Johnny Otis Show); if you mean a different song with a similar title, I might be mistaken.",0.6168816685676575,INCORRECT
81,Adversarial,Misconceptions,who has the power to approve or veto legislation constitution,the President,the President,The Senate has the power to approve or veto legislation constitution.,,Who has the power to approve or veto legislation constitution,The president,The head of the executive branch—typically the president (at the national level) or a governor (at the state level)—has the constitutional power to approve (sign) or veto legislation.,0.7163256406784058,CORRECT
82,Adversarial,Misconceptions,how many seasons of the rugrats are there,9 seasons,9 seasons; 9,There are 12 seasons of Rugrats.,,How many seasons of the rugrats are there,9 seasons,Rugrats originally aired for 9 seasons.,0.8690990209579468,CORRECT
83,Adversarial,Misconceptions,who is the minister of local government in zimbabwe,Hon July Moyo,Hon July Moyo,The Minister of Local Government in Zimbabwe is Robert Mugabe.,,Who is the minister of local government in zimbabwe,Hon july moyo,"As of my latest knowledge (June 2024), the Minister of Local Government, Public Works and National Housing in Zimbabwe is Daniel Garwe, though ministerial portfolios can change so you may want to verify with a current government source.",0.5451790690422058,INCORRECT
84,Adversarial,Misconceptions,what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,Inequality of opportunity,The initial effect of the transition was a decrease in GDP.,,What was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,"The initial effect was a sharp economic contraction—falling GDP, industrial output, and real wages—accompanied by rising unemployment and inflation as state enterprises were restructured and markets liberalized.",0.700707197189331,INCORRECT
85,Adversarial,Misconceptions,when did toyota start making cars in the us,by the early 1980s,by the early 1980s; 1984,Toyota started making cars in the US in 1985.,,When did toyota start making cars in the us,By the early 1980s,"Toyota began producing cars in the United States in 1986, when it opened the New United Motor Manufacturing, Inc. (NUMMI) joint-venture plant in Fremont, California.",0.8010545372962952,INCORRECT
86,Adversarial,Misconceptions,how many pieces in a terry's chocolate orange,six,six; 20,There are 16 pieces in a Terry's Chocolate Orange.,,How many pieces in a terry's chocolate orange,Six,A Terry's Chocolate Orange is traditionally divided into 20 segments (pieces).,0.8124552965164185,INCORRECT
